Date,Open,High,Low,Close,Volume
2020-02-10,22.46,22.6,22.09,22.3,3741400.0
2020-02-11,22.75,22.9,22.43,22.46,3700800.0
2020-02-12,23.1,23.54,22.87,23.01,4484100.0
2020-02-13,22.72,23.12,22.55,23.05,5176500.0
2020-02-14,23.19,23.34,22.32,22.58,7211000.0
2020-02-18,22.26,22.32,21.77,21.92,9680000.0
2020-02-19,22.28,22.78,21.92,22.48,10966700.0
2020-02-20,22.09,22.38,21.82,21.91,7706300.0
2020-02-21,21.47,21.5,20.63,20.75,9274000.0
2020-02-24,19.72,19.72,18.9,18.97,10968800.0
2020-02-25,19.0,19.15,17.42,17.59,10388900.0
2020-02-26,17.68,17.74,16.51,16.54,10340400.0
2020-02-27,15.66,16.55,15.24,15.5,13199000.0
2020-02-28,14.77,16.15,14.63,16.07,13850500.0
2020-03-02,16.35,16.49,15.25,16.14,11012000.0
2020-03-03,16.05,16.63,15.31,15.62,11433000.0
2020-03-04,15.98,16.37,15.52,16.09,8787200.0
2020-03-05,15.46,15.93,15.29,15.78,9800200.0
2020-03-06,15.0,15.06,12.87,13.23,13648400.0
2020-03-09,9.05,9.67,7.94,8.28,24783100.0
2020-03-10,9.28,9.3,7.74,8.91,20134700.0
2020-03-11,8.33,8.84,8.0,8.32,15483400.0
2020-03-12,7.76,8.1,7.01,7.27,14551000.0
2020-03-13,8.13,8.71,7.19,8.7,18626600.0
2020-03-16,7.1,8.36,6.5,7.57,14135800.0
2020-03-17,7.6,7.87,6.36,6.46,13441300.0
2020-03-18,5.88,5.96,4.7,5.41,14374600.0
2020-03-19,5.51,6.55,5.26,6.55,14057900.0
2020-03-20,6.74,7.34,5.94,6.08,18814900.0
2020-03-23,6.02,6.59,5.7,6.18,13426500.0
2020-03-24,6.8,7.63,6.37,7.41,14859800.0
2020-03-25,7.38,7.79,6.64,7.16,12033100.0
2020-03-26,7.31,7.6,6.75,7.36,13399600.0
2020-03-27,6.94,6.96,6.21,6.29,13563100.0
2020-03-30,6.16,6.52,5.46,6.35,19194700.0
2020-03-31,6.68,7.45,6.68,6.91,14607600.0
2020-04-01,6.57,6.94,6.22,6.79,16931500.0
2020-04-02,7.29,9.04,7.07,7.79,24076400.0
2020-04-03,8.3,8.57,7.56,8.38,17941900.0
2020-04-06,8.46,8.89,8.2,8.8,13542100.0
2020-04-07,9.59,10.08,8.64,8.71,14770900.0
2020-04-08,9.03,9.44,8.62,9.41,11611300.0
2020-04-09,10.1,10.56,8.86,9.67,24421200.0
2020-04-13,10.26,10.34,9.43,9.71,11422400.0
2020-04-14,9.42,9.72,8.87,9.11,11435600.0
2020-04-15,8.35,8.73,8.05,8.67,10246900.0
2020-04-16,8.6,8.63,8.08,8.09,6949200.0
2020-04-17,8.18,9.25,8.13,9.22,12742900.0
