Date,Open,High,Low,Close,Volume
2020-02-10,40.27,40.34,39.0,39.31,7915400
2020-02-11,40.91,41.11,39.83,39.96,12132300
2020-02-12,41.15,41.36,40.55,41.24,8214600
2020-02-13,40.85,41.13,40.31,40.8,8402000
2020-02-14,40.83,41.0,40.08,40.38,6401500
2020-02-18,40.38,40.46,39.77,40.34,9519200
2020-02-19,40.63,41.46,40.31,41.26,7536300
2020-02-20,41.44,42.32,41.21,41.71,7728900
2020-02-21,41.3,41.32,40.6,40.88,8921100
2020-02-24,39.31,39.36,38.32,38.32,12503100
2020-02-25,38.38,38.45,34.94,35.13,22058600
2020-02-26,35.2,35.37,33.18,33.21,22683000
2020-02-27,32.19,32.58,30.24,30.87,23505800
2020-02-28,30.55,31.82,28.77,31.78,24190100
2020-03-02,32.59,32.67,30.77,31.98,17223700
2020-03-03,32.08,33.61,31.36,32.02,19991600
2020-03-04,32.27,32.27,30.94,31.96,14006600
2020-03-05,31.54,31.8,30.18,30.55,19218000
2020-03-06,29.27,29.32,25.5,26.07,38969100
2020-03-09,15.58,19.19,12.04,12.51,104930300
2020-03-10,15.4,15.5,12.58,14.34,110525300
2020-03-11,13.12,13.4,11.7,11.8,70436000
2020-03-12,10.23,14.84,9.44,11.89,73141800
2020-03-13,13.31,14.56,11.59,14.26,64910400
2020-03-16,11.4,13.68,11.2,12.02,37309700
2020-03-17,12.38,12.81,11.05,11.34,34731500
2020-03-18,10.45,10.84,9.0,10.53,41257200
2020-03-19,10.41,10.98,9.4,10.83,38092500
2020-03-20,11.15,11.18,9.55,10.23,50833300
2020-03-23,10.25,10.29,9.47,9.69,36784000
2020-03-24,10.4,10.77,9.7,10.72,42020600
2020-03-25,11.25,12.64,10.22,12.0,55409600
2020-03-26,12.05,15.29,12.0,12.83,70253700
2020-03-27,12.04,12.38,11.49,11.61,34675600
2020-03-30,11.32,11.45,10.2,11.01,44717600
2020-03-31,11.52,12.08,11.11,11.58,35568400
2020-04-01,11.04,11.17,10.12,10.74,39837200
2020-04-02,11.48,13.91,11.2,12.77,79141600
2020-04-03,13.83,14.2,11.51,13.0,92062300
2020-04-06,12.6,13.5,12.43,13.44,52068100
2020-04-07,14.18,15.2,13.62,13.84,54728600
2020-04-08,14.2,15.68,14.05,15.56,48988600
2020-04-09,16.7,18.27,14.27,15.36,110851100
2020-04-13,15.96,16.02,14.77,15.33,43697500
2020-04-14,15.4,15.82,14.64,14.9,40661000
2020-04-15,13.9,13.9,13.0,13.61,47465200
2020-04-16,13.63,13.66,12.16,12.2,40453900
2020-04-17,12.33,13.65,12.25,13.63,51691000
