Date,Open,High,Low,Close,Volume
2020-02-10,135.66,136.09,134.39,135.65,1193600
2020-02-11,138.26,138.27,134.75,135.04,1654000
2020-02-12,137.61,138.74,135.77,136.51,1170700
2020-02-13,135.43,139.45,135.03,138.92,1399000
2020-02-14,139.47,139.88,136.47,138.11,936500
2020-02-18,135.9,136.84,132.72,134.47,1719300
2020-02-19,135.15,140.87,134.83,140.04,2390600
2020-02-20,142.85,146.06,138.7,141.39,2394400
2020-02-21,139.96,141.75,138.37,141.11,1403400
2020-02-24,134.6,136.23,132.81,134.88,1549700
2020-02-25,135.68,136.1,128.12,129.05,1835800
2020-02-26,129.74,130.74,124.35,124.48,2010200
2020-02-27,119.76,126.55,116.36,121.69,2747500
2020-02-28,116.76,121.91,116.71,121.8,3476400
2020-03-02,123.46,124.13,118.31,123.32,3385300
2020-03-03,123.97,123.97,117.2,119.07,2113600
2020-03-04,121.09,123.54,119.28,122.51,1788100
2020-03-05,118.07,121.28,115.93,117.66,1907900
2020-03-06,112.5,113.52,101.08,104.28,5181500
2020-03-09,72.28,74.36,64.01,65.78,7675200
2020-03-10,70.19,79.55,67.05,79.22,6753600
2020-03-11,75.57,76.85,66.7,69.68,4409100
2020-03-12,63.41,65.93,58.34,60.19,4695300
2020-03-13,65.67,70.14,60.43,70.11,4543800
2020-03-16,59.0,68.24,56.78,59.24,3588800
2020-03-17,59.34,61.46,54.06,57.07,4181200
2020-03-18,51.59,57.53,48.23,56.32,4272600
2020-03-19,56.46,62.99,54.66,59.89,4247900
2020-03-20,62.31,68.01,58.81,61.27,4374400
2020-03-23,61.2,62.47,56.74,60.8,3061900
2020-03-24,66.25,72.99,62.78,72.04,3901100
2020-03-25,71.55,74.81,66.84,71.73,2980000
2020-03-26,71.86,74.15,70.82,73.74,2894500
2020-03-27,69.96,72.35,67.22,68.1,2940200
2020-03-30,65.79,67.35,62.19,66.49,3132700
2020-03-31,69.1,72.83,67.56,70.15,2657500
2020-04-01,66.9,68.97,62.54,67.77,2571700
2020-04-02,71.19,81.48,70.41,75.15,4907200
2020-04-03,79.0,80.0,72.84,74.68,4925400
2020-04-06,76.1,76.8,72.9,76.24,2280400
2020-04-07,81.29,84.26,74.79,75.31,2989300
2020-04-08,77.48,81.61,74.84,80.29,3283800
2020-04-09,83.0,84.12,72.58,75.48,4752500
2020-04-13,79.03,79.6,75.4,78.55,2213200
2020-04-14,77.05,80.0,76.49,77.37,2164400
2020-04-15,72.53,76.48,71.53,74.92,2066800
2020-04-16,73.88,73.94,69.99,71.11,3087300
2020-04-17,72.75,77.32,72.08,76.63,2814300
