Date,Open,High,Low,Close,Volume
2020-02-10,81.16,82.16,80.83,82.1,2602900
2020-02-11,82.83,83.06,82.14,82.94,1886500
2020-02-12,84.33,85.45,83.08,83.72,2543800
2020-02-13,83.56,83.73,82.33,82.4,4507300
2020-02-14,82.9,82.91,80.59,81.36,2990400
2020-02-18,81.1,82.06,80.83,81.24,1856600
2020-02-19,81.48,82.05,80.08,81.94,1831500
2020-02-20,81.97,83.46,81.73,82.87,2015800
2020-02-21,82.01,82.22,80.67,81.62,2084800
2020-02-24,78.8,78.86,76.5,76.89,3868700
2020-02-25,77.21,77.4,72.85,73.29,4057500
2020-02-26,73.73,74.32,70.49,70.61,4702000
2020-02-27,68.3,68.73,64.74,65.17,7680700
2020-02-28,62.55,65.24,61.44,65.22,7421700
2020-03-02,65.93,67.01,62.86,66.82,6526300
2020-03-03,67.37,67.98,62.65,63.44,5587900
2020-03-04,64.91,64.91,62.05,63.16,6485000
2020-03-05,61.14,62.8,59.81,60.75,5918900
2020-03-06,58.64,62.68,57.32,62.11,9569600
2020-03-09,57.5,66.65,56.47,57.5,12531100
2020-03-10,59.79,62.86,56.15,59.51,10527600
2020-03-11,57.77,58.82,52.7,53.58,9184800
2020-03-12,49.3,49.9,42.03,43.28,14645700
2020-03-13,47.36,49.22,41.1,49.13,9700600
2020-03-16,42.34,47.25,40.55,40.99,8241800
2020-03-17,41.46,42.54,37.41,38.42,8839500
2020-03-18,35.85,36.77,30.52,34.48,8900200
2020-03-19,34.25,36.89,31.4,36.83,8776000
2020-03-20,37.89,40.54,35.86,38.06,9225000
2020-03-23,36.73,37.2,31.96,32.12,6535300
2020-03-24,35.32,36.73,32.99,34.11,9068400
2020-03-25,35.92,41.83,33.33,39.02,8933300
2020-03-26,40.31,46.41,39.52,44.89,10055900
2020-03-27,42.05,46.74,41.37,44.34,8028700
2020-03-30,42.13,46.75,40.37,46.46,7691900
2020-03-31,48.22,48.52,43.15,44.66,7423500
2020-04-01,41.43,43.24,39.87,40.37,5354600
2020-04-02,42.15,45.29,39.87,40.86,8098300
2020-04-03,41.09,41.35,39.06,39.72,5313400
2020-04-06,42.19,45.81,42.19,45.39,6213000
2020-04-07,48.68,49.32,45.62,47.27,7767300
2020-04-08,47.79,51.94,47.38,50.8,6830800
2020-04-09,52.97,53.05,47.59,49.32,7711600
2020-04-13,51.14,51.56,48.17,48.93,4668100
2020-04-14,49.04,50.68,48.76,50.16,4201000
2020-04-15,47.27,47.75,45.3,45.98,5311800
2020-04-16,45.82,46.74,43.75,44.3,5133200
2020-04-17,45.44,51.11,45.04,50.96,6855700
