Date,Open,High,Low,Close,Volume
2020-02-10,103.81,105.85,103.73,105.84,591500
2020-02-11,106.26,106.99,106.06,106.45,680400
2020-02-12,106.22,106.8,105.61,105.71,640700
2020-02-13,105.66,107.3,105.5,107.25,424500
2020-02-14,107.26,108.23,107.1,108.2,606400
2020-02-18,108.16,108.5,107.18,107.55,612400
2020-02-19,107.78,108.18,107.21,107.82,565500
2020-02-20,107.55,107.55,105.7,107.22,689400
2020-02-21,106.94,107.25,105.8,106.88,800500
2020-02-24,105.87,106.81,104.89,105.27,799200
2020-02-25,105.65,105.66,102.72,102.95,1006000
2020-02-26,103.47,104.6,102.49,102.92,2081000
2020-02-27,101.8,102.44,98.16,98.21,1357000
2020-02-28,96.07,97.14,93.08,96.63,2218700
2020-03-02,96.96,102.68,96.96,102.6,1815500
2020-03-03,102.31,103.44,98.68,99.8,1063300
2020-03-04,101.77,105.36,101.27,105.27,1324200
2020-03-05,103.15,103.68,100.32,101.64,1070200
2020-03-06,98.16,100.79,96.65,100.38,860700
2020-03-09,93.61,95.17,90.21,93.71,1554600
2020-03-10,96.37,97.9,92.6,97.11,1762800
2020-03-11,94.56,96.17,92.89,94.54,1474800
2020-03-12,88.47,92.12,79.41,85.77,1636600
2020-03-13,90.01,90.6,82.76,89.65,1826200
2020-03-16,74.77,85.34,74.66,79.48,1607000
2020-03-17,82.33,87.18,79.38,85.07,1999100
2020-03-18,79.73,81.06,64.79,72.11,1722400
2020-03-19,71.34,71.8,67.09,68.24,2039700
2020-03-20,68.41,73.57,66.59,71.25,2402000
2020-03-23,71.24,71.66,65.74,67.93,1672400
2020-03-24,70.9,77.71,70.05,76.92,1364300
2020-03-25,75.8,81.1,74.94,76.86,2309300
2020-03-26,77.92,80.7,75.92,80.41,1634300
2020-03-27,77.52,82.72,77.32,79.8,1122100
2020-03-30,80.98,83.09,78.23,82.84,989200
2020-03-31,81.85,83.1,80.6,81.14,1693100
2020-04-01,77.76,79.28,75.28,76.65,1603900
2020-04-02,75.83,78.7,75.22,78.4,1651600
2020-04-03,77.24,78.46,74.18,75.91,2491400
2020-04-06,79.32,82.62,77.1,81.83,1483200
2020-04-07,84.42,86.58,81.45,81.9,1753900
2020-04-08,82.65,85.23,81.38,84.65,1187700
2020-04-09,85.51,87.94,84.98,86.44,1374600
2020-04-13,85.09,85.82,82.37,83.19,983200
2020-04-14,85.27,87.89,84.61,86.14,1552400
2020-04-15,84.11,86.08,82.5,83.27,1593700
2020-04-16,83.46,83.85,80.19,80.42,1100000
2020-04-17,82.91,83.67,81.27,83.22,1602500
