Date,Open,High,Low,Close,Volume
2020-02-10,130.88,131.77,130.62,131.51,1816500
2020-02-11,132.3,132.91,131.59,131.9,1733300
2020-02-12,132.65,132.98,131.8,132.5,1715400
2020-02-13,132.41,133.93,132.32,133.72,3178300
2020-02-14,133.97,135.62,133.79,135.12,2360300
2020-02-18,135.12,135.99,134.19,134.85,2428200
2020-02-19,135.55,136.66,135.37,136.17,1785000
2020-02-20,135.66,137.28,134.15,135.83,2541700
2020-02-21,135.45,135.52,133.15,134.15,3106100
2020-02-24,128.71,130.24,126.53,127.48,6329300
2020-02-25,127.0,127.28,119.25,120.23,7628100
2020-02-26,120.6,121.75,117.82,117.85,5268000
2020-02-27,115.26,116.83,112.16,112.19,8278300
2020-02-28,108.45,110.42,106.41,109.32,11363600
2020-03-02,110.5,113.36,107.99,113.24,9851600
2020-03-03,114.38,115.76,106.41,107.41,9285000
2020-03-04,109.64,115.15,108.65,115.06,7470900
2020-03-05,111.0,111.97,109.09,110.33,12060600
2020-03-06,105.15,108.17,103.22,107.64,9897700
2020-03-09,100.31,100.88,96.4,97.75,12266300
2020-03-10,101.37,102.8,96.91,102.73,9793200
2020-03-11,99.75,100.4,93.35,94.85,8822900
2020-03-12,87.18,89.11,81.36,83.07,12206600
2020-03-13,89.88,99.53,83.83,99.05,12680400
2020-03-16,81.98,92.67,79.93,85.4,15072400
2020-03-17,87.13,88.45,82.76,86.1,10512200
2020-03-18,79.58,81.07,66.63,73.34,14359300
2020-03-19,72.14,77.46,69.4,76.64,12330400
2020-03-20,78.54,81.98,72.16,73.71,12208600
2020-03-23,72.42,75.0,67.74,68.58,8907600
2020-03-24,73.1,84.3,71.3,83.59,10593900
2020-03-25,87.13,95.93,84.85,89.67,11046500
2020-03-26,91.73,99.14,90.34,92.77,9459400
2020-03-27,87.45,91.46,85.35,88.24,6999800
2020-03-30,88.02,90.89,84.8,89.77,5565000
2020-03-31,89.44,90.4,84.6,85.14,6075900
2020-04-01,80.2,80.86,76.57,77.41,8313400
2020-04-02,77.06,79.12,75.83,76.66,8338100
2020-04-03,76.0,76.66,72.61,73.6,10023100
2020-04-06,80.22,84.25,78.74,83.87,11253000
2020-04-07,91.43,93.3,87.42,87.58,8693200
2020-04-08,89.21,93.0,88.12,92.08,6122800
2020-04-09,94.59,97.85,93.46,94.82,6905000
2020-04-13,93.29,93.42,87.94,90.33,5037700
2020-04-14,91.46,92.5,85.91,88.39,8703200
2020-04-15,83.43,85.4,80.68,83.79,10415600
2020-04-16,83.79,83.94,80.33,81.35,7526600
2020-04-17,85.32,87.39,84.28,87.39,8269000
