Date,Open,High,Low,Close,Volume
2020-02-10,33.98,34.23,33.93,34.23,24373800.0
2020-02-11,34.39,34.58,34.3,34.31,32476300.0
2020-02-12,34.62,34.98,34.32,34.46,36656700.0
2020-02-13,34.3,34.57,34.09,34.45,31775100.0
2020-02-14,34.42,34.5,34.24,34.39,26447700.0
2020-02-18,34.31,34.37,33.56,33.82,40318000.0
2020-02-19,33.99,34.39,33.96,34.26,29632100.0
2020-02-20,34.0,34.62,34.0,34.39,42604100.0
2020-02-21,34.07,34.18,33.69,33.91,46675500.0
2020-02-24,32.74,32.77,32.09,32.3,79159600.0
2020-02-25,32.26,32.33,30.43,30.67,91586800.0
2020-02-26,30.97,31.18,30.16,30.23,80012800.0
2020-02-27,29.16,29.9,28.53,28.74,121061400.0
2020-02-28,27.63,28.37,27.33,28.12,171263600.0
2020-03-02,27.98,28.99,27.08,28.98,147776300.0
2020-03-03,28.98,29.36,27.25,27.38,138698500.0
2020-03-04,27.88,28.04,27.04,28.01,111239800.0
2020-03-05,27.05,27.16,26.22,26.59,110878700.0
2020-03-06,25.29,26.03,24.93,25.53,119121200.0
2020-03-09,22.08,23.33,21.36,21.78,145196000.0
2020-03-10,23.09,23.52,21.44,23.45,134863600.0
2020-03-11,22.68,23.79,22.11,22.51,127347000.0
2020-03-12,20.45,22.71,20.01,20.37,139552600.0
2020-03-13,22.04,24.08,21.33,23.99,128357400.0
2020-03-16,19.71,21.58,19.44,20.3,121688800.0
2020-03-17,20.91,22.53,19.89,21.83,120065700.0
2020-03-18,20.13,20.82,19.56,20.65,148272500.0
2020-03-19,20.12,21.6,18.87,21.05,122461300.0
2020-03-20,21.61,21.69,19.42,19.53,150910400.0
2020-03-23,19.13,19.53,17.83,17.95,181898500.0
2020-03-24,19.29,21.0,18.88,20.88,147882400.0
2020-03-25,21.56,21.95,20.27,20.95,146991300.0
2020-03-26,21.16,22.79,21.02,22.56,116111400.0
2020-03-27,21.53,22.05,20.95,21.45,91522800.0
2020-03-30,21.5,22.2,21.12,21.89,80449100.0
2020-03-31,21.67,22.33,20.81,21.08,95213700.0
2020-04-01,19.79,20.21,19.37,19.63,83961300.0
2020-04-02,19.51,20.65,19.45,20.43,70007400.0
2020-04-03,20.26,20.6,19.54,19.89,68293500.0
2020-04-06,20.88,21.45,20.67,21.24,97766200.0
2020-04-07,22.64,22.72,21.7,21.99,94560300.0
2020-04-08,22.25,23.44,22.25,23.29,81212300.0
2020-04-09,23.9,25.14,23.88,24.69,125414800.0
2020-04-13,24.61,24.68,23.62,23.75,83164700.0
2020-04-14,24.33,24.48,22.94,23.57,88991100.0
2020-04-15,22.01,22.49,21.76,22.04,99082200.0
2020-04-16,22.0,22.06,20.94,21.27,89213300.0
2020-04-17,22.19,23.24,22.16,23.12,92800300.0
