Date,Open,High,Low,Close,Volume
2020-02-10,46.57,46.65,45.94,46.09,3078900.0
2020-02-11,46.26,46.39,45.91,46.02,3480600.0
2020-02-12,46.4,46.79,46.11,46.16,2631600.0
2020-02-13,46.04,46.2,45.56,45.63,2699300.0
2020-02-14,45.7,45.83,45.29,45.5,3770800.0
2020-02-18,45.4,45.63,44.79,44.9,3253200.0
2020-02-19,44.91,45.61,44.81,45.52,3957000.0
2020-02-20,45.4,45.9,45.2,45.43,2925800.0
2020-02-21,45.12,45.34,44.44,44.65,5058500.0
2020-02-24,43.64,43.74,42.53,42.76,5088300.0
2020-02-25,42.84,43.04,40.97,41.23,5765100.0
2020-02-26,41.46,41.71,40.83,41.01,6741400.0
2020-02-27,40.16,42.45,39.88,40.6,11047800.0
2020-02-28,39.18,39.72,38.21,39.55,14506900.0
2020-03-02,39.68,40.6,38.86,40.6,11490700.0
2020-03-03,40.54,40.59,37.77,38.49,14057800.0
2020-03-04,38.97,40.56,38.31,40.15,12017400.0
2020-03-05,38.23,39.77,37.83,38.96,10984100.0
2020-03-06,37.24,38.4,37.04,37.74,9299800.0
2020-03-09,34.5,37.12,33.9,34.65,8351900.0
2020-03-10,36.19,36.29,34.74,36.23,8741400.0
2020-03-11,35.31,35.61,33.41,33.9,8599400.0
2020-03-12,31.57,32.06,29.15,29.26,9726400.0
2020-03-13,31.47,33.83,30.19,33.83,9089100.0
2020-03-16,28.89,32.34,28.75,28.93,9714900.0
2020-03-17,29.87,30.33,27.95,29.71,11954600.0
2020-03-18,27.82,29.28,26.17,28.51,10176600.0
2020-03-19,28.21,31.05,27.46,29.74,7907500.0
2020-03-20,30.04,31.04,28.62,28.82,9555900.0
2020-03-23,28.56,28.71,26.7,27.25,8555200.0
2020-03-24,28.96,31.32,28.92,30.73,9411600.0
2020-03-25,31.24,32.6,29.25,31.37,9866600.0
2020-03-26,31.65,32.88,30.66,32.71,8440900.0
2020-03-27,31.36,33.24,31.01,32.26,5764500.0
2020-03-30,32.32,33.88,31.45,33.71,6232200.0
2020-03-31,33.27,34.58,33.0,33.39,7047300.0
2020-04-01,31.67,32.81,31.11,32.42,7727200.0
2020-04-02,32.12,33.66,31.79,33.35,6709700.0
2020-04-03,33.17,33.93,32.67,33.46,5085400.0
2020-04-06,35.32,35.41,34.15,34.93,6782000.0
2020-04-07,36.86,36.99,34.44,34.5,8191400.0
2020-04-08,34.79,35.59,34.41,35.34,5860600.0
2020-04-09,36.02,37.55,35.86,36.82,8038600.0
2020-04-13,36.66,36.68,35.1,35.69,7002800.0
2020-04-14,36.41,36.63,35.19,36.02,5368300.0
2020-04-15,34.61,34.88,34.13,34.33,5291500.0
2020-04-16,36.92,37.44,35.21,35.83,9772300.0
2020-04-17,37.15,37.45,36.5,37.07,8579700.0
