Date,Open,High,Low,Close,Volume
2020-02-10,37.54,37.87,37.47,37.82,2980100
2020-02-11,38.03,38.59,37.92,38.32,2716800
2020-02-12,38.61,38.77,38.06,38.2,2068300
2020-02-13,38.01,38.27,37.87,38.27,3005600
2020-02-14,38.19,38.36,37.76,38.0,2089100
2020-02-18,37.62,37.88,36.97,37.3,4455700
2020-02-19,37.5,37.88,37.24,37.68,4542100
2020-02-20,37.47,38.26,37.46,38.11,3906700
2020-02-21,37.76,37.82,36.78,36.96,3261200
2020-02-24,35.66,35.81,35.22,35.43,4538500
2020-02-25,35.36,35.45,33.7,33.84,6157300
2020-02-26,34.1,34.19,33.04,33.1,6767200
2020-02-27,32.13,33.2,31.64,31.88,7733600
2020-02-28,30.96,31.76,30.37,31.14,12008100
2020-03-02,31.13,32.76,30.62,32.74,8307800
2020-03-03,32.47,33.0,30.47,30.61,10007400
2020-03-04,31.11,31.3,29.93,31.16,8414500
2020-03-05,30.03,30.2,28.86,29.25,8732500
2020-03-06,27.79,28.65,27.0,27.49,8335700
2020-03-09,24.54,24.54,21.85,22.36,9957600
2020-03-10,23.7,25.09,22.96,24.97,11835300
2020-03-11,24.02,24.4,22.46,22.93,12081800
2020-03-12,21.23,22.96,19.79,20.88,9385400
2020-03-13,23.04,23.44,21.16,23.25,9329400
2020-03-16,19.28,20.14,18.19,18.19,8466400
2020-03-17,18.68,19.32,16.59,18.78,9620000
2020-03-18,17.36,17.78,13.87,15.05,8283300
2020-03-19,14.44,17.86,14.31,17.07,8480200
2020-03-20,17.45,18.16,16.21,17.22,18780100
2020-03-23,17.37,17.37,15.12,15.59,7120900
2020-03-24,17.15,17.5,16.18,17.49,7612400
2020-03-25,17.89,18.37,16.82,17.4,11161500
2020-03-26,17.62,20.59,17.26,20.36,10039100
2020-03-27,19.04,20.38,18.71,19.61,7036600
2020-03-30,19.28,19.5,18.41,19.31,6643100
2020-03-31,19.08,19.62,18.08,18.48,6219700
2020-04-01,17.18,17.48,16.67,17.0,5805600
2020-04-02,16.9,18.03,16.62,17.12,7065500
2020-04-03,16.99,17.48,16.29,16.65,4616900
2020-04-06,17.92,18.8,17.66,18.46,7725100
2020-04-07,20.27,20.74,19.0,19.19,7126900
2020-04-08,19.57,20.3,19.38,20.17,5693400
2020-04-09,21.24,22.46,21.11,21.73,6536000
2020-04-13,21.81,21.85,20.38,20.82,4721800
2020-04-14,21.29,21.47,19.51,19.98,6596100
2020-04-15,18.77,18.93,18.18,18.26,6313600
2020-04-16,18.11,18.2,16.85,16.89,7355600
2020-04-17,17.46,19.95,17.46,19.52,12662600
