Date,Open,High,Low,Close,Volume
2020-02-10,100.62,101.28,100.24,101.28,1434000
2020-02-11,101.93,103.06,101.64,101.73,2132100
2020-02-12,102.55,102.94,101.81,102.12,1767900
2020-02-13,101.97,102.31,101.36,102.1,2019500
2020-02-14,102.19,102.55,101.55,101.96,1271700
2020-02-18,101.46,102.6,101.14,102.35,2009900
2020-02-19,102.71,103.67,102.16,103.46,2059600
2020-02-20,100.58,103.92,100.58,102.86,2262900
2020-02-21,101.84,102.13,100.06,100.48,2764400
2020-02-24,96.93,98.44,96.36,97.59,2522800
2020-02-25,97.87,97.89,91.57,92.17,4499600
2020-02-26,93.65,94.62,92.17,92.21,2762300
2020-02-27,89.44,92.5,88.01,88.58,4273500
2020-02-28,85.28,87.72,84.06,87.68,6114300
2020-03-02,87.98,90.92,86.36,90.87,4111800
2020-03-03,90.3,91.94,84.75,85.85,4685800
2020-03-04,87.38,88.89,85.2,88.74,2888100
2020-03-05,85.44,86.48,83.35,84.52,3484700
2020-03-06,81.13,82.84,80.03,81.75,4154900
2020-03-09,74.68,76.63,70.59,72.59,4879500
2020-03-10,76.02,77.83,73.14,77.83,6218100
2020-03-11,75.46,75.87,70.13,70.95,5369900
2020-03-12,65.53,67.87,60.68,63.21,7039800
2020-03-13,68.55,72.51,65.85,72.36,5763900
2020-03-16,60.61,63.73,55.08,55.09,6562300
2020-03-17,56.07,56.77,50.97,53.57,10475200
2020-03-18,49.36,50.01,37.75,44.01,12148700
2020-03-19,42.8,47.52,39.52,45.96,9057800
2020-03-20,47.68,47.98,43.3,44.71,8038300
2020-03-23,43.1,44.64,41.75,42.59,6720900
2020-03-24,46.15,51.0,45.71,50.58,5553300
2020-03-25,52.26,54.64,49.72,52.0,5469000
2020-03-26,55.2,61.0,54.1,57.49,6026300
2020-03-27,54.26,56.7,52.34,54.94,4392100
2020-03-30,54.23,54.63,51.98,53.52,3843500
2020-03-31,52.62,53.42,49.67,50.09,5284000
2020-04-01,46.12,46.32,43.71,44.39,7349300
2020-04-02,43.46,45.56,42.8,43.64,5459500
2020-04-03,43.49,43.6,39.64,41.99,6421500
2020-04-06,45.98,49.84,45.49,49.09,5842700
2020-04-07,54.33,57.99,52.4,52.56,6081300
2020-04-08,54.05,56.7,53.28,56.35,5221200
2020-04-09,60.36,62.57,58.83,59.71,7633800
2020-04-13,59.61,59.66,55.31,56.13,4653500
2020-04-14,57.62,58.26,53.89,54.98,4794200
2020-04-15,51.17,52.5,49.44,52.25,6020400
2020-04-16,52.0,52.0,49.09,49.68,4931400
2020-04-17,52.62,54.8,52.45,54.27,5264200
