Date,Open,High,Low,Close,Volume
2020-02-10,18.98,19.12,18.96,19.0,8029300
2020-02-11,19.1,19.3,19.02,19.17,6421600
2020-02-12,19.29,19.46,19.14,19.18,5983000
2020-02-13,19.09,19.2,18.98,19.19,7548600
2020-02-14,19.17,19.26,19.07,19.2,6350500
2020-02-18,19.13,19.2,18.76,19.04,7611200
2020-02-19,19.1,19.3,19.03,19.2,6923000
2020-02-20,19.13,19.58,19.13,19.48,8423800
2020-02-21,19.35,19.42,18.98,19.14,8108000
2020-02-24,18.49,18.61,18.34,18.47,7456100
2020-02-25,18.51,18.54,17.48,17.56,10468800
2020-02-26,17.71,17.82,17.19,17.2,10241800
2020-02-27,16.77,17.07,16.25,16.26,13973100
2020-02-28,15.67,16.02,15.42,15.91,21650200
2020-03-02,15.96,16.71,15.63,16.71,13350600
2020-03-03,16.6,17.06,15.69,15.96,22824300
2020-03-04,16.11,16.44,15.69,16.43,13860900
2020-03-05,15.78,15.95,15.53,15.73,15279300
2020-03-06,14.84,15.38,14.45,14.64,23797200
2020-03-09,13.12,13.2,11.96,11.97,15961300
2020-03-10,12.66,13.29,11.88,13.16,17303800
2020-03-11,12.68,12.81,11.9,12.06,29399900
2020-03-12,11.01,11.91,10.37,10.7,20950900
2020-03-13,11.74,12.54,11.16,12.53,17318400
2020-03-16,9.84,11.19,9.83,9.83,17925300
2020-03-17,10.12,10.17,9.17,10.08,20549200
2020-03-18,9.45,9.6,7.82,8.03,17912800
2020-03-19,7.84,9.63,7.33,9.2,13965800
2020-03-20,9.35,9.71,8.37,9.05,23725300
2020-03-23,8.91,9.13,8.19,8.43,16697600
2020-03-24,9.17,9.81,9.1,9.62,15626800
2020-03-25,9.86,10.27,9.46,9.67,20647100
2020-03-26,9.81,11.41,9.5,11.28,22494500
2020-03-27,10.55,11.51,10.53,11.03,20794800
2020-03-30,10.87,11.06,10.22,10.62,15175400
2020-03-31,10.51,10.69,9.96,10.21,15997000
2020-04-01,9.48,9.57,9.2,9.3,14533700
2020-04-02,9.26,9.86,9.01,9.33,14255200
2020-04-03,9.25,9.53,8.82,8.93,11898600
2020-04-06,9.65,9.93,9.35,9.79,13435800
2020-04-07,10.64,10.87,10.15,10.29,19699300
2020-04-08,10.52,11.28,10.4,11.15,13998100
2020-04-09,11.76,12.18,11.53,11.82,20270400
2020-04-13,11.87,11.9,11.18,11.38,9937500
2020-04-14,11.63,11.71,10.73,10.97,11881600
2020-04-15,10.23,10.47,10.09,10.15,13975700
2020-04-16,10.19,10.24,9.44,9.59,15631500
2020-04-17,10.11,10.75,10.07,10.64,20448200
