Date,Open,High,Low,Close,Volume
2020-02-10,54.2,54.88,54.14,54.87,5115100.0
2020-02-11,55.25,55.76,55.2,55.29,7120800.0
2020-02-12,55.73,56.17,55.62,55.69,7130000.0
2020-02-13,55.31,55.5,55.02,55.44,5718400.0
2020-02-14,55.41,55.63,55.06,55.35,4579300.0
2020-02-18,55.31,55.47,54.46,55.04,6897800.0
2020-02-19,55.37,55.94,55.01,55.82,6075300.0
2020-02-20,53.53,55.03,53.12,53.28,58533500.0
2020-02-21,53.03,53.12,51.64,51.96,29536400.0
2020-02-24,49.87,50.05,48.78,49.25,28670400.0
2020-02-25,49.54,49.71,47.15,47.61,25568400.0
2020-02-26,47.8,48.13,46.48,46.83,22286100.0
2020-02-27,45.34,46.8,44.77,45.01,26813700.0
2020-02-28,43.49,45.15,43.31,44.64,36983500.0
2020-03-02,44.72,46.07,44.01,46.07,23234100.0
2020-03-03,45.97,46.51,43.48,44.01,30206600.0
2020-03-04,44.77,44.92,43.82,44.85,21938100.0
2020-03-05,43.13,43.56,41.77,42.22,23950200.0
2020-03-06,40.16,41.87,39.99,41.48,30898400.0
2020-03-09,36.53,38.68,36.53,37.17,28177500.0
2020-03-10,39.46,39.64,36.73,39.16,27111000.0
2020-03-11,37.9,38.52,36.12,36.55,27376200.0
2020-03-12,33.61,34.61,30.94,31.04,27964600.0
2020-03-13,33.97,37.19,32.78,37.17,33305100.0
2020-03-16,30.8,34.96,30.1,31.37,26789900.0
2020-03-17,32.09,34.81,29.85,33.5,27047400.0
2020-03-18,31.07,32.55,26.96,30.48,27603000.0
2020-03-19,30.09,32.61,28.49,30.65,23929600.0
2020-03-20,30.98,31.18,28.94,29.41,27472500.0
2020-03-23,28.9,29.53,27.52,27.57,26401000.0
2020-03-24,29.83,33.09,29.14,32.93,25905500.0
2020-03-25,33.6,35.17,31.97,33.69,27198500.0
2020-03-26,33.51,36.53,33.04,35.4,26422500.0
2020-03-27,33.35,34.43,32.83,33.71,33375400.0
2020-03-30,33.24,35.03,32.68,34.54,18046400.0
2020-03-31,34.23,34.98,33.43,33.7,17122600.0
2020-04-01,31.4,32.13,30.89,31.34,23755100.0
2020-04-02,31.07,33.7,30.98,33.6,21656000.0
2020-04-03,33.27,34.0,32.57,33.55,16926500.0
2020-04-06,35.62,37.17,35.44,36.69,18788700.0
2020-04-07,39.31,39.31,36.54,36.62,19536700.0
2020-04-08,37.38,39.43,37.12,39.03,15376700.0
2020-04-09,39.91,41.48,39.83,40.72,21904400.0
2020-04-13,40.52,40.64,38.91,39.23,13369900.0
2020-04-14,40.16,40.41,38.04,39.51,14471900.0
2020-04-15,37.88,39.07,37.26,38.07,15590100.0
2020-04-16,37.53,38.48,36.75,38.03,27913000.0
2020-04-17,39.21,39.75,37.86,38.75,25074500.0
