Date,Open,High,Low,Close,Volume
2020-02-10,100.06,100.35,99.7,100.07,535300
2020-02-11,100.52,102.48,100.47,101.88,1003800
2020-02-12,102.98,103.43,101.25,101.43,704100
2020-02-13,101.04,101.44,100.18,100.22,705200
2020-02-14,99.95,100.43,99.14,100.21,688800
2020-02-18,100.03,100.37,98.86,99.84,667900
2020-02-19,100.18,102.17,100.18,102.06,691000
2020-02-20,101.64,103.23,101.5,101.69,753000
2020-02-21,100.86,101.11,99.59,100.94,990400
2020-02-24,96.79,98.0,95.02,95.58,1437100
2020-02-25,95.8,96.39,89.91,90.24,1748600
2020-02-26,91.47,92.26,87.85,88.49,2473700
2020-02-27,86.51,89.7,85.78,86.82,3088200
2020-02-28,83.74,86.97,82.35,86.9,3582300
2020-03-02,86.88,87.68,83.87,87.62,3152600
2020-03-03,87.33,88.69,80.95,82.62,2853800
2020-03-04,83.9,84.94,81.13,84.22,1837900
2020-03-05,80.49,81.04,79.02,80.1,2639700
2020-03-06,77.62,78.72,75.59,76.88,2610500
2020-03-09,70.26,72.3,68.53,70.14,3275900
2020-03-10,73.58,74.73,70.16,73.63,2591800
2020-03-11,71.2,72.9,69.25,70.77,2440700
2020-03-12,65.11,69.4,63.02,63.04,3488100
2020-03-13,67.66,76.35,66.34,76.05,3534000
2020-03-16,64.09,70.7,61.74,62.22,2885200
2020-03-17,64.36,68.74,61.51,68.55,3567800
2020-03-18,64.43,69.81,63.28,66.18,2953900
2020-03-19,65.13,72.01,62.86,67.41,2586700
2020-03-20,67.56,69.38,64.0,64.56,2422900
2020-03-23,65.17,65.29,60.67,63.11,2312000
2020-03-24,66.16,70.25,66.14,69.86,1936800
2020-03-25,70.43,75.78,67.66,72.86,1827900
2020-03-26,73.57,75.9,72.56,75.35,1585800
2020-03-27,72.71,75.45,71.82,73.98,1582100
2020-03-30,73.9,76.19,72.07,75.79,1455500
2020-03-31,74.65,76.89,73.97,75.46,1585500
2020-04-01,71.25,73.91,70.62,73.0,1657900
2020-04-02,71.51,77.5,71.51,76.92,1883900
2020-04-03,75.98,77.97,74.57,77.03,1520200
2020-04-06,79.55,82.38,78.04,81.37,2238600
2020-04-07,85.04,86.14,82.31,82.6,2169000
2020-04-08,83.55,84.7,80.97,83.38,1742500
2020-04-09,84.88,86.48,83.49,84.89,2148000
2020-04-13,84.37,84.8,81.93,83.55,1136500
2020-04-14,85.88,86.0,82.45,83.39,1277000
2020-04-15,80.4,80.88,78.2,78.89,1567900
2020-04-16,79.02,80.73,77.19,77.96,1722000
2020-04-17,80.96,82.48,79.05,80.0,3483900
