Date,Open,High,Low,Close,Volume
2020-02-10,150.73,152.08,150.55,152.08,1206400
2020-02-11,152.56,153.89,152.41,153.0,1224400
2020-02-12,154.2,155.11,153.05,153.42,956100
2020-02-13,152.97,153.75,152.35,153.52,1388000
2020-02-14,153.37,153.64,151.41,152.35,1832400
2020-02-18,151.72,152.35,148.27,149.64,2121900
2020-02-19,150.39,152.12,150.13,151.58,1317400
2020-02-20,150.98,153.15,150.51,152.69,1426400
2020-02-21,151.82,152.29,150.03,152.02,1547500
2020-02-24,147.58,148.48,146.37,147.09,2234700
2020-02-25,147.18,147.61,139.38,139.71,2828000
2020-02-26,140.9,141.43,137.08,137.11,2734800
2020-02-27,134.44,135.23,129.02,129.11,3668800
2020-02-28,124.85,126.47,121.13,124.94,4900400
2020-03-02,125.35,131.23,123.21,131.11,2965200
2020-03-03,130.47,132.09,122.62,124.04,3545500
2020-03-04,125.69,128.11,123.17,127.9,2598600
2020-03-05,123.22,123.37,117.08,119.29,3561500
2020-03-06,114.05,117.12,110.82,112.91,3704000
2020-03-09,101.41,105.97,96.42,97.61,4702300
2020-03-10,102.85,107.72,99.14,106.79,4757100
2020-03-11,103.08,104.85,98.97,100.76,5605500
2020-03-12,92.4,102.8,89.84,93.62,5347700
2020-03-13,102.12,105.94,98.31,105.74,6420100
2020-03-16,90.13,102.1,88.23,88.93,5318400
2020-03-17,90.24,95.08,86.53,94.89,4486800
2020-03-18,87.75,90.14,80.09,86.52,5107400
2020-03-19,84.44,95.38,83.59,91.35,3370800
2020-03-20,92.99,94.27,85.6,88.46,3939900
2020-03-23,85.35,87.42,78.49,79.71,3848300
2020-03-24,85.55,89.94,83.68,89.14,5137300
2020-03-25,90.46,96.05,85.9,90.99,3793100
2020-03-26,91.51,102.53,90.99,101.73,3735700
2020-03-27,96.35,102.1,95.86,98.97,2535500
2020-03-30,98.12,100.5,96.69,99.8,2707400
2020-03-31,97.59,99.38,93.15,94.61,3563600
2020-04-01,88.96,89.71,85.52,86.34,4024600
2020-04-02,86.32,90.91,84.87,89.68,3063500
2020-04-03,88.36,90.07,83.05,84.21,3118600
2020-04-06,89.13,95.04,88.52,94.21,3169700
2020-04-07,100.18,102.14,93.34,93.82,2962500
2020-04-08,94.76,99.19,93.53,98.35,2900300
2020-04-09,100.4,105.54,99.83,104.2,4331400
2020-04-13,103.92,104.05,99.26,99.79,2802100
2020-04-14,102.03,102.95,96.57,98.32,3377000
2020-04-15,94.55,96.6,91.1,92.43,3934200
2020-04-16,92.83,93.33,89.13,90.54,3104200
2020-04-17,94.28,101.86,94.12,101.5,4058200
