Date,Open,High,Low,Close,Volume
2020-02-10,91.51,92.04,91.13,92.01,1178700
2020-02-11,92.45,93.89,92.1,92.96,1490600
2020-02-12,93.67,94.29,93.02,93.04,1535500
2020-02-13,92.62,93.0,92.13,92.67,1449600
2020-02-14,92.79,93.13,92.1,92.68,1195700
2020-02-18,92.08,92.93,90.71,91.4,1442600
2020-02-19,91.72,91.86,91.29,91.32,1421900
2020-02-20,91.27,92.7,91.21,91.99,1422200
2020-02-21,91.16,91.55,89.69,90.83,2103100
2020-02-24,87.41,87.85,85.39,86.15,3387100
2020-02-25,86.54,86.54,81.89,82.46,2961200
2020-02-26,83.15,83.46,80.28,80.36,3064800
2020-02-27,77.8,79.13,75.79,76.04,3928000
2020-02-28,73.46,74.49,71.79,74.01,5092900
2020-03-02,74.57,78.21,73.85,78.04,5088800
2020-03-03,77.95,78.6,72.96,73.63,3844400
2020-03-04,74.98,75.74,72.3,75.7,3976000
2020-03-05,72.65,72.77,69.91,70.88,3709400
2020-03-06,67.16,70.42,66.65,68.48,5168300
2020-03-09,62.53,64.57,56.29,57.13,7662100
2020-03-10,60.89,62.01,58.26,61.67,7946300
2020-03-11,58.9,59.45,56.11,56.86,5755700
2020-03-12,51.81,52.04,45.42,45.43,7775400
2020-03-13,50.82,51.98,45.75,51.91,8143900
2020-03-16,43.16,47.15,42.35,42.52,6806800
2020-03-17,43.71,46.07,39.24,45.88,8187500
2020-03-18,41.76,46.99,41.14,45.3,7466100
2020-03-19,43.92,46.98,42.19,43.52,5083800
2020-03-20,44.36,45.43,41.21,41.45,6519000
2020-03-23,40.23,41.2,37.88,38.47,6673400
2020-03-24,42.05,47.06,41.37,46.56,4764100
2020-03-25,49.54,55.33,46.35,50.63,5927500
2020-03-26,51.47,56.68,51.36,53.61,5747500
2020-03-27,50.59,54.29,49.81,52.03,4724600
2020-03-30,51.16,53.09,50.07,52.72,3227000
2020-03-31,52.24,52.75,49.74,51.15,4656000
2020-04-01,47.57,48.9,45.69,46.1,4233900
2020-04-02,45.48,47.98,44.7,45.74,3999400
2020-04-03,45.41,46.47,44.18,45.21,4530000
2020-04-06,48.95,49.26,46.79,48.2,4675700
2020-04-07,52.94,53.02,49.72,51.07,5451900
2020-04-08,52.0,54.37,51.58,53.97,3952000
2020-04-09,55.86,59.47,55.62,57.58,3738100
2020-04-13,57.51,58.24,54.16,56.89,3091900
2020-04-14,57.95,58.77,55.9,57.49,3748600
2020-04-15,54.38,54.92,52.9,53.48,3839700
2020-04-16,52.9,53.35,50.83,51.39,3092900
2020-04-17,54.31,55.88,53.62,55.52,4589200
