Date,Open,High,Low,Close,Volume
2020-02-10,278.11,281.93,277.81,281.85,215100
2020-02-11,283.58,290.16,280.26,287.53,411900
2020-02-12,287.85,287.85,280.9,283.63,243300
2020-02-13,282.99,287.69,282.99,287.67,233900
2020-02-14,287.95,289.76,285.58,287.27,209700
2020-02-18,286.41,286.51,283.13,285.71,205900
2020-02-19,287.14,287.73,285.45,286.49,243700
2020-02-20,284.93,285.97,281.22,283.87,160500
2020-02-21,283.35,285.87,282.93,285.77,235000
2020-02-24,281.54,283.39,277.21,279.05,593100
2020-02-25,278.46,279.62,273.76,274.63,438500
2020-02-26,276.16,277.1,269.38,269.38,349000
2020-02-27,266.68,270.49,258.11,258.12,354000
2020-02-28,253.22,254.21,238.82,244.39,676700
2020-03-02,244.52,256.44,244.25,254.52,771700
2020-03-03,254.51,258.31,247.71,249.87,439400
2020-03-04,253.36,265.79,251.91,265.59,302700
2020-03-05,259.41,260.2,250.62,253.56,304400
2020-03-06,245.83,251.41,243.06,249.94,334200
2020-03-09,220.0,239.8,220.0,231.46,513300
2020-03-10,239.05,239.47,227.56,238.64,397600
2020-03-11,231.49,235.94,222.2,226.23,497200
2020-03-12,210.16,210.27,199.31,199.31,625900
2020-03-13,209.28,212.65,199.27,211.48,704200
2020-03-16,181.58,204.43,169.22,181.23,803600
2020-03-17,185.33,197.54,179.04,196.54,605600
2020-03-18,182.2,189.47,170.85,187.29,625400
2020-03-19,185.54,196.33,175.46,185.83,624600
2020-03-20,187.58,200.52,178.63,193.18,654800
2020-03-23,188.57,188.57,166.89,170.66,796000
2020-03-24,180.49,188.36,176.79,184.18,398100
2020-03-25,185.09,187.07,172.76,173.51,708500
2020-03-26,177.55,194.71,171.56,193.86,693900
2020-03-27,184.97,193.47,182.06,187.86,418400
2020-03-30,187.54,199.24,183.79,196.99,341000
2020-03-31,194.64,196.24,188.44,190.97,353300
2020-04-01,178.17,184.5,175.39,179.87,438100
2020-04-02,179.37,188.24,176.31,186.26,524400
2020-04-03,183.77,187.03,175.34,176.68,384800
2020-04-06,185.48,189.66,183.1,188.5,340500
2020-04-07,196.87,200.42,189.22,189.81,374900
2020-04-08,191.66,198.24,187.65,196.31,302900
2020-04-09,198.88,211.2,198.5,210.7,330900
2020-04-13,208.6,208.6,200.34,200.62,230000
2020-04-14,206.09,207.39,198.76,201.59,322800
2020-04-15,195.14,196.99,189.13,189.59,258200
2020-04-16,188.47,189.77,184.29,185.74,378300
2020-04-17,191.99,196.43,190.64,194.87,498100
