Date,Open,High,Low,Close,Volume
2020-02-10,15.87,15.92,15.76,15.9,8848600
2020-02-11,15.97,16.21,15.94,16.03,6629600
2020-02-12,16.16,16.32,15.98,16.09,5081900
2020-02-13,16.01,16.23,15.93,16.22,4604400
2020-02-14,16.17,16.2,16.04,16.16,5911600
2020-02-18,16.04,16.14,15.77,15.93,9830000
2020-02-19,16.03,16.1,15.96,16.05,5140500
2020-02-20,15.96,16.3,15.96,16.16,9131300
2020-02-21,16.04,16.07,15.81,15.95,12312700
2020-02-24,15.38,15.53,15.35,15.37,10858700
2020-02-25,15.37,15.4,14.36,14.45,15818400
2020-02-26,14.59,14.8,14.21,14.24,11377700
2020-02-27,13.86,14.16,13.47,13.53,15071800
2020-02-28,13.15,13.54,12.87,13.21,28630100
2020-03-02,13.32,14.19,13.09,14.17,23705400
2020-03-03,14.12,14.43,13.65,13.76,32399400
2020-03-04,13.95,14.28,13.73,14.21,20535200
2020-03-05,13.66,13.92,13.52,13.64,24354300
2020-03-06,12.91,13.37,12.57,12.82,21487800
2020-03-09,11.31,11.55,10.12,10.34,23502700
2020-03-10,10.9,11.37,10.38,11.33,17013400
2020-03-11,10.91,11.11,10.31,10.56,25918700
2020-03-12,9.66,10.25,9.08,9.34,18790100
2020-03-13,10.25,10.45,9.46,9.85,28002000
2020-03-16,8.41,8.66,8.03,8.21,20294300
2020-03-17,8.36,9.15,7.82,8.77,23497600
2020-03-18,8.18,8.59,7.2,7.27,18007800
2020-03-19,7.17,8.35,6.85,8.18,15534000
2020-03-20,8.29,8.65,7.77,8.16,23045600
2020-03-23,8.03,8.24,7.5,7.62,17459500
2020-03-24,8.21,8.94,8.08,8.74,15558100
2020-03-25,8.94,9.08,8.42,8.62,18087500
2020-03-26,8.74,9.84,8.71,9.73,17779900
2020-03-27,9.12,9.97,9.1,9.55,12732600
2020-03-30,9.42,9.59,9.02,9.38,11634200
2020-03-31,9.25,9.33,8.74,8.86,15360200
2020-04-01,8.25,8.53,7.96,8.2,14045200
2020-04-02,8.07,8.63,7.93,8.28,14036000
2020-04-03,8.25,8.33,7.8,7.97,14772800
2020-04-06,8.5,8.87,8.29,8.77,15990700
2020-04-07,9.55,9.8,9.2,9.27,14330800
2020-04-08,9.44,10.08,9.41,9.98,10880200
2020-04-09,10.37,11.08,10.33,10.87,16772700
2020-04-13,10.87,10.93,10.25,10.54,11637000
2020-04-14,10.71,10.84,9.77,9.99,16539500
2020-04-15,9.37,9.53,9.14,9.17,13275000
2020-04-16,9.1,9.13,8.64,8.74,15716100
2020-04-17,8.9,9.59,8.66,9.4,16877000
