Date,Open,High,Low,Close,Volume
2020-02-10,135.12,135.37,134.25,135.33,807700
2020-02-11,135.44,136.61,134.76,136.48,1042000
2020-02-12,136.67,136.79,134.8,134.82,824800
2020-02-13,135.02,136.26,134.34,135.98,927200
2020-02-14,135.72,137.25,135.34,136.86,981400
2020-02-18,136.58,136.79,134.87,134.99,1206100
2020-02-19,135.11,135.28,133.31,133.63,1272200
2020-02-20,133.1,133.57,131.73,133.1,1629100
2020-02-21,133.38,134.44,132.36,134.27,1469700
2020-02-24,132.64,134.66,132.44,133.24,1828700
2020-02-25,133.23,133.32,129.87,129.93,1949000
2020-02-26,130.42,131.29,127.72,127.72,1715500
2020-02-27,126.51,128.21,123.23,123.26,2689600
2020-02-28,120.92,121.93,116.61,119.02,3756000
2020-03-02,119.02,126.85,118.55,126.84,3349900
2020-03-03,126.74,127.76,123.55,124.49,2694500
2020-03-04,125.43,130.69,124.5,130.67,2423100
2020-03-05,126.81,128.48,125.98,127.18,2445500
2020-03-06,123.39,124.96,121.66,124.02,2550400
2020-03-09,116.12,118.48,113.3,116.2,3658300
2020-03-10,118.58,119.78,113.8,119.57,2615200
2020-03-11,115.69,116.37,111.19,112.6,3032200
2020-03-12,105.61,110.66,101.22,102.18,3485600
2020-03-13,107.51,107.55,99.19,107.45,3602300
2020-03-16,97.85,98.48,84.86,85.1,4731800
2020-03-17,87.11,96.7,80.4,96.41,5424900
2020-03-18,90.25,93.5,76.99,81.69,3939100
2020-03-19,81.16,86.45,77.52,86.07,3177500
2020-03-20,86.15,94.18,84.96,89.51,5949500
2020-03-23,87.6,92.5,87.11,88.36,4915700
2020-03-24,91.32,94.36,86.76,93.74,4293300
2020-03-25,93.37,94.96,87.66,92.18,4151400
2020-03-26,93.09,98.93,90.1,98.67,4610600
2020-03-27,94.87,103.01,94.81,99.95,3085400
2020-03-30,99.85,102.99,96.2,102.59,2733700
2020-03-31,100.74,101.72,99.01,99.35,2919500
2020-04-01,94.76,98.07,94.4,95.2,3182600
2020-04-02,94.55,98.93,93.9,97.19,1852300
2020-04-03,96.09,97.32,92.94,93.89,1784100
2020-04-06,98.0,99.49,96.78,98.98,3042500
2020-04-07,102.47,104.2,100.67,100.78,1944000
2020-04-08,101.6,105.48,100.12,104.94,1482100
2020-04-09,106.34,111.7,105.75,109.74,1693400
2020-04-13,109.61,109.88,105.83,106.42,1241500
2020-04-14,107.23,109.51,106.34,108.02,2122800
2020-04-15,103.02,105.23,101.97,102.17,1994700
2020-04-16,101.96,102.22,98.97,99.81,1721100
2020-04-17,103.3,105.34,102.15,105.07,2038500
