Date,Open,High,Low,Close,Volume
2020-02-10,53.8,54.0,53.46,54.0,5602700
2020-02-11,54.07,54.66,54.06,54.29,5309400
2020-02-12,54.61,55.04,54.15,54.17,4112400
2020-02-13,54.02,54.72,53.84,54.53,4928100
2020-02-14,54.56,54.68,54.2,54.46,4351500
2020-02-18,54.24,54.45,53.17,53.78,5591200
2020-02-19,54.06,54.24,53.97,54.11,4219800
2020-02-20,53.93,54.58,53.88,54.16,4906200
2020-02-21,53.88,54.05,53.42,53.91,5666000
2020-02-24,52.43,52.97,52.33,52.46,7773800
2020-02-25,52.41,52.7,49.96,50.12,10564600
2020-02-26,50.59,50.85,49.07,49.08,12018000
2020-02-27,48.13,49.0,46.95,46.96,13412800
2020-02-28,45.47,46.16,44.38,45.89,24633400
2020-03-02,45.93,47.59,44.98,47.59,12673900
2020-03-03,47.42,48.46,45.14,45.56,13197700
2020-03-04,46.02,46.25,44.79,46.11,12095400
2020-03-05,44.77,44.77,42.62,43.27,12815800
2020-03-06,41.19,42.23,40.92,41.95,14127500
2020-03-09,37.57,38.59,35.46,35.89,17811700
2020-03-10,37.99,38.47,35.73,38.19,16815700
2020-03-11,36.57,37.21,35.11,35.78,18947700
2020-03-12,33.24,34.0,30.66,31.24,20621100
2020-03-13,34.21,36.71,32.57,36.66,20211400
2020-03-16,29.7,35.08,29.65,32.19,14280000
2020-03-17,32.98,33.91,30.87,33.32,16232200
2020-03-18,31.02,33.56,30.55,32.61,18092700
2020-03-19,31.95,33.53,30.71,32.82,16042700
2020-03-20,33.48,33.53,30.69,32.19,20375900
2020-03-23,31.39,31.87,28.25,28.59,13417600
2020-03-24,30.52,31.13,29.41,30.83,14752200
2020-03-25,31.03,33.34,29.64,31.65,17018600
2020-03-26,32.0,36.29,31.85,35.76,16014300
2020-03-27,34.06,36.75,33.77,35.35,11470300
2020-03-30,35.0,36.1,34.01,35.87,9825600
2020-03-31,35.44,36.37,33.92,34.45,11034500
2020-04-01,32.53,33.0,31.26,31.93,11203900
2020-04-02,31.6,33.08,31.45,32.67,8497600
2020-04-03,32.42,32.88,30.78,31.19,7148800
2020-04-06,33.17,34.71,33.0,34.37,9205000
2020-04-07,36.72,36.89,34.34,34.45,8122100
2020-04-08,34.96,35.9,34.38,35.65,7236600
2020-04-09,36.71,38.78,36.43,38.05,10117200
2020-04-13,38.0,38.09,36.33,36.79,7678300
2020-04-14,37.69,37.69,35.25,35.8,7781800
2020-04-15,35.13,35.5,32.81,33.33,11726400
2020-04-16,33.02,33.64,31.4,31.78,10664600
2020-04-17,33.08,35.29,33.08,35.06,10757200
