Date,Open,High,Low,Close,Volume
2020-02-10,207.73,214.04,207.38,213.84,727000
2020-02-11,214.52,215.24,211.96,212.11,594700
2020-02-12,212.36,213.01,211.34,211.85,505200
2020-02-13,211.85,213.22,211.71,211.93,522800
2020-02-14,210.75,212.8,210.43,212.8,499000
2020-02-18,213.15,213.34,210.71,211.83,428500
2020-02-19,212.52,212.78,210.83,210.9,390500
2020-02-20,210.6,212.4,207.82,208.65,485000
2020-02-21,207.65,208.12,205.46,207.59,790100
2020-02-24,205.52,207.03,203.99,204.7,675100
2020-02-25,205.3,206.02,201.49,201.82,768000
2020-02-26,203.71,205.64,201.99,203.61,880600
2020-02-27,202.12,205.15,193.74,193.74,966600
2020-02-28,189.15,190.4,183.6,188.48,1792400
2020-03-02,188.94,199.04,188.27,198.73,1009900
2020-03-03,197.14,200.1,193.72,196.36,1012000
2020-03-04,199.39,206.3,198.49,205.71,1143400
2020-03-05,200.53,203.55,199.11,200.95,1096800
2020-03-06,194.16,199.92,191.56,198.9,893300
2020-03-09,200.09,207.79,177.71,183.99,4032000
2020-03-10,187.19,192.11,181.48,186.91,2639100
2020-03-11,181.48,194.32,177.29,187.48,2973000
2020-03-12,176.86,183.57,164.75,172.1,2169100
2020-03-13,177.0,181.77,169.23,179.31,1989400
2020-03-16,166.55,173.99,154.93,163.34,1643900
2020-03-17,167.33,180.31,167.32,172.42,2651700
2020-03-18,164.37,164.37,145.34,156.51,1358700
2020-03-19,156.33,157.64,145.44,151.97,1416300
2020-03-20,148.66,157.35,147.56,152.01,1713000
2020-03-23,151.56,155.52,142.76,146.96,1673400
2020-03-24,152.83,171.38,152.83,169.16,1832200
2020-03-25,168.53,168.96,161.19,163.09,2078000
2020-03-26,163.31,168.66,160.86,164.83,2648200
2020-03-27,159.26,172.17,157.02,166.53,1292200
2020-03-30,168.83,174.56,165.51,172.95,1393900
2020-03-31,169.73,172.38,165.65,169.85,1301600
2020-04-01,162.13,166.7,154.26,156.19,1149200
2020-04-02,153.29,162.38,153.16,158.41,1053600
2020-04-03,157.5,159.76,153.13,157.09,1351600
2020-04-06,164.14,176.96,162.58,175.36,1296100
2020-04-07,180.04,182.3,176.02,178.69,1126700
2020-04-08,179.63,193.31,177.99,190.05,1376400
2020-04-09,191.07,196.85,189.18,196.02,824100
2020-04-13,193.88,195.64,187.48,189.7,802600
2020-04-14,192.12,197.1,190.05,197.0,1107200
2020-04-15,190.83,194.23,184.16,185.65,1078100
2020-04-16,186.44,190.82,183.67,189.19,1009200
2020-04-17,192.45,196.59,191.68,195.39,847100
