Date,Open,High,Low,Close,Volume
2020-02-10,82.83,84.43,82.72,84.22,2066900
2020-02-11,84.81,85.45,84.62,84.87,1543200
2020-02-12,85.18,85.84,85.07,85.21,1464200
2020-02-13,84.88,85.46,84.45,85.25,1596300
2020-02-14,85.5,85.64,84.9,85.6,1965400
2020-02-18,85.44,85.86,84.32,84.57,2872500
2020-02-19,84.48,85.62,83.24,85.13,4741300
2020-02-20,84.68,84.77,83.15,84.13,2543600
2020-02-21,83.69,84.87,83.19,84.85,1762500
2020-02-24,82.01,82.38,79.82,80.3,2919200
2020-02-25,80.5,80.67,77.49,77.75,2768000
2020-02-26,78.46,80.07,77.89,77.91,2526000
2020-02-27,76.49,80.1,76.18,77.23,2879400
2020-02-28,74.78,76.87,73.98,76.87,3755600
2020-03-02,77.11,81.79,77.04,81.76,3407500
2020-03-03,81.68,84.78,79.08,80.12,3017200
2020-03-04,81.56,84.22,80.52,84.14,1905300
2020-03-05,81.93,83.04,79.5,80.26,2322600
2020-03-06,77.75,78.7,76.31,78.36,2959900
2020-03-09,72.41,74.0,69.99,70.57,4598200
2020-03-10,72.86,73.43,69.48,72.72,3537300
2020-03-11,70.58,71.55,67.4,68.67,4985900
2020-03-12,63.84,66.97,62.0,63.26,5055000
2020-03-13,66.36,69.33,63.59,69.02,3261200
2020-03-16,63.25,66.45,60.97,63.97,4742800
2020-03-17,65.85,70.35,63.78,70.26,3341800
2020-03-18,65.02,69.7,65.01,68.7,4123900
2020-03-19,68.37,68.42,64.01,65.59,3430700
2020-03-20,65.82,70.82,64.8,66.29,3258400
2020-03-23,66.63,67.39,61.93,63.21,2989600
2020-03-24,65.36,68.01,64.44,66.83,2868900
2020-03-25,66.95,71.61,64.94,68.82,2628100
2020-03-26,69.82,74.26,69.47,73.53,3267500
2020-03-27,71.37,73.02,70.1,70.73,1829800
2020-03-30,71.06,73.18,71.06,72.67,1486200
2020-03-31,72.34,72.8,70.5,71.62,1822100
2020-04-01,69.47,70.23,68.15,68.92,2173600
2020-04-02,68.27,72.45,68.14,72.29,1840300
2020-04-03,71.71,72.33,69.66,70.42,2052600
2020-04-06,72.97,74.99,72.25,74.36,2312000
2020-04-07,76.61,77.56,74.02,74.03,2458000
2020-04-08,74.17,77.17,72.75,76.69,2703000
2020-04-09,76.43,78.72,76.23,78.33,2399900
2020-04-13,77.44,77.99,75.02,76.21,1533000
2020-04-14,77.3,79.2,77.24,78.83,2650300
2020-04-15,77.44,78.39,77.0,77.05,2721100
2020-04-16,78.06,78.92,76.47,78.75,1969300
2020-04-17,80.09,80.35,78.31,79.55,1313400
