Date,Open,High,Low,Close,Volume
2020-02-10,86.84,87.93,86.84,87.93,4219400
2020-02-11,88.27,89.04,88.16,88.8,2661900
2020-02-12,89.18,89.21,88.21,88.42,3389400
2020-02-13,88.13,88.67,87.33,88.31,4448800
2020-02-14,88.5,89.33,87.94,89.28,3919800
2020-02-18,89.05,89.11,87.94,88.51,4492300
2020-02-19,88.46,89.55,88.32,88.99,3464900
2020-02-20,88.73,89.18,87.67,88.09,3657500
2020-02-21,87.67,87.88,86.79,87.08,5570900
2020-02-24,85.09,85.31,83.72,84.28,5667200
2020-02-25,84.57,85.01,80.44,80.79,7021800
2020-02-26,81.79,82.53,80.77,81.02,7380100
2020-02-27,80.06,81.69,78.83,78.86,8655500
2020-02-28,76.8,77.83,73.71,76.71,16673000
2020-03-02,77.55,81.34,76.93,81.27,11483600
2020-03-03,81.24,83.15,76.94,77.66,9510600
2020-03-04,80.32,81.98,79.13,81.75,8660000
2020-03-05,79.95,81.13,78.8,80.18,9288700
2020-03-06,78.27,81.95,77.76,81.4,10647600
2020-03-09,76.29,79.01,74.79,76.7,10285000
2020-03-10,78.9,80.66,75.61,80.54,9417400
2020-03-11,78.2,78.74,76.03,77.76,11534200
2020-03-12,72.97,77.82,71.71,74.43,13876300
2020-03-13,77.58,82.32,74.52,81.31,18316900
2020-03-16,70.35,78.92,69.71,73.35,14358900
2020-03-17,75.2,79.46,73.03,79.16,13315300
2020-03-18,74.67,81.65,74.08,78.93,17541100
2020-03-19,81.02,81.47,73.24,74.19,14476000
2020-03-20,73.74,74.55,67.67,67.71,15131400
2020-03-23,66.79,67.21,61.35,62.56,13037100
2020-03-24,64.64,69.68,64.23,69.4,10903700
2020-03-25,68.66,72.33,67.86,70.45,9351000
2020-03-26,70.78,75.65,70.7,75.49,10530500
2020-03-27,77.18,77.18,73.3,74.25,8360600
2020-03-30,82.48,84.05,78.14,79.01,47540200
2020-03-31,81.09,81.15,78.23,78.58,23792300
2020-04-01,76.68,77.06,75.03,76.25,12208300
2020-04-02,75.8,79.33,75.68,79.11,10167900
2020-04-03,78.46,79.65,77.85,79.12,9139400
2020-04-06,80.74,82.77,79.28,82.38,12373800
2020-04-07,83.1,84.13,81.43,81.59,10872100
2020-04-08,82.15,85.03,80.71,84.59,9266400
2020-04-09,84.64,86.14,82.6,85.68,10474700
2020-04-13,85.96,86.12,83.17,85.49,6665800
2020-04-14,87.0,89.54,86.5,89.14,9861300
2020-04-15,90.01,91.9,88.51,90.94,14128000
2020-04-16,92.6,96.99,91.14,96.0,27036500
2020-04-17,97.45,97.75,94.24,96.01,16074800
