Date,Open,High,Low,Close,Volume
2020-02-10,274.86,277.0,273.0,275.52,1149200
2020-02-11,276.01,278.9,272.76,278.87,1777100
2020-02-12,285.21,295.63,285.21,294.9,2763300
2020-02-13,293.64,298.41,293.47,297.76,1931300
2020-02-14,298.18,299.74,294.36,296.72,1433800
2020-02-18,296.35,303.21,294.67,301.33,1972500
2020-02-19,300.89,303.39,298.19,302.93,1338700
2020-02-20,300.26,300.56,292.6,292.85,1889500
2020-02-21,290.95,295.69,289.09,293.62,1111000
2020-02-24,282.44,282.45,275.55,276.47,2518700
2020-02-25,278.17,278.44,263.51,266.41,1954900
2020-02-26,268.84,273.01,261.74,267.16,1733200
2020-02-27,262.08,267.09,256.52,256.9,2328900
2020-02-28,249.01,259.58,248.43,256.14,2983800
2020-03-02,258.64,271.18,249.45,270.26,3317500
2020-03-03,269.13,279.68,254.93,255.43,3017700
2020-03-04,285.49,296.42,284.28,295.32,5162200
2020-03-05,286.58,287.2,280.21,286.1,2868600
2020-03-06,277.15,283.08,267.93,281.14,3414600
2020-03-09,263.02,275.34,259.84,268.82,2712800
2020-03-10,277.3,287.04,271.99,284.99,2611600
2020-03-11,277.57,288.09,274.12,280.65,3415900
2020-03-12,261.06,277.66,252.52,255.26,3100200
2020-03-13,267.5,271.36,251.05,270.34,3027000
2020-03-16,226.5,247.98,216.27,224.04,2815300
2020-03-17,229.76,246.71,224.92,238.32,3100800
2020-03-18,224.45,230.0,186.61,206.96,3649800
2020-03-19,206.22,212.62,193.48,200.87,3322000
2020-03-20,204.29,217.94,185.69,191.59,4780200
2020-03-23,188.54,189.58,171.03,174.68,3236700
2020-03-24,183.98,201.0,181.12,196.84,3130500
2020-03-25,190.09,226.84,187.04,216.37,3521300
2020-03-26,221.28,238.79,215.0,235.67,2705300
2020-03-27,217.61,228.5,217.16,222.96,2585300
2020-03-30,224.66,233.88,220.16,230.58,2095800
2020-03-31,235.28,235.83,223.9,227.04,2956400
2020-04-01,217.01,221.55,210.41,214.3,2225900
2020-04-02,210.53,219.5,203.99,211.39,2625600
2020-04-03,208.89,210.93,199.17,203.3,1777000
2020-04-06,215.51,227.52,212.18,225.72,2648600
2020-04-07,235.7,236.57,220.94,224.05,2450000
2020-04-08,227.15,248.83,226.41,247.02,2415200
2020-04-09,240.94,248.06,239.93,242.46,2191200
2020-04-13,240.78,243.49,237.65,240.53,1036600
2020-04-14,245.76,254.19,245.24,252.01,2145600
2020-04-15,249.15,254.35,245.11,250.47,2424600
2020-04-16,254.51,273.39,250.62,271.84,2717300
2020-04-17,279.01,279.9,263.21,267.82,1954700
