Date,Open,High,Low,Close,Volume
2020-02-10,65.34,66.57,65.26,66.36,13218500
2020-02-11,66.8,67.0,66.42,66.44,7261400
2020-02-12,66.54,66.95,66.02,66.45,11213700
2020-02-13,66.17,66.4,65.5,65.54,9149500
2020-02-14,65.71,66.28,65.44,65.84,7530700
2020-02-18,65.96,66.42,64.9,65.53,13831900
2020-02-19,65.46,65.51,64.82,65.17,9905400
2020-02-20,65.09,65.44,64.36,64.64,11360500
2020-02-21,64.34,65.33,64.27,65.09,10134800
2020-02-24,63.55,64.53,63.17,63.44,12105000
2020-02-25,63.37,63.39,61.09,61.63,15706000
2020-02-26,61.24,62.87,61.1,61.53,11264600
2020-02-27,60.5,61.07,59.07,59.09,20618300
2020-02-28,57.29,58.72,55.91,58.58,28294900
2020-03-02,59.08,60.28,58.2,59.84,19500300
2020-03-03,60.36,61.34,57.86,58.71,18250100
2020-03-04,59.71,61.17,59.2,60.98,18228300
2020-03-05,60.2,60.74,59.35,60.0,15119400
2020-03-06,58.4,59.92,58.28,59.81,14833900
2020-03-09,55.55,58.65,55.54,57.19,22385900
2020-03-10,58.34,58.47,55.45,57.45,24831000
2020-03-11,56.31,57.48,55.35,56.05,19768800
2020-03-12,51.9,54.45,50.2,52.32,22963000
2020-03-13,54.44,55.04,51.35,54.54,23503600
2020-03-16,49.72,53.32,47.62,50.69,20582800
2020-03-17,51.4,53.66,50.78,53.65,17519600
2020-03-18,51.21,51.96,47.63,49.83,27384200
2020-03-19,49.7,50.3,47.73,48.39,20058300
2020-03-20,48.65,50.22,46.86,48.0,20370800
2020-03-23,46.8,48.0,45.38,46.02,21237000
2020-03-24,47.78,49.09,47.0,48.84,16484800
2020-03-25,48.63,51.52,47.77,48.94,20921300
2020-03-26,50.05,52.88,49.9,51.82,21600200
2020-03-27,50.69,53.34,50.45,52.36,14498400
2020-03-30,52.76,54.63,52.76,53.94,18013500
2020-03-31,53.85,55.78,53.79,55.28,28455600
2020-04-01,53.18,55.24,53.08,54.37,13441300
2020-04-02,54.84,55.32,53.58,55.21,12929400
2020-04-03,54.99,56.47,54.9,55.53,14654200
2020-04-06,57.07,58.07,56.58,57.87,22589700
2020-04-07,58.53,58.59,56.68,56.9,19224400
2020-04-08,57.05,59.13,56.36,58.25,15268700
2020-04-09,58.8,59.58,58.37,58.91,13256800
2020-04-13,58.5,59.4,58.06,58.92,13921600
2020-04-14,59.83,60.73,59.63,60.04,14259000
2020-04-15,59.3,59.89,58.9,59.46,14402100
2020-04-16,59.8,60.35,59.5,59.56,12984900
2020-04-17,60.38,60.77,59.88,60.6,16697800
