Date,Open,High,Low,Close,Volume
2020-02-10,63.15,63.27,62.5,63.0,4297600
2020-02-11,63.14,64.21,63.04,63.71,3628100
2020-02-12,64.66,67.07,64.57,66.49,6668900
2020-02-13,65.79,66.85,65.72,65.89,3112400
2020-02-14,65.78,65.88,64.27,64.94,5962400
2020-02-18,65.03,66.87,64.78,66.71,7022400
2020-02-19,66.72,67.45,66.07,67.37,7282300
2020-02-20,66.7,66.92,65.14,65.73,3676400
2020-02-21,65.21,65.92,64.84,65.49,3098900
2020-02-24,62.37,63.46,58.75,59.35,8368200
2020-02-25,59.78,59.9,55.83,55.95,6020300
2020-02-26,55.84,56.57,53.54,54.39,0
2020-02-27,53.27,55.22,52.15,52.62,9800200
2020-02-28,50.66,53.07,50.46,53.02,8612100
2020-03-02,53.51,55.6,51.55,55.44,9814500
2020-03-03,55.5,57.35,53.24,54.03,8821200
2020-03-04,60.9,63.39,59.74,62.46,17185600
2020-03-05,60.39,62.58,58.62,59.72,6569000
2020-03-06,57.4,58.83,56.33,58.56,8606800
2020-03-09,53.94,57.33,53.0,55.36,8343900
2020-03-10,57.26,60.7,56.33,60.37,8412800
2020-03-11,58.12,59.98,57.15,57.95,8351600
2020-03-12,52.75,60.67,51.87,57.13,9086600
2020-03-13,59.5,63.97,56.98,63.57,8702500
2020-03-16,56.77,58.43,54.02,54.03,7447300
2020-03-17,55.13,58.52,52.75,57.99,7641300
2020-03-18,54.03,55.66,43.96,52.68,7918700
2020-03-19,51.96,54.5,48.03,53.6,5897800
2020-03-20,54.48,57.35,47.95,48.85,8462900
2020-03-23,47.97,48.07,44.81,45.55,7328000
2020-03-24,48.17,50.25,46.27,48.73,8091200
2020-03-25,48.5,54.85,46.71,52.29,6327100
2020-03-26,53.25,58.61,52.17,58.3,6652800
2020-03-27,55.63,57.48,53.9,55.1,4706000
2020-03-30,55.24,58.96,54.87,57.71,4596000
2020-03-31,57.71,59.91,56.23,59.41,7812700
2020-04-01,56.36,57.64,55.65,56.12,4849700
2020-04-02,55.52,57.46,54.02,56.36,2980900
2020-04-03,55.95,56.75,53.83,54.6,3841400
2020-04-06,56.99,60.62,56.37,60.12,4578800
2020-04-07,62.41,63.22,59.2,60.15,5105500
2020-04-08,60.63,65.86,59.7,65.15,4992000
2020-04-09,65.13,68.63,64.47,66.42,6814300
2020-04-13,65.92,66.15,63.82,65.15,4896500
2020-04-14,66.67,67.5,65.85,66.4,5988700
2020-04-15,66.35,69.48,65.96,69.02,5993800
2020-04-16,69.5,73.21,68.96,72.85,4538100
2020-04-17,74.49,74.7,70.5,71.29,4640300
