Date,Open,High,Low,Close,Volume
2020-02-10,2.85,2.86,2.8,2.82,100026900
2020-02-11,2.84,2.86,2.82,2.85,69627600
2020-02-12,2.86,2.86,2.77,2.8,110840400
2020-02-13,2.78,2.83,2.78,2.8,112541400
2020-02-14,2.82,2.85,2.8,2.85,55055700
2020-02-18,2.82,2.84,2.81,2.83,109925100
2020-02-19,2.85,2.93,2.85,2.91,127291500
2020-02-20,2.9,2.91,2.84,2.89,82960200
2020-02-21,2.87,2.87,2.84,2.85,68420700
2020-02-24,2.77,2.82,2.76,2.79,114453000
2020-02-25,2.81,2.82,2.76,2.77,114201900
2020-02-26,2.78,2.83,2.72,2.74,84321000
2020-02-27,2.69,2.72,2.63,2.63,185052600
2020-02-28,2.56,2.56,2.46,2.53,271868400
2020-03-02,2.56,2.63,2.54,2.63,163798200
2020-03-03,2.64,2.68,2.54,2.57,188851500
2020-03-04,2.63,2.68,2.58,2.68,191176200
2020-03-05,2.71,2.71,2.55,2.58,153098100
2020-03-06,2.5,2.55,2.47,2.54,144981900
2020-03-09,2.35,2.43,2.35,2.36,157585500
2020-03-10,2.45,2.51,2.38,2.5,172870200
2020-03-11,2.43,2.5,2.4,2.44,153324900
2020-03-12,2.29,2.44,2.21,2.31,251262000
2020-03-13,2.41,2.42,2.14,2.29,313437600
2020-03-16,2.1,2.18,2.04,2.05,204039000
2020-03-17,2.09,2.18,2.0,2.18,214528500
2020-03-18,2.05,2.16,2.0,2.14,199940400
2020-03-19,2.13,2.3,2.08,2.23,210008700
2020-03-20,2.24,2.32,2.01,2.05,190714500
2020-03-23,2.02,2.03,1.91,1.94,213516000
2020-03-24,2.05,2.3,2.03,2.28,203747400
2020-03-25,2.29,2.45,2.27,2.36,160323300
2020-03-26,2.39,2.49,2.37,2.46,126262800
2020-03-27,2.37,2.49,2.37,2.45,97208100
2020-03-30,2.45,2.5,2.3,2.42,150311700
2020-03-31,2.42,2.43,2.31,2.33,244838700
2020-04-01,2.23,2.26,2.09,2.13,153341100
2020-04-02,2.11,2.29,2.11,2.28,123832800
2020-04-03,2.25,2.37,2.25,2.33,160371900
2020-04-06,2.41,2.42,2.34,2.41,145832400
2020-04-07,2.48,2.55,2.4,2.4,132507900
2020-04-08,2.43,2.58,2.4,2.56,127915200
2020-04-09,2.59,2.69,2.56,2.66,125898300
2020-04-13,2.63,2.64,2.49,2.56,78335100
2020-04-14,2.59,2.68,2.58,2.67,91238400
2020-04-15,2.62,2.67,2.61,2.65,79307100
2020-04-16,2.68,2.71,2.65,2.69,117069300
2020-04-17,2.76,2.82,2.73,2.82,158978700
