Date,Open,High,Low,Close,Volume
2020-02-10,145.24,146.25,144.77,146.18,1260400
2020-02-11,146.5,149.13,146.26,149.06,1232400
2020-02-12,149.61,151.4,149.0,150.05,1776900
2020-02-13,149.45,151.46,148.83,150.37,1544800
2020-02-14,150.33,150.48,147.41,149.07,1822100
2020-02-18,148.51,149.04,146.31,147.73,1401700
2020-02-19,147.73,149.71,147.55,149.57,1131900
2020-02-20,149.18,149.18,146.5,147.61,801200
2020-02-21,146.71,148.65,146.3,147.5,800600
2020-02-24,141.29,142.77,139.0,139.55,1515900
2020-02-25,140.29,140.45,131.69,132.55,2268400
2020-02-26,134.04,135.81,127.77,127.94,2715300
2020-02-27,126.32,133.43,124.74,126.93,3291000
2020-02-28,123.0,127.53,122.95,127.01,4689100
2020-03-02,127.07,135.55,125.01,135.05,3978900
2020-03-03,134.82,138.7,126.84,128.77,3250600
2020-03-04,135.5,140.0,133.69,135.23,3194200
2020-03-05,131.36,132.64,124.98,127.83,3389800
2020-03-06,123.57,127.43,122.25,127.2,2732900
2020-03-09,119.42,121.34,110.51,116.74,3248400
2020-03-10,120.83,122.26,113.38,120.87,3247100
2020-03-11,117.54,118.59,110.64,112.59,4054800
2020-03-12,103.99,109.02,101.01,101.51,4602200
2020-03-13,107.13,108.52,101.07,104.28,6110000
2020-03-16,93.0,96.55,83.87,84.45,5711600
2020-03-17,86.33,87.4,76.3,77.46,7008100
2020-03-18,73.02,74.21,58.38,68.13,6345800
2020-03-19,67.0,88.0,66.79,83.5,5333900
2020-03-20,85.2,88.45,75.02,78.5,5947500
2020-03-23,80.91,85.56,75.34,78.76,5829200
2020-03-24,86.31,92.06,82.95,86.75,4505300
2020-03-25,87.26,95.88,85.42,92.6,5038000
2020-03-26,95.09,103.74,90.18,94.44,4787300
2020-03-27,90.4,92.25,86.0,87.33,3708200
2020-03-30,88.98,92.41,86.02,90.96,3361900
2020-03-31,89.61,91.84,87.6,89.85,2929400
2020-04-01,83.92,86.39,82.02,83.73,3224500
2020-04-02,82.62,88.84,81.75,83.9,2180800
2020-04-03,83.32,84.35,79.74,81.83,2080800
2020-04-06,86.55,94.19,85.04,93.58,3918600
2020-04-07,99.51,102.61,97.82,98.61,4568000
2020-04-08,100.0,110.83,99.24,108.06,4130300
2020-04-09,108.73,112.18,105.63,108.06,3551600
2020-04-13,107.16,107.98,101.66,103.61,2817100
2020-04-14,105.3,112.72,105.22,112.54,3677100
2020-04-15,106.5,111.35,106.5,109.48,2513200
2020-04-16,109.53,110.75,106.62,108.32,2592500
2020-04-17,112.8,116.08,111.22,115.66,2362100
