Date,Open,High,Low,Close,Volume
2020-02-10,277.94,279.65,276.94,279.15,348200
2020-02-11,280.33,284.36,280.04,283.38,293100
2020-02-12,284.21,285.88,280.34,283.28,314500
2020-02-13,283.16,286.5,281.85,285.05,283900
2020-02-14,285.27,289.01,283.4,288.78,286800
2020-02-18,288.38,289.35,285.76,286.75,455300
2020-02-19,288.0,296.25,288.0,290.97,734100
2020-02-20,290.22,292.97,278.5,281.45,696500
2020-02-21,280.64,281.49,276.79,278.11,443300
2020-02-24,274.47,275.61,267.36,269.81,595400
2020-02-25,270.22,272.02,255.35,256.71,649000
2020-02-26,258.65,265.77,258.24,259.45,583900
2020-02-27,255.94,261.72,250.0,250.15,610100
2020-02-28,242.22,254.94,238.04,254.51,1614600
2020-03-02,254.93,262.33,247.67,261.99,700700
2020-03-03,259.25,263.73,247.63,251.25,728900
2020-03-04,256.07,263.34,251.0,263.03,602600
2020-03-05,258.17,260.01,250.97,255.16,524400
2020-03-06,245.44,250.83,242.75,249.89,559200
2020-03-09,236.1,246.34,230.56,242.83,909800
2020-03-10,251.99,256.0,241.35,255.36,605500
2020-03-11,245.59,252.64,243.37,245.58,694300
2020-03-12,230.16,246.67,225.75,241.0,1405500
2020-03-13,243.51,255.54,230.33,254.17,1371000
2020-03-16,231.94,240.23,223.71,223.83,1332000
2020-03-17,228.93,236.88,208.41,215.88,1271000
2020-03-18,204.34,213.29,199.18,205.13,1569300
2020-03-19,204.02,207.95,185.03,193.18,1852300
2020-03-20,193.95,196.94,180.19,183.29,1539200
2020-03-23,181.96,187.25,168.65,182.94,1386200
2020-03-24,190.38,207.06,186.73,204.99,1065900
2020-03-25,204.78,223.85,200.66,214.23,892300
2020-03-26,213.06,232.48,212.2,230.38,740500
2020-03-27,223.54,237.05,223.54,231.75,857900
2020-03-30,235.9,244.28,230.51,241.02,805200
2020-03-31,239.37,256.65,239.16,242.24,1175500
2020-04-01,237.81,239.28,227.7,230.66,940600
2020-04-02,226.02,240.76,226.02,239.7,786700
2020-04-03,237.88,244.0,233.25,234.55,946400
2020-04-06,246.26,255.64,243.37,254.43,743300
2020-04-07,260.66,264.99,247.64,251.74,723700
2020-04-08,249.42,256.25,244.98,254.73,820200
2020-04-09,256.02,261.06,252.87,258.58,633300
2020-04-13,254.73,257.15,246.4,254.39,402700
2020-04-14,256.24,264.98,254.4,263.01,486500
2020-04-15,255.02,260.97,251.22,257.82,443900
2020-04-16,261.13,266.33,258.0,261.12,421300
2020-04-17,268.29,268.29,260.63,265.16,416300
