Date,Open,High,Low,Close,Volume
2020-02-10,73.66,75.26,73.51,75.11,849700
2020-02-11,75.28,76.78,75.16,76.14,985500
2020-02-12,76.4,77.16,75.25,75.83,2120000
2020-02-13,77.6,78.44,75.01,78.05,2227400
2020-02-14,78.01,78.46,77.45,78.45,1370200
2020-02-18,79.0,79.33,78.13,79.3,1209900
2020-02-19,79.69,82.59,79.64,82.42,1895400
2020-02-20,82.0,83.12,80.93,82.77,2653300
2020-02-21,82.28,82.74,80.38,80.89,1414000
2020-02-24,79.88,80.31,77.42,78.87,1366400
2020-02-25,79.06,79.69,76.77,77.32,2174600
2020-02-26,78.06,79.22,76.97,77.97,1442300
2020-02-27,76.95,78.38,75.64,75.84,1641700
2020-02-28,73.69,76.44,73.5,75.41,2525500
2020-03-02,75.73,79.1,75.35,79.06,2261300
2020-03-03,78.55,79.77,76.63,77.8,1939400
2020-03-04,79.15,80.24,77.85,80.16,2043800
2020-03-05,78.35,80.15,78.0,78.61,1430200
2020-03-06,75.18,76.9,74.82,76.04,1800100
2020-03-09,72.47,73.49,71.02,71.09,2063100
2020-03-10,72.69,74.32,70.27,74.31,2933100
2020-03-11,72.18,73.89,70.97,71.9,2347100
2020-03-12,68.15,71.54,67.93,68.02,4007600
2020-03-13,69.55,74.0,69.55,73.84,3552500
2020-03-16,67.95,75.34,67.13,71.6,3589000
2020-03-17,73.11,76.48,69.86,70.37,3429600
2020-03-18,67.9,72.87,63.35,66.9,2667800
2020-03-19,66.3,67.81,63.95,66.51,2650700
2020-03-20,67.26,72.42,66.51,66.96,2726500
2020-03-23,67.7,68.6,62.48,63.18,2447200
2020-03-24,65.39,68.03,63.29,67.43,2794000
2020-03-25,66.75,71.48,65.71,69.59,2500100
2020-03-26,68.7,73.28,68.7,73.05,1855700
2020-03-27,71.2,72.16,68.55,68.96,1463900
2020-03-30,70.2,72.53,69.25,72.17,2023200
2020-03-31,71.44,73.89,70.52,73.23,1695300
2020-04-01,72.05,74.84,71.53,74.18,1966300
2020-04-02,73.51,77.42,73.51,77.07,1513500
2020-04-03,77.59,79.49,77.24,78.59,2222200
2020-04-06,80.55,85.25,80.25,85.11,3234100
2020-04-07,86.21,87.85,85.13,86.66,2971500
2020-04-08,86.74,88.59,85.95,87.75,2086000
2020-04-09,87.34,87.99,85.17,86.81,1810500
2020-04-13,85.68,88.24,85.68,88.01,1452100
2020-04-14,88.24,91.74,88.24,91.28,1937700
2020-04-15,89.22,91.79,88.93,90.95,1642200
2020-04-16,91.99,96.14,91.43,95.66,3501100
2020-04-17,97.83,100.27,96.16,100.0,3859300
