Date,Open,High,Low,Close,Volume
2020-02-10,157.0,160.14,156.52,159.93,1303800
2020-02-11,160.99,163.51,160.21,161.7,1582600
2020-02-12,164.85,169.14,160.0,166.11,2302400
2020-02-13,164.8,166.03,162.64,165.79,1440000
2020-02-14,165.3,165.5,162.17,164.32,2967400
2020-02-18,164.91,165.74,162.61,165.42,1436200
2020-02-19,166.28,166.28,164.13,164.39,1070700
2020-02-20,163.5,164.33,162.17,164.14,1574300
2020-02-21,163.48,164.35,161.57,163.43,967900
2020-02-24,159.42,160.26,156.63,158.08,1313100
2020-02-25,158.93,159.1,149.5,150.06,2918800
2020-02-26,151.37,154.37,148.94,149.39,1667800
2020-02-27,147.19,148.74,142.63,142.74,3406900
2020-02-28,138.91,141.24,136.23,139.49,3112200
2020-03-02,140.73,147.23,139.31,147.08,2504900
2020-03-03,147.44,150.25,139.53,141.36,1557200
2020-03-04,144.86,148.45,144.5,147.89,1228700
2020-03-05,143.84,144.78,136.51,138.21,2215000
2020-03-06,136.3,138.3,131.39,136.05,2110600
2020-03-09,129.46,131.14,122.97,124.0,2760800
2020-03-10,128.18,131.14,122.77,130.82,2721800
2020-03-11,126.63,128.24,123.26,125.42,2113000
2020-03-12,116.72,117.36,110.35,113.01,2911000
2020-03-13,119.79,120.6,111.08,118.71,2244600
2020-03-16,99.16,106.25,94.2,102.36,5128900
2020-03-17,104.09,110.54,101.05,107.69,3699900
2020-03-18,100.44,100.99,81.79,89.88,4695600
2020-03-19,88.83,104.83,82.0,90.62,3712000
2020-03-20,91.79,99.73,89.57,91.67,2987800
2020-03-23,92.0,92.0,82.03,84.0,2741900
2020-03-24,89.47,97.09,88.08,96.91,2750400
2020-03-25,97.23,111.63,94.16,104.88,3646400
2020-03-26,106.94,116.37,106.49,110.55,2865300
2020-03-27,105.72,108.45,100.89,107.14,3063700
2020-03-30,106.96,114.75,105.03,112.98,1627200
2020-03-31,111.8,113.61,105.21,107.86,2853200
2020-04-01,102.02,104.21,98.01,100.04,2084300
2020-04-02,100.46,105.4,99.07,104.78,1708600
2020-04-03,104.55,108.63,101.0,102.72,2687700
2020-04-06,109.57,119.09,108.3,117.14,2062200
2020-04-07,124.22,124.99,116.91,119.68,2148600
2020-04-08,120.74,129.5,117.57,127.87,1634400
2020-04-09,128.3,132.18,127.7,128.53,1522900
2020-04-13,127.4,127.68,121.34,124.79,1980800
2020-04-14,127.22,129.0,125.46,126.49,1415000
2020-04-15,123.39,124.54,121.22,124.02,1327500
2020-04-16,124.78,125.79,122.16,124.46,973300
2020-04-17,128.03,131.76,127.72,131.57,1486300
