Date,Open,High,Low,Close,Volume
2020-02-10,140.11,144.12,139.73,144.08,4892100
2020-02-11,144.3,144.43,141.77,142.83,2976400
2020-02-12,143.25,143.48,142.08,142.1,3953200
2020-02-13,142.19,143.07,141.13,141.14,3455500
2020-02-14,141.58,141.65,139.91,140.46,2273700
2020-02-18,140.36,141.29,139.87,140.35,2858200
2020-02-19,140.96,141.18,139.7,140.17,3082800
2020-02-20,140.97,142.14,140.54,141.33,3417000
2020-02-21,140.68,141.98,139.67,141.37,2900900
2020-02-24,138.63,140.93,137.22,137.5,4727400
2020-02-25,138.29,138.58,133.99,134.78,3401600
2020-02-26,135.39,136.38,132.69,132.9,4659000
2020-02-27,132.71,134.04,128.45,128.58,4292800
2020-02-28,125.79,126.21,120.94,125.54,7898300
2020-03-02,127.14,132.38,125.62,132.22,7355700
2020-03-03,132.66,135.01,128.09,129.7,6936600
2020-03-04,132.41,140.2,132.38,139.72,5301900
2020-03-05,137.73,141.25,136.89,139.49,6882100
2020-03-06,135.48,141.69,134.91,140.8,8010700
2020-03-09,133.39,140.27,132.69,135.08,5351300
2020-03-10,138.58,141.26,134.09,140.53,5961200
2020-03-11,138.81,141.18,136.75,139.36,7211800
2020-03-12,130.18,135.86,125.34,125.43,7836300
2020-03-13,132.33,138.72,127.91,138.72,6841700
2020-03-16,130.39,138.03,127.65,128.77,6619700
2020-03-17,132.59,142.92,130.49,142.53,8909200
2020-03-18,135.7,143.33,133.45,142.42,6734600
2020-03-19,141.82,142.31,130.51,132.47,6554800
2020-03-20,131.54,131.63,119.67,121.83,9113500
2020-03-23,120.38,126.29,116.51,118.49,7299300
2020-03-24,122.66,124.02,116.86,122.31,6827300
2020-03-25,119.56,125.55,118.65,121.37,6472100
2020-03-26,122.71,135.1,121.37,133.72,6723600
2020-03-27,130.04,136.97,129.59,133.48,4717400
2020-03-30,133.24,141.11,132.88,137.79,5057400
2020-03-31,136.32,141.35,133.89,138.07,7560100
2020-04-01,133.37,136.55,132.36,135.78,3297900
2020-04-02,134.72,142.13,132.41,141.51,4725000
2020-04-03,140.26,143.92,137.81,139.01,4013200
2020-04-06,141.6,142.83,139.64,140.95,4159900
2020-04-07,142.46,144.12,139.39,141.22,3900600
2020-04-08,141.38,146.56,139.84,145.53,4006600
2020-04-09,143.83,145.71,142.88,145.05,4415300
2020-04-13,144.29,145.9,142.21,143.74,2289000
2020-04-14,146.59,150.84,143.38,150.4,3809600
2020-04-15,148.24,152.68,147.81,150.47,3614400
2020-04-16,152.17,154.86,151.29,154.0,3512900
2020-04-17,154.69,156.93,152.31,156.55,3709900
