Date,Open,High,Low,Close,Volume
2020-02-10,92.29,94.52,92.21,94.18,396100
2020-02-11,94.9,96.13,94.72,95.77,502200
2020-02-12,96.38,97.15,95.73,96.41,559400
2020-02-13,95.79,96.39,94.85,95.9,470200
2020-02-14,96.16,96.16,95.33,95.48,553200
2020-02-18,95.32,95.96,93.72,94.08,380300
2020-02-19,94.36,94.82,94.01,94.25,533400
2020-02-20,93.69,94.41,92.28,93.22,439000
2020-02-21,92.7,93.27,92.05,92.77,520400
2020-02-24,90.44,90.47,87.89,88.54,679500
2020-02-25,88.97,89.3,85.28,85.67,613100
2020-02-26,86.31,87.98,85.6,85.92,731600
2020-02-27,84.51,87.64,83.56,84.25,1015200
2020-02-28,82.56,86.36,82.55,86.36,1561100
2020-03-02,86.48,88.2,84.16,86.71,1269700
2020-03-03,86.91,90.27,84.96,86.14,847700
2020-03-04,87.76,89.05,86.54,89.05,549900
2020-03-05,86.91,87.12,83.54,84.52,848100
2020-03-06,82.32,83.98,81.32,83.44,704800
2020-03-09,78.93,79.13,76.06,77.36,1214800
2020-03-10,78.83,79.06,75.27,78.86,1094000
2020-03-11,76.79,77.11,72.02,72.78,926200
2020-03-12,68.88,72.32,66.41,70.4,1976600
2020-03-13,73.93,76.01,67.88,73.75,1336300
2020-03-16,67.85,70.27,65.74,66.65,1330100
2020-03-17,68.3,70.72,64.93,67.05,1288300
2020-03-18,63.51,67.52,63.32,67.16,935700
2020-03-19,66.61,70.62,64.2,66.96,863900
2020-03-20,68.1,73.23,66.58,70.83,1432500
2020-03-23,71.5,72.66,62.85,67.79,871500
2020-03-24,71.08,75.49,69.69,74.24,864000
2020-03-25,76.86,78.93,74.13,74.93,1290100
2020-03-26,75.8,80.25,73.84,78.94,1789700
2020-03-27,76.23,77.32,73.27,74.73,733700
2020-03-30,77.42,78.73,72.97,76.44,778100
2020-03-31,76.14,77.07,74.32,75.21,746700
2020-04-01,72.49,73.05,69.54,70.77,1249300
2020-04-02,70.08,73.9,69.95,72.25,1098000
2020-04-03,71.53,72.7,70.13,71.14,826000
2020-04-06,74.04,76.14,72.97,75.34,1191700
2020-04-07,77.39,77.92,75.04,75.38,852700
2020-04-08,75.76,78.17,74.77,77.81,1074900
2020-04-09,78.36,79.51,77.15,78.27,701200
2020-04-13,77.82,78.33,75.63,76.36,729900
2020-04-14,77.28,78.92,77.28,78.28,775700
2020-04-15,76.62,79.42,76.31,78.68,811400
2020-04-16,79.26,82.14,78.08,81.51,1224300
2020-04-17,82.73,84.11,81.91,83.63,1034600
