Date,Open,High,Low,Close,Volume
2020-02-10,378.16,389.84,377.44,386.21,939500
2020-02-11,390.21,398.0,387.98,396.75,992800
2020-02-12,398.13,407.05,397.64,406.3,1076200
2020-02-13,406.44,408.0,398.1,398.81,656800
2020-02-14,399.1,402.09,393.39,399.55,536800
2020-02-18,396.82,402.0,395.01,397.65,512200
2020-02-19,397.86,402.21,395.31,400.81,564000
2020-02-20,399.9,401.09,393.76,399.14,660800
2020-02-21,396.07,404.54,392.86,403.15,655300
2020-02-24,395.54,426.36,386.84,425.38,2959700
2020-02-25,437.25,457.6,437.0,442.35,3568800
2020-02-26,444.02,461.34,442.44,457.92,2299300
2020-02-27,468.56,470.0,430.7,431.61,2093000
2020-02-28,422.37,445.05,418.22,444.57,1594800
2020-03-02,445.0,465.51,445.0,464.75,1713100
2020-03-03,454.72,467.69,448.11,461.55,1210600
2020-03-04,467.96,494.56,467.13,493.48,1960700
2020-03-05,480.94,500.0,480.0,488.17,1270200
2020-03-06,477.29,496.99,477.0,494.43,1130700
2020-03-09,466.94,486.69,466.15,474.44,1344100
2020-03-10,488.45,488.71,460.8,475.02,1390500
2020-03-11,479.11,485.98,459.61,464.7,1351800
2020-03-12,444.36,451.96,426.1,431.89,1627800
2020-03-13,445.01,466.04,418.01,465.55,1380700
2020-03-16,452.51,484.58,433.82,440.83,1926300
2020-03-17,494.0,512.98,473.0,491.69,3856500
2020-03-18,495.78,499.0,455.56,485.0,2529500
2020-03-19,483.93,518.0,469.45,489.83,2358200
2020-03-20,493.01,499.5,435.01,438.45,2027000
2020-03-23,449.84,477.0,433.28,455.63,1829300
2020-03-24,468.22,471.99,424.01,449.53,1615700
2020-03-25,443.04,458.83,427.08,429.78,1288000
2020-03-26,426.51,452.7,424.02,452.3,1686200
2020-03-27,446.03,465.79,445.15,449.52,1109000
2020-03-30,463.09,476.1,461.0,473.0,1337000
2020-03-31,474.0,495.48,463.8,488.29,1953200
2020-04-01,484.14,499.99,476.45,496.65,1679800
2020-04-02,494.29,501.0,483.11,498.75,1058900
2020-04-03,495.56,503.26,485.04,493.32,1169500
2020-04-06,503.38,511.01,488.89,504.27,1285500
2020-04-07,502.81,509.74,492.01,501.51,1046900
2020-04-08,502.21,514.11,488.0,512.33,1167100
2020-04-09,510.1,515.64,500.87,512.96,1011800
2020-04-13,512.01,519.0,504.12,517.02,789800
2020-04-14,524.62,525.9,517.0,524.84,962600
2020-04-15,525.3,527.1,510.5,511.69,836800
2020-04-16,518.92,541.97,517.62,539.93,1206300
2020-04-17,549.99,572.5,539.14,568.79,2133500
