Date,Open,High,Low,Close,Volume
2020-02-10,214.09,216.69,214.04,216.45,650200
2020-02-11,217.27,218.2,215.92,217.35,834500
2020-02-12,217.74,218.48,215.26,215.3,871500
2020-02-13,215.58,217.44,214.58,216.62,1055200
2020-02-14,217.0,220.82,215.74,220.74,1447400
2020-02-18,220.2,221.15,217.99,221.13,1533300
2020-02-19,221.77,225.48,221.25,224.29,1243700
2020-02-20,224.29,225.13,221.48,223.66,1006300
2020-02-21,222.57,223.68,221.48,223.49,1733000
2020-02-24,218.31,219.11,213.46,214.77,1617000
2020-02-25,214.78,215.49,204.51,205.56,1995300
2020-02-26,206.8,210.23,200.87,200.93,1993400
2020-02-27,197.7,201.43,194.15,194.15,2090700
2020-02-28,187.46,191.27,184.36,189.9,3098100
2020-03-02,191.75,196.54,189.88,196.51,2503900
2020-03-03,197.98,200.78,184.99,188.15,3061000
2020-03-04,193.88,197.78,189.28,197.68,2532600
2020-03-05,196.48,196.48,185.21,188.92,2797800
2020-03-06,184.98,187.02,183.32,185.21,2798600
2020-03-09,174.69,177.2,170.71,172.01,3095900
2020-03-10,179.08,183.13,172.7,182.9,2987200
2020-03-11,178.07,178.57,171.19,174.99,2881100
2020-03-12,165.4,169.93,153.36,153.69,4075100
2020-03-13,164.4,165.35,151.45,163.71,4716900
2020-03-16,147.34,150.28,137.74,143.31,5757500
2020-03-17,146.18,146.3,136.51,139.65,3902400
2020-03-18,132.8,138.75,125.59,138.5,5096300
2020-03-19,136.27,152.85,130.54,148.96,3485700
2020-03-20,152.71,156.31,138.58,138.88,5222000
2020-03-23,135.68,136.11,124.09,126.04,5261800
2020-03-24,135.51,144.18,131.18,142.92,3529500
2020-03-25,145.22,157.65,141.08,152.5,3657400
2020-03-26,154.57,165.28,152.5,162.74,3278200
2020-03-27,155.64,163.53,153.13,158.65,3398900
2020-03-30,161.23,163.53,154.43,162.96,2325900
2020-03-31,162.78,170.95,162.51,166.49,2876200
2020-04-01,153.5,155.46,143.75,144.67,3238100
2020-04-02,142.62,150.5,142.0,149.58,2140100
2020-04-03,149.39,151.83,146.55,148.07,2061500
2020-04-06,158.57,167.09,157.95,165.66,3188400
2020-04-07,174.61,179.63,164.65,165.79,3462800
2020-04-08,167.31,177.61,166.51,176.43,2471400
2020-04-09,176.5,184.28,175.88,182.72,2572300
2020-04-13,179.48,180.44,169.56,172.08,2421000
2020-04-14,175.74,178.24,174.06,175.39,2122000
2020-04-15,169.9,172.85,168.49,172.54,1757200
2020-04-16,174.12,176.0,171.28,174.81,1353100
2020-04-17,178.78,189.58,178.78,189.51,2538900
