Date,Open,High,Low,Close,Volume
2020-02-10,324.32,334.48,324.32,333.68,1781600
2020-02-11,336.3,337.91,334.75,337.52,1808400
2020-02-12,338.71,340.69,333.6,334.31,1948400
2020-02-13,333.24,337.15,331.24,335.33,1560100
2020-02-14,336.3,339.14,334.79,338.93,1467700
2020-02-18,337.87,338.09,334.25,337.11,1462400
2020-02-19,337.83,340.03,335.05,339.48,1189400
2020-02-20,339.74,341.09,332.94,335.8,1505700
2020-02-21,333.65,335.34,332.84,334.68,1540100
2020-02-24,324.01,325.92,320.27,322.9,2638300
2020-02-25,324.53,326.74,307.13,309.39,2378300
2020-02-26,308.5,318.39,308.07,308.92,1944800
2020-02-27,303.76,311.47,296.78,296.85,2231900
2020-02-28,288.39,295.57,284.61,290.57,3961600
2020-03-02,290.8,304.72,288.64,304.72,2741000
2020-03-03,315.39,324.74,307.21,310.12,3895900
2020-03-04,318.29,327.64,314.59,326.39,3043500
2020-03-05,318.42,323.44,309.86,312.65,2192400
2020-03-06,304.82,312.48,302.5,310.93,1922800
2020-03-09,293.65,298.2,287.81,295.12,2520100
2020-03-10,305.52,307.73,292.85,307.46,2707500
2020-03-11,299.18,300.0,285.04,289.16,2566400
2020-03-12,274.06,295.55,268.34,284.1,4519200
2020-03-13,297.65,301.15,272.21,300.12,4534400
2020-03-16,271.53,293.49,265.24,279.35,3766500
2020-03-17,297.98,314.16,286.58,296.31,5253500
2020-03-18,284.36,303.0,280.26,302.98,4570700
2020-03-19,298.02,299.98,277.73,280.84,3511100
2020-03-20,277.46,285.45,268.15,278.37,3715600
2020-03-23,272.24,275.0,250.21,255.3,3477200
2020-03-24,263.55,284.0,261.3,282.03,2691600
2020-03-25,278.01,285.75,270.13,271.68,3075700
2020-03-26,274.76,285.11,270.3,283.15,2856100
2020-03-27,273.63,283.17,272.1,274.34,2314600
2020-03-30,278.29,286.18,276.44,284.96,1990000
2020-03-31,283.81,286.33,280.31,283.6,3275100
2020-04-01,276.51,282.99,270.4,275.2,1927400
2020-04-02,272.04,287.99,272.03,287.55,1666600
2020-04-03,282.95,287.5,278.79,282.21,1320400
2020-04-06,294.61,306.73,292.16,304.0,2437800
2020-04-07,312.14,317.54,296.07,296.58,2126500
2020-04-08,297.65,309.08,290.52,307.15,1997900
2020-04-09,307.55,318.2,305.05,317.38,2445300
2020-04-13,314.38,316.88,309.18,315.32,1547900
2020-04-14,321.55,327.41,319.83,326.37,1513100
2020-04-15,322.62,327.15,320.72,325.83,1652300
2020-04-16,328.5,330.74,324.19,328.84,1830000
2020-04-17,334.22,334.32,327.11,331.58,2057200
