Date,Open,High,Low,Close,Volume
2020-02-10,137.75,139.46,137.35,139.39,472000
2020-02-11,139.79,141.55,139.66,141.46,278300
2020-02-12,142.05,142.81,140.03,140.09,358500
2020-02-13,139.59,141.71,139.59,141.28,452200
2020-02-14,141.47,141.47,139.35,139.71,507200
2020-02-18,139.75,140.45,137.58,138.87,468100
2020-02-19,139.33,139.54,138.08,138.81,454600
2020-02-20,138.91,140.05,137.51,139.81,559000
2020-02-21,139.47,142.78,139.47,142.5,467800
2020-02-24,140.01,141.99,139.12,141.01,927800
2020-02-25,141.57,142.45,135.14,135.27,852700
2020-02-26,136.03,137.68,134.33,135.0,1034500
2020-02-27,133.92,133.92,126.08,128.04,1681200
2020-02-28,124.8,126.12,121.39,123.74,1388800
2020-03-02,124.4,132.53,123.32,131.82,1050200
2020-03-03,131.24,134.67,124.72,125.34,1092700
2020-03-04,129.6,132.57,128.68,131.71,1091800
2020-03-05,127.64,129.05,124.65,127.57,889500
2020-03-06,123.35,126.6,121.98,125.97,966700
2020-03-09,120.97,120.97,113.09,114.59,1044800
2020-03-10,117.63,119.98,113.86,119.56,889400
2020-03-11,116.47,116.54,107.8,110.14,822900
2020-03-12,102.35,104.55,98.02,99.8,1587700
2020-03-13,105.24,105.97,97.58,105.09,1024800
2020-03-16,95.64,97.04,81.68,81.7,1059900
2020-03-17,83.45,84.87,77.48,80.76,1568000
2020-03-18,75.26,75.28,66.01,67.69,1687000
2020-03-19,66.67,85.66,65.2,84.84,2253800
2020-03-20,86.75,90.46,73.55,75.42,1866000
2020-03-23,75.17,81.22,71.03,71.84,1727400
2020-03-24,76.86,78.93,73.13,78.16,1833000
2020-03-25,78.99,93.51,76.31,87.95,2065900
2020-03-26,89.95,97.97,87.05,91.84,1770900
2020-03-27,88.95,92.13,86.22,88.99,1375700
2020-03-30,89.2,100.41,88.68,100.13,1399300
2020-03-31,100.73,102.64,96.29,99.08,1479400
2020-04-01,93.91,95.78,86.42,87.92,1036700
2020-04-02,85.43,94.65,84.86,88.71,965400
2020-04-03,88.3,89.75,83.28,85.38,571900
2020-04-06,89.86,97.39,89.28,96.5,925400
2020-04-07,101.89,104.06,97.72,98.39,779400
2020-04-08,99.67,110.06,99.67,106.99,883000
2020-04-09,108.0,110.58,103.47,104.51,775700
2020-04-13,103.38,104.12,98.41,100.72,669100
2020-04-14,103.0,107.72,102.5,107.55,549100
2020-04-15,102.32,104.69,101.48,103.09,601100
2020-04-16,103.11,103.89,98.99,101.67,453900
2020-04-17,105.4,108.47,104.57,107.79,559600
