Date,Open,High,Low,Close,Volume
2020-02-10,56.7,57.32,56.49,57.29,520300.0
2020-02-11,57.32,58.09,56.9,57.83,532200.0
2020-02-12,57.82,58.05,57.43,57.84,1482500.0
2020-02-13,57.87,58.04,57.15,57.94,860300.0
2020-02-14,57.67,57.83,56.22,57.68,1150400.0
2020-02-18,57.74,57.82,56.87,57.75,1119600.0
2020-02-19,58.08,58.73,57.96,58.42,938200.0
2020-02-20,58.32,58.32,56.76,57.28,1026700.0
2020-02-21,56.99,57.25,56.1,56.69,1401500.0
2020-02-24,55.62,55.82,54.55,54.56,1543800.0
2020-02-25,54.53,55.69,51.28,51.35,2289500.0
2020-02-26,51.84,52.35,50.68,50.73,2473100.0
2020-02-27,50.32,51.33,49.9,50.06,3954700.0
2020-02-28,49.04,49.4,47.19,49.1,3256400.0
2020-03-02,49.43,50.46,48.06,49.51,4040100.0
2020-03-03,48.99,50.37,46.62,47.08,2707500.0
2020-03-04,47.79,48.14,46.84,47.7,3852300.0
2020-03-05,46.86,46.86,44.84,45.19,2561300.0
2020-03-06,43.77,44.97,43.33,44.6,2308000.0
2020-03-09,41.88,42.73,41.75,42.0,3089600.0
2020-03-10,42.87,44.24,41.88,44.2,2533800.0
2020-03-11,42.94,44.18,41.73,42.44,2480300.0
2020-03-12,39.89,41.73,39.1,39.82,4063200.0
2020-03-13,41.17,42.13,37.91,40.34,2813700.0
2020-03-16,36.18,37.3,34.27,35.08,2896000.0
2020-03-17,35.85,36.67,31.61,34.48,5441900.0
2020-03-18,32.08,33.43,31.62,32.65,6201900.0
2020-03-19,32.32,35.45,31.7,35.01,4086000.0
2020-03-20,35.32,36.13,32.21,32.73,4218100.0
2020-03-23,32.69,33.35,31.49,31.81,4276600.0
2020-03-24,33.34,34.1,31.93,33.71,6410700.0
2020-03-25,33.77,36.03,33.17,34.9,9214800.0
2020-03-26,35.36,39.67,34.86,39.4,3842600.0
2020-03-27,37.58,40.12,37.12,37.93,4579100.0
2020-03-30,37.99,39.48,36.67,39.2,3195500.0
2020-03-31,38.98,39.98,38.34,38.83,3788800.0
2020-04-01,37.03,39.13,37.0,37.31,2880800.0
2020-04-02,37.38,38.37,36.76,37.47,2912000.0
2020-04-03,37.4,38.01,35.01,35.45,2446200.0
2020-04-06,36.88,37.97,36.21,37.73,4434400.0
2020-04-07,38.69,39.43,37.95,38.09,2516400.0
2020-04-08,38.55,39.73,37.87,39.58,2394200.0
2020-04-09,39.82,42.15,39.28,41.87,3700300.0
2020-04-13,41.25,41.79,39.72,40.24,2754200.0
2020-04-14,40.55,41.89,40.35,40.76,2739600.0
2020-04-15,39.52,40.38,39.18,39.95,1376300.0
2020-04-16,39.84,40.34,38.93,39.08,1761300.0
2020-04-17,40.17,41.48,39.87,40.86,2223900.0
