Date,Open,High,Low,Close,Volume
2020-02-10,97.84,98.38,97.38,98.37,1407900.0
2020-02-11,98.77,100.64,98.56,99.92,1179800.0
2020-02-12,100.76,101.76,100.43,101.53,1049300.0
2020-02-13,100.94,101.59,100.71,101.2,1025900.0
2020-02-14,101.4,101.54,100.32,101.1,776800.0
2020-02-18,100.76,101.45,99.94,100.24,1757200.0
2020-02-19,100.7,100.7,99.9,99.94,901500.0
2020-02-20,99.54,100.91,98.84,100.32,1437200.0
2020-02-21,99.67,99.91,98.59,99.11,3049900.0
2020-02-24,96.08,96.26,94.12,95.14,2305600.0
2020-02-25,95.59,95.87,91.36,91.54,1668500.0
2020-02-26,91.98,93.3,90.84,90.9,1677800.0
2020-02-27,89.09,91.26,87.14,87.16,1974500.0
2020-02-28,84.3,85.8,83.05,85.8,2982200.0
2020-03-02,86.33,90.22,85.87,89.81,3211400.0
2020-03-03,89.8,91.71,86.58,87.12,2258400.0
2020-03-04,88.6,91.07,87.43,90.8,1634700.0
2020-03-05,88.35,89.71,87.59,88.86,1935800.0
2020-03-06,85.81,88.69,85.66,88.31,2763900.0
2020-03-09,79.8,84.53,74.56,76.08,3613200.0
2020-03-10,78.59,82.12,77.21,82.07,3053900.0
2020-03-11,79.22,80.01,76.27,77.07,2216300.0
2020-03-12,70.76,74.69,66.75,67.52,3500000.0
2020-03-13,71.49,74.7,67.47,74.6,2459700.0
2020-03-16,65.84,67.21,61.59,62.54,2898600.0
2020-03-17,64.04,66.77,60.25,65.9,3188200.0
2020-03-18,60.55,67.32,54.82,65.65,3772000.0
2020-03-19,64.81,70.21,61.84,69.01,3338000.0
2020-03-20,70.71,70.71,63.1,63.37,3217800.0
2020-03-23,62.5,62.9,56.69,58.21,2527100.0
2020-03-24,62.01,69.46,61.15,67.94,3162900.0
2020-03-25,68.15,74.49,65.6,71.0,3310200.0
2020-03-26,72.37,74.44,69.72,72.41,2367500.0
2020-03-27,68.75,73.64,67.88,71.01,2148100.0
2020-03-30,70.97,74.1,69.81,73.72,1410500.0
2020-03-31,73.02,73.71,70.57,72.02,2453600.0
2020-04-01,68.45,70.42,68.02,69.81,2119800.0
2020-04-02,69.31,71.68,68.61,71.09,1765500.0
2020-04-03,70.8,72.36,69.72,71.29,1802700.0
2020-04-06,75.44,76.28,74.41,75.43,1788700.0
2020-04-07,80.11,81.5,75.6,75.79,1623500.0
2020-04-08,75.23,77.74,75.23,77.23,1350200.0
2020-04-09,77.81,80.64,77.33,78.23,1537700.0
2020-04-13,76.99,77.43,75.27,76.97,968500.0
2020-04-14,78.89,81.01,77.44,78.08,1214000.0
2020-04-15,75.45,76.52,74.51,76.05,1224500.0
2020-04-16,76.02,77.41,73.11,76.0,1860300.0
2020-04-17,78.41,80.55,78.39,80.31,1829500.0
