Date,Open,High,Low,Close,Volume
2020-02-10,36.9,37.01,36.44,36.68,4827800
2020-02-11,36.84,37.69,36.83,37.56,4432200
2020-02-12,37.64,38.13,37.64,38.07,2477500
2020-02-13,37.89,38.2,37.73,37.97,2270800
2020-02-14,37.96,38.3,37.75,38.05,2745900
2020-02-18,38.01,38.17,37.62,38.02,2287800
2020-02-19,38.1,38.39,37.93,38.02,1706000
2020-02-20,38.14,39.04,38.02,38.75,3301400
2020-02-21,38.57,38.91,38.18,38.59,4124100
2020-02-24,37.79,38.12,36.98,37.5,3934900
2020-02-25,37.72,37.92,35.72,35.91,5998200
2020-02-26,36.42,36.57,35.64,35.71,4487800
2020-02-27,35.12,36.2,34.52,34.78,8835200
2020-02-28,33.58,34.6,33.26,33.98,8622900
2020-03-02,34.09,34.95,33.08,34.94,7077800
2020-03-03,34.6,36.14,33.94,34.15,6747000
2020-03-04,34.74,35.34,34.1,35.28,4983800
2020-03-05,34.31,35.8,34.24,34.6,8820000
2020-03-06,33.27,34.05,33.09,33.92,7757500
2020-03-09,31.65,32.61,30.4,30.97,12392900
2020-03-10,32.0,33.39,31.08,33.37,7310500
2020-03-11,32.24,33.44,32.1,32.7,10915900
2020-03-12,30.33,32.61,29.58,30.66,9929300
2020-03-13,32.57,33.91,30.99,33.85,9208800
2020-03-16,30.3,33.74,29.79,31.5,9546200
2020-03-17,32.16,34.89,31.81,34.27,8386500
2020-03-18,32.51,34.56,31.17,33.22,10310200
2020-03-19,33.18,35.21,31.78,32.08,9348200
2020-03-20,32.14,32.16,28.27,28.54,9568500
2020-03-23,29.79,29.79,26.53,27.98,6272000
2020-03-24,28.83,31.26,28.83,31.15,7600400
2020-03-25,30.56,31.58,29.6,30.02,7079100
2020-03-26,30.11,32.32,29.26,32.09,7147000
2020-03-27,30.95,31.58,29.98,30.82,6463500
2020-03-30,30.86,32.01,30.59,31.58,5540700
2020-03-31,31.23,32.06,30.75,31.03,7565900
2020-04-01,29.96,30.78,29.71,30.4,4805200
2020-04-02,30.52,31.09,29.96,30.44,7237500
2020-04-03,30.29,31.12,29.8,30.27,4624700
2020-04-06,31.22,32.09,30.91,31.96,6151900
2020-04-07,31.82,33.42,31.71,31.79,6400300
2020-04-08,32.2,32.44,31.42,32.26,4478500
2020-04-09,32.51,33.48,32.32,33.39,6021400
2020-04-13,32.38,33.19,31.65,32.05,5085400
2020-04-14,34.19,34.93,32.59,34.3,7107400
2020-04-15,33.91,34.57,33.49,34.32,4962900
2020-04-16,34.54,35.27,33.93,35.18,6097000
2020-04-17,36.06,36.66,35.14,35.68,5018600
