Date,Open,High,Low,Close,Volume
2020-02-10,158.01,159.49,155.42,156.0,3948600
2020-02-11,157.48,158.76,156.09,157.21,2016800
2020-02-12,158.4,159.01,156.44,157.72,1607500
2020-02-13,157.0,161.02,155.7,160.66,2624400
2020-02-14,159.66,160.48,157.21,157.83,1679000
2020-02-18,158.51,160.11,155.61,157.78,1924000
2020-02-19,158.2,160.88,158.04,160.33,1699300
2020-02-20,160.26,164.42,158.7,164.09,2602500
2020-02-21,162.44,163.32,160.88,162.43,1645300
2020-02-24,155.48,156.93,151.86,154.08,3116300
2020-02-25,154.88,155.02,144.09,144.87,4223800
2020-02-26,146.68,148.64,142.84,143.81,2766300
2020-02-27,140.06,144.76,135.8,138.07,3534400
2020-02-28,134.32,140.49,133.39,140.46,4395600
2020-03-02,141.47,141.81,134.6,139.05,4418600
2020-03-03,139.3,141.46,131.9,132.42,4373300
2020-03-04,134.38,135.78,131.52,135.73,2854700
2020-03-05,131.35,132.47,128.11,129.28,3150000
2020-03-06,125.75,130.65,123.79,127.68,3886300
2020-03-09,120.4,121.58,113.85,115.7,4048100
2020-03-10,120.14,121.75,113.87,120.67,3564900
2020-03-11,117.39,118.3,108.53,111.01,4746400
2020-03-12,103.2,105.18,96.2,97.0,5156500
2020-03-13,102.46,106.68,96.0,106.63,4275000
2020-03-16,92.0,99.87,90.49,90.49,4417400
2020-03-17,92.9,100.15,88.69,94.96,5548700
2020-03-18,90.39,100.7,89.8,99.68,6997700
2020-03-19,98.85,116.16,97.37,111.68,4646900
2020-03-20,113.88,118.7,106.59,111.06,4479200
2020-03-23,110.94,115.05,107.25,111.76,3933900
2020-03-24,118.0,121.8,115.43,120.04,3014400
2020-03-25,121.36,126.94,114.93,118.31,4133200
2020-03-26,119.36,127.0,119.01,125.6,2713900
2020-03-27,120.05,124.35,116.0,120.58,2619400
2020-03-30,122.38,125.61,119.25,124.31,2281000
2020-03-31,122.5,124.85,119.26,121.26,2643800
2020-04-01,116.01,118.75,112.3,113.48,2569600
2020-04-02,112.53,117.3,111.59,116.64,2336100
2020-04-03,115.24,116.0,107.69,109.22,3205200
2020-04-06,113.04,119.81,113.01,119.02,3512600
2020-04-07,124.91,125.48,115.75,115.95,3189300
2020-04-08,123.0,127.23,119.92,125.54,5576500
2020-04-09,129.61,130.0,120.16,122.29,4750500
2020-04-13,125.19,125.19,121.74,123.53,2821800
2020-04-14,125.74,126.98,122.05,125.08,3084200
2020-04-15,121.69,121.69,118.15,119.9,2945000
2020-04-16,119.73,121.0,117.12,119.08,2238700
2020-04-17,121.0,124.96,120.73,124.85,2464000
