Date,Open,High,Low,Close,Volume
2020-02-10,298.41,298.41,292.83,296.64,271400
2020-02-11,297.76,301.55,297.76,299.33,222000
2020-02-12,304.74,310.67,304.67,309.37,316400
2020-02-13,307.37,308.39,303.68,303.8,245200
2020-02-14,303.81,306.35,302.62,306.07,185100
2020-02-18,304.75,307.62,303.39,306.6,175300
2020-02-19,307.54,309.35,304.62,305.57,181800
2020-02-20,304.51,310.77,304.51,308.7,160000
2020-02-21,306.11,306.8,301.43,301.77,200200
2020-02-24,292.73,298.5,291.07,294.52,255300
2020-02-25,294.8,294.8,282.2,283.33,291600
2020-02-26,286.61,289.16,282.06,283.39,443800
2020-02-27,278.37,286.77,272.5,278.36,704900
2020-02-28,269.58,276.33,267.56,276.12,713500
2020-03-02,277.93,287.44,270.74,287.4,523400
2020-03-03,286.83,291.49,280.97,284.4,560200
2020-03-04,290.49,294.93,286.57,293.16,484400
2020-03-05,283.6,292.13,283.6,288.85,447000
2020-03-06,279.19,283.99,276.59,283.17,485400
2020-03-09,267.53,281.67,250.34,254.52,949100
2020-03-10,263.12,278.23,255.09,278.19,486800
2020-03-11,271.24,280.05,267.29,273.2,597700
2020-03-12,253.69,255.5,240.99,244.93,701200
2020-03-13,257.53,264.76,245.11,264.66,543300
2020-03-16,239.77,255.56,222.85,228.35,602800
2020-03-17,232.09,245.69,224.82,245.17,599300
2020-03-18,228.82,244.62,224.94,234.68,534900
2020-03-19,232.3,247.33,225.46,233.78,413100
2020-03-20,234.2,235.39,210.92,212.68,474200
2020-03-23,211.55,217.04,199.58,208.42,473200
2020-03-24,220.05,238.74,220.05,237.47,711400
2020-03-25,237.41,254.09,229.38,236.07,465700
2020-03-26,238.49,247.74,226.9,247.74,429600
2020-03-27,239.69,252.49,237.48,245.88,316300
2020-03-30,245.6,254.98,240.66,253.83,330600
2020-03-31,250.39,255.72,246.74,247.23,383200
2020-04-01,238.77,244.03,232.65,235.31,412400
2020-04-02,233.5,243.5,232.69,238.46,460400
2020-04-03,235.4,241.7,232.81,237.54,332900
2020-04-06,247.1,253.45,243.91,249.89,414500
2020-04-07,251.96,271.13,251.96,256.61,600900
2020-04-08,260.43,272.34,255.59,269.01,325900
2020-04-09,273.53,280.76,271.96,278.44,447000
2020-04-13,276.86,276.86,270.61,272.95,271000
2020-04-14,281.86,287.09,278.57,286.16,457600
2020-04-15,279.94,281.36,275.13,278.0,282100
2020-04-16,278.16,281.67,274.02,278.49,291200
2020-04-17,286.01,290.42,274.73,278.78,364000
