Date,Open,High,Low,Close,Volume
2020-02-10,172.7,174.88,171.91,174.71,2399700
2020-02-11,175.99,177.66,174.96,176.88,2948500
2020-02-12,177.21,179.34,176.78,178.89,2950800
2020-02-13,178.05,178.66,176.43,177.84,1985700
2020-02-14,178.22,179.56,177.7,178.52,2489000
2020-02-18,177.82,178.2,176.68,177.15,1818600
2020-02-19,177.55,179.38,177.23,178.57,2464500
2020-02-20,178.64,179.9,176.74,178.41,2336800
2020-02-21,177.34,178.7,176.49,177.6,1940400
2020-02-24,172.23,175.12,171.26,173.05,3204300
2020-02-25,173.42,174.31,164.72,165.68,4092200
2020-02-26,166.46,169.9,164.66,165.06,3411700
2020-02-27,161.82,165.61,158.35,158.38,3950800
2020-02-28,152.62,160.98,149.52,160.98,9558100
2020-03-02,161.9,164.27,156.44,163.04,6744900
2020-03-03,163.08,166.95,159.38,160.71,6108500
2020-03-04,163.69,170.67,163.06,169.94,4532500
2020-03-05,165.28,166.68,162.03,163.71,5394700
2020-03-06,157.65,163.91,156.43,162.83,5021600
2020-03-09,151.38,156.11,148.64,151.74,5849000
2020-03-10,154.71,160.75,152.23,160.51,5477600
2020-03-11,155.68,156.33,150.45,152.27,4826900
2020-03-12,142.34,144.42,133.46,133.86,7170500
2020-03-13,141.11,148.58,137.01,148.32,6324800
2020-03-16,127.06,142.18,123.1,134.28,5891000
2020-03-17,135.23,140.93,129.24,130.84,8524800
2020-03-18,121.03,123.22,100.36,118.73,7633900
2020-03-19,116.89,121.52,111.2,118.09,6814100
2020-03-20,120.01,120.27,109.97,111.68,6801200
2020-03-23,106.7,110.27,100.34,103.1,8200400
2020-03-24,109.19,118.66,108.45,118.64,5799100
2020-03-25,119.41,134.35,118.92,128.7,7159100
2020-03-26,130.87,138.37,130.2,136.39,5594400
2020-03-27,130.46,134.22,127.2,130.31,3924900
2020-03-30,129.79,132.78,129.18,130.79,5035700
2020-03-31,130.88,135.11,129.05,132.81,5296000
2020-04-01,127.34,130.32,124.58,128.76,4246100
2020-04-02,127.66,132.18,126.21,131.84,3504200
2020-04-03,131.53,131.87,125.6,126.52,4031500
2020-04-06,132.54,134.38,131.54,133.02,4874300
2020-04-07,139.61,141.18,134.01,134.25,4051700
2020-04-08,135.67,139.35,134.22,138.23,3890600
2020-04-09,138.98,145.23,138.68,142.38,4365000
2020-04-13,141.72,142.16,135.51,136.93,3016300
2020-04-14,139.68,142.68,137.54,139.56,3486600
2020-04-15,136.56,136.96,131.54,133.85,3252800
2020-04-16,133.6,134.31,128.63,131.36,4016700
2020-04-17,134.88,139.17,134.68,137.31,4750700
