Date,Open,High,Low,Close,Volume
2020-02-10,21.09,21.52,20.96,21.04,1890200
2020-02-11,21.12,21.42,21.08,21.27,1299000
2020-02-12,21.44,22.04,21.36,21.64,2223600
2020-02-13,21.59,21.59,21.29,21.44,2648300
2020-02-14,21.44,21.64,21.14,21.23,3526700
2020-02-18,21.2,21.75,21.08,21.56,2154600
2020-02-19,21.63,21.72,21.21,21.67,1731600
2020-02-20,21.56,22.14,21.52,22.09,2743100
2020-02-21,21.94,22.16,21.52,21.69,5210800
2020-02-24,21.19,21.38,21.03,21.22,2836800
2020-02-25,21.3,21.31,20.05,20.27,3791800
2020-02-26,20.49,20.85,20.04,20.14,4017400
2020-02-27,19.88,20.1,18.42,18.44,8507300
2020-02-28,17.99,18.32,17.7,18.08,10308400
2020-03-02,18.19,18.19,17.55,17.99,7647000
2020-03-03,18.12,18.52,17.38,17.45,7486500
2020-03-04,17.62,17.8,17.35,17.72,4088700
2020-03-05,17.13,17.17,16.44,16.58,5411500
2020-03-06,15.93,16.58,15.77,16.29,4552900
2020-03-09,15.14,15.39,14.21,14.22,5188300
2020-03-10,14.91,15.99,14.47,15.99,6234300
2020-03-11,15.48,15.75,15.17,15.36,6026100
2020-03-12,14.15,14.61,13.43,13.59,4173300
2020-03-13,14.33,15.0,13.81,14.99,5190900
2020-03-16,13.35,15.27,12.76,14.6,5549700
2020-03-17,14.91,16.31,14.53,16.16,5008800
2020-03-18,14.83,16.38,14.74,16.02,6078700
2020-03-19,15.73,15.94,14.36,15.08,6332400
2020-03-20,15.22,15.33,13.46,13.57,5905600
2020-03-23,13.52,13.54,11.79,11.89,6176300
2020-03-24,12.56,14.29,12.45,13.23,4420900
2020-03-25,13.21,13.89,12.88,13.57,4436600
2020-03-26,13.57,13.91,13.35,13.75,6150500
2020-03-27,13.31,13.48,12.56,12.95,5542200
2020-03-30,12.95,13.11,12.45,13.04,2962400
2020-03-31,12.87,13.14,12.48,12.49,5041500
2020-04-01,11.96,12.07,11.59,11.8,4293600
2020-04-02,11.61,12.68,11.57,12.26,5487000
2020-04-03,12.29,12.52,11.74,12.12,2899800
2020-04-06,12.86,13.23,12.66,13.12,4670300
2020-04-07,13.55,13.82,13.25,13.38,4740500
2020-04-08,13.51,15.12,13.36,14.84,6415600
2020-04-09,15.15,15.44,13.92,14.08,6165200
2020-04-13,13.89,14.04,13.37,13.73,3114800
2020-04-14,13.73,14.2,13.7,13.96,3001200
2020-04-15,13.61,13.71,12.87,13.05,5047900
2020-04-16,13.07,13.1,12.43,12.55,3204200
2020-04-17,12.95,13.44,12.93,13.21,3769300
