Date,Open,High,Low,Close,Volume
2020-02-10,358.22,361.17,354.81,360.44,716400.0
2020-02-11,361.7,369.06,360.95,365.15,697600.0
2020-02-12,364.72,366.33,361.12,364.84,935400.0
2020-02-13,363.82,367.56,362.17,365.11,848600.0
2020-02-14,365.93,368.72,364.13,368.03,635100.0
2020-02-18,364.81,369.72,362.88,369.5,810900.0
2020-02-19,370.29,371.45,363.09,363.28,864600.0
2020-02-20,362.41,364.73,357.7,360.4,995200.0
2020-02-21,359.13,364.38,356.52,363.47,880000.0
2020-02-24,356.48,364.3,356.21,357.87,997500.0
2020-02-25,359.54,359.91,337.35,338.53,1458800.0
2020-02-26,341.05,345.68,332.9,332.91,934400.0
2020-02-27,328.1,336.36,323.63,330.17,2054500.0
2020-02-28,318.65,328.42,312.65,327.45,2921200.0
2020-03-02,329.06,335.5,320.5,334.57,1547000.0
2020-03-03,334.57,346.43,327.62,327.99,1207900.0
2020-03-04,334.15,346.52,329.12,345.5,1193700.0
2020-03-05,338.04,340.58,324.48,326.39,1214100.0
2020-03-06,317.97,330.5,314.5,327.57,1361200.0
2020-03-09,305.64,319.38,278.82,311.95,1355400.0
2020-03-10,323.32,333.72,320.27,333.47,1826700.0
2020-03-11,324.07,328.96,310.55,316.51,1484400.0
2020-03-12,295.73,307.65,288.04,289.27,2525900.0
2020-03-13,302.38,314.31,288.36,313.17,2307500.0
2020-03-16,273.43,299.17,273.43,281.39,1520200.0
2020-03-17,287.14,318.54,286.36,317.98,2113200.0
2020-03-18,299.74,324.47,297.35,321.63,1779400.0
2020-03-19,319.79,321.62,288.29,295.65,1711600.0
2020-03-20,299.67,299.9,273.61,282.82,1768500.0
2020-03-23,279.66,282.05,262.2,268.72,1497400.0
2020-03-24,279.06,282.8,271.48,280.09,1655100.0
2020-03-25,280.6,300.7,277.82,287.14,1615600.0
2020-03-26,289.4,320.56,289.4,319.83,1425500.0
2020-03-27,310.57,317.42,300.32,310.83,1504800.0
2020-03-30,316.07,321.55,307.55,312.39,1261700.0
2020-03-31,307.86,309.68,299.11,301.27,1980200.0
2020-04-01,292.61,308.68,289.39,305.69,1226500.0
2020-04-02,300.62,313.4,300.41,312.96,1061900.0
2020-04-03,312.57,314.21,309.0,312.28,834900.0
2020-04-06,318.65,333.85,318.15,330.92,1047600.0
2020-04-07,341.26,341.86,323.59,324.14,1098500.0
2020-04-08,328.91,335.21,325.7,328.28,919000.0
2020-04-09,333.19,337.69,329.25,335.23,1115800.0
2020-04-13,335.29,340.1,332.73,337.42,639000.0
2020-04-14,343.25,350.51,340.55,347.31,639100.0
2020-04-15,344.56,344.65,335.09,342.83,712300.0
2020-04-16,342.14,346.88,340.87,344.78,879700.0
2020-04-17,352.11,355.61,345.53,354.79,1236800.0
