Date,Open,High,Low,Close,Volume
2020-02-10,38.69,39.38,38.63,39.3,953800
2020-02-11,39.59,40.37,39.45,40.11,866700
2020-02-12,40.32,41.06,40.05,40.7,1549500
2020-02-13,40.42,40.82,40.32,40.73,1122500
2020-02-14,40.81,40.83,40.12,40.43,1089000
2020-02-18,40.19,40.58,39.77,40.08,1231500
2020-02-19,40.2,40.21,39.34,39.44,986200
2020-02-20,39.38,39.67,39.15,39.36,1218900
2020-02-21,39.07,40.02,39.0,39.96,1075300
2020-02-24,38.97,39.7,38.18,39.37,2300400
2020-02-25,39.52,39.52,37.88,37.9,1754700
2020-02-26,38.12,38.44,36.82,37.02,1915500
2020-02-27,38.27,40.02,37.59,39.36,4043900
2020-02-28,38.53,39.36,37.34,38.07,3661100
2020-03-02,37.67,38.98,37.04,38.77,3123400
2020-03-03,38.85,39.81,37.96,38.5,2239000
2020-03-04,39.08,40.22,38.92,40.17,2349000
2020-03-05,39.32,39.71,38.85,39.06,2181200
2020-03-06,37.76,38.52,37.47,38.18,3797300
2020-03-09,35.23,35.35,33.11,33.17,2935200
2020-03-10,34.06,34.23,32.17,34.08,2691500
2020-03-11,33.01,33.21,31.74,32.49,2506300
2020-03-12,30.39,31.11,28.9,29.56,3349400
2020-03-13,31.03,32.4,29.82,32.4,2854300
2020-03-16,29.07,30.85,28.51,29.1,2383600
2020-03-17,29.6,31.14,28.95,29.81,2810900
2020-03-18,27.93,28.56,26.26,27.12,2774700
2020-03-19,27.0,29.09,26.37,26.94,1952800
2020-03-20,27.38,27.53,25.0,25.09,2708000
2020-03-23,25.04,25.88,23.73,23.76,2913100
2020-03-24,24.76,27.75,24.73,27.56,1803600
2020-03-25,27.57,31.32,27.29,30.36,2697600
2020-03-26,30.8,32.28,30.36,31.44,1978200
2020-03-27,30.12,30.46,29.11,29.79,1906700
2020-03-30,29.81,30.84,28.68,30.46,1217100
2020-03-31,30.38,32.21,29.98,31.68,1867100
2020-04-01,30.23,30.92,29.47,30.74,1676600
2020-04-02,30.71,32.16,30.26,30.77,1893700
2020-04-03,30.86,31.0,29.86,30.56,1428100
2020-04-06,31.68,33.31,31.68,33.13,1177500
2020-04-07,34.01,34.32,32.49,32.58,1373800
2020-04-08,33.05,34.17,32.66,33.8,1100300
2020-04-09,34.18,34.97,32.74,33.55,2087900
2020-04-13,33.43,33.45,32.08,32.32,1292100
2020-04-14,33.18,34.14,32.69,33.7,1485500
2020-04-15,32.56,33.04,32.12,32.55,1407600
2020-04-16,32.53,32.8,31.65,32.65,1727300
2020-04-17,33.4,34.97,33.34,34.91,2188400
