Date,Open,High,Low,Close,Volume
2020-02-10,58.27,58.69,58.01,58.63,606600
2020-02-11,59.02,59.65,59.02,59.26,413900
2020-02-12,59.41,60.55,59.41,60.34,561800
2020-02-13,60.39,60.39,59.52,59.63,531500
2020-02-14,59.55,60.04,59.28,59.43,431700
2020-02-18,59.15,59.17,58.22,58.63,642600
2020-02-19,58.67,59.07,58.25,58.74,771600
2020-02-20,58.43,59.14,58.18,58.51,699400
2020-02-21,58.09,58.85,57.7,58.46,980300
2020-02-24,56.71,56.9,55.93,56.27,1311200
2020-02-25,56.12,56.49,53.01,53.09,1060000
2020-02-26,53.51,53.93,51.88,51.89,1274000
2020-02-27,50.81,52.16,49.9,50.4,1309700
2020-02-28,48.55,50.15,48.4,50.06,2499500
2020-03-02,50.35,50.71,48.72,50.71,1438800
2020-03-03,50.56,51.45,47.78,48.1,1560700
2020-03-04,48.93,49.98,47.79,49.83,1544700
2020-03-05,48.24,49.18,47.07,47.36,1286500
2020-03-06,45.95,48.8,45.79,48.72,2087200
2020-03-09,45.52,47.3,43.79,44.36,2005500
2020-03-10,45.96,47.79,43.52,47.76,1695900
2020-03-11,46.26,46.78,45.59,46.18,1937800
2020-03-12,43.45,45.7,42.57,43.25,1798800
2020-03-13,45.63,46.95,43.9,46.9,1719400
2020-03-16,41.55,44.79,41.25,43.14,1457900
2020-03-17,43.96,44.38,39.76,41.16,1649200
2020-03-18,38.5,39.67,35.68,39.1,1486100
2020-03-19,38.28,40.57,36.46,37.93,1235800
2020-03-20,38.58,38.58,34.14,34.75,1565900
2020-03-23,34.36,35.39,32.15,33.93,1917700
2020-03-24,35.52,39.2,35.17,38.91,2136900
2020-03-25,38.96,42.17,36.85,39.59,1974300
2020-03-26,40.15,43.44,38.57,43.16,2098100
2020-03-27,41.3,42.08,38.57,38.74,1697300
2020-03-30,38.92,41.67,38.74,40.03,1952800
2020-03-31,39.49,40.19,36.79,37.49,1874800
2020-04-01,35.93,38.02,35.13,37.9,2007700
2020-04-02,37.42,38.99,36.8,37.56,1726700
2020-04-03,37.76,38.31,37.01,37.7,1809200
2020-04-06,37.95,38.66,34.98,37.88,4580900
2020-04-07,39.63,40.92,38.91,39.89,3356400
2020-04-08,40.74,41.44,39.42,41.11,1528800
2020-04-09,42.07,43.65,41.59,42.98,1653600
2020-04-13,42.49,42.9,39.97,40.64,1876700
2020-04-14,41.18,42.03,40.59,41.45,2022000
2020-04-15,40.21,41.62,39.25,40.89,1832300
2020-04-16,41.01,41.01,38.68,40.12,1672000
2020-04-17,41.56,43.1,41.22,42.94,1555500
