Date,Open,High,Low,Close,Volume
2020-02-10,50.48,50.79,50.19,50.43,981900.0
2020-02-11,50.81,50.97,49.41,49.47,1202800.0
2020-02-12,49.93,50.22,49.11,49.15,2400000.0
2020-02-13,48.9,49.2,47.89,47.97,2104800.0
2020-02-14,48.03,48.13,47.65,48.05,979200.0
2020-02-18,47.63,47.99,47.45,47.61,1906200.0
2020-02-19,47.82,47.91,47.16,47.2,1179500.0
2020-02-20,46.99,47.82,46.93,47.6,1050400.0
2020-02-21,47.22,47.65,46.72,47.33,1006000.0
2020-02-24,45.82,46.22,45.54,45.85,1335100.0
2020-02-25,46.03,46.03,42.98,43.11,1829600.0
2020-02-26,43.55,43.55,41.6,41.82,2520100.0
2020-02-27,40.88,42.09,39.42,40.85,3015800.0
2020-02-28,39.32,40.57,38.38,40.57,2953300.0
2020-03-02,40.81,41.74,39.44,41.74,2016500.0
2020-03-03,41.65,42.79,40.45,40.47,1861800.0
2020-03-04,41.13,41.45,40.03,40.95,1481100.0
2020-03-05,39.45,39.64,36.86,37.15,1882100.0
2020-03-06,35.73,36.59,35.11,35.95,1977800.0
2020-03-09,32.82,33.37,29.98,31.01,3038800.0
2020-03-10,32.42,34.07,29.75,34.07,2604600.0
2020-03-11,32.71,33.18,30.05,30.22,3079700.0
2020-03-12,27.85,27.85,24.34,25.06,3782600.0
2020-03-13,26.9,29.14,26.07,29.12,3710200.0
2020-03-16,26.5,28.1,26.01,26.9,2899300.0
2020-03-17,27.39,28.13,23.29,28.1,3305800.0
2020-03-18,25.51,27.37,24.0,25.79,3213400.0
2020-03-19,24.91,26.26,22.05,25.45,3548800.0
2020-03-20,25.78,26.02,22.14,22.29,2608900.0
2020-03-23,22.01,22.98,20.26,21.66,3778500.0
2020-03-24,23.15,24.0,21.25,22.98,5064600.0
2020-03-25,23.85,27.28,23.55,26.03,5285400.0
2020-03-26,26.74,29.38,26.07,29.23,3855200.0
2020-03-27,27.75,28.56,26.45,26.69,2040200.0
2020-03-30,26.2,27.9,25.57,27.67,1856300.0
2020-03-31,27.11,28.46,26.39,26.67,1876200.0
2020-04-01,25.0,25.67,24.18,24.86,1868100.0
2020-04-02,24.36,26.66,23.85,24.5,2204700.0
2020-04-03,24.47,25.37,24.3,24.85,1639700.0
2020-04-06,26.56,27.83,26.18,27.34,2532600.0
2020-04-07,29.3,29.66,26.5,26.62,1631400.0
2020-04-08,27.14,28.21,26.72,27.89,1997000.0
2020-04-09,28.62,30.13,28.1,29.44,2203700.0
2020-04-13,29.42,29.6,26.72,27.44,1282600.0
2020-04-14,28.02,28.38,27.25,27.45,1261400.0
2020-04-15,26.52,26.81,25.22,25.89,1304700.0
2020-04-16,25.68,25.76,24.38,24.73,1592900.0
2020-04-17,26.05,27.84,26.02,27.75,2383200.0
