Date,Open,High,Low,Close,Volume
2020-02-10,78.95,79.61,77.78,79.47,3492700
2020-02-11,80.02,81.45,79.94,80.53,2763600
2020-02-12,81.08,82.6,81.0,82.2,2907100
2020-02-13,81.0,81.74,80.37,80.99,2998800
2020-02-14,81.02,81.44,79.4,79.55,3119700
2020-02-18,79.0,80.63,78.65,80.24,4183400
2020-02-19,80.94,80.94,79.19,79.42,3350300
2020-02-20,79.3,81.67,79.3,79.91,2893900
2020-02-21,79.4,79.4,77.32,78.01,4541400
2020-02-24,75.08,76.02,73.65,75.47,6332900
2020-02-25,75.76,76.18,70.32,70.57,8076200
2020-02-26,71.75,71.91,65.89,66.53,9363900
2020-02-27,62.9,69.02,61.2,64.94,10246900
2020-02-28,62.85,64.88,60.83,61.59,9958000
2020-03-02,61.13,61.27,57.04,61.26,13015200
2020-03-03,63.14,63.53,57.96,58.29,9208800
2020-03-04,59.51,59.74,56.32,59.47,10671200
2020-03-05,57.11,57.16,50.93,51.59,13974700
2020-03-06,48.61,56.0,48.26,52.1,16492200
2020-03-09,49.59,50.99,45.92,46.78,12307600
2020-03-10,51.0,54.33,46.62,52.56,15642900
2020-03-11,50.53,51.23,48.05,49.34,10899400
2020-03-12,42.77,44.31,37.01,37.08,19423600
2020-03-13,41.33,42.49,34.0,41.64,24135300
2020-03-16,34.34,39.37,30.38,35.47,28259500
2020-03-17,36.49,38.14,30.05,30.67,21078900
2020-03-18,28.81,28.97,17.8,21.38,35372700
2020-03-19,21.34,23.99,18.09,21.28,31611200
2020-03-20,23.37,30.74,22.2,24.5,37408000
2020-03-23,25.97,26.6,23.37,26.25,25585800
2020-03-24,31.99,34.15,30.01,33.0,31502500
2020-03-25,38.0,39.47,33.29,36.6,32988800
2020-03-26,38.38,39.78,34.53,35.55,29563600
2020-03-27,35.02,35.2,32.03,32.84,18379600
2020-03-30,30.69,31.8,28.0,30.16,18386400
2020-03-31,31.31,33.6,30.58,31.55,16568800
2020-04-01,29.51,29.69,25.36,25.65,27541600
2020-04-02,25.24,26.09,23.0,23.42,25212800
2020-04-03,24.22,24.94,21.56,22.89,28350300
2020-04-06,23.9,24.8,21.8,24.02,32386700
2020-04-07,28.2,28.69,23.72,24.48,43809300
2020-04-08,25.65,27.54,24.51,27.51,32657700
2020-04-09,29.92,34.04,29.57,31.5,54118500
2020-04-13,32.63,32.7,27.59,28.91,36493700
2020-04-14,30.52,32.21,30.38,30.9,28650600
2020-04-15,31.97,32.6,29.88,31.86,46775200
2020-04-16,30.35,30.49,27.92,28.21,44795600
2020-04-17,29.9,30.11,28.86,29.08,26829600
