Date,Open,High,Low,Close,Volume
2020-02-10,101.32,101.67,99.59,101.0,4669400
2020-02-11,101.34,103.33,101.15,102.76,2806300
2020-02-12,103.65,104.63,103.37,103.42,2493300
2020-02-13,102.88,104.0,102.27,103.13,2768300
2020-02-14,102.88,104.06,102.58,103.82,2694600
2020-02-18,103.82,104.77,103.58,104.28,3371600
2020-02-19,104.83,104.83,103.82,104.62,2663200
2020-02-20,104.34,105.45,103.82,104.34,3171200
2020-02-21,103.5,103.61,100.69,100.87,6034600
2020-02-24,98.72,99.1,96.61,97.47,7300400
2020-02-25,98.04,98.19,92.25,92.93,7609100
2020-02-26,94.09,94.4,92.21,92.76,7411700
2020-02-27,90.56,92.17,88.96,89.3,9141500
2020-02-28,87.71,90.4,86.76,89.55,11517400
2020-03-02,91.09,92.17,88.48,91.79,8738800
2020-03-03,93.88,95.0,89.63,90.35,9263400
2020-03-04,91.33,94.88,90.48,94.83,6644800
2020-03-05,91.82,93.27,90.99,92.02,5277200
2020-03-06,89.33,93.5,89.2,93.02,5598400
2020-03-09,87.52,91.05,86.2,86.28,8648300
2020-03-10,89.54,91.99,86.29,91.86,8914200
2020-03-11,88.89,90.22,86.4,87.08,5557200
2020-03-12,81.37,91.48,81.15,85.28,9412800
2020-03-13,90.06,93.62,86.6,93.25,10918900
2020-03-16,84.97,93.23,84.61,86.16,9006300
2020-03-17,88.13,96.2,86.88,95.79,10476100
2020-03-18,90.06,100.79,89.37,98.23,11152100
2020-03-19,97.65,102.72,94.47,95.25,7690300
2020-03-20,95.15,96.72,89.97,92.49,7355300
2020-03-23,93.2,95.13,89.31,90.95,7117800
2020-03-24,92.96,95.69,91.2,94.27,6067100
2020-03-25,94.64,96.78,90.1,93.52,5682000
2020-03-26,93.52,98.99,92.56,98.74,6373900
2020-03-27,94.61,98.52,94.01,96.51,4671100
2020-03-30,97.11,97.78,94.91,96.82,3994200
2020-03-31,95.9,96.3,92.19,92.45,5391300
2020-04-01,89.97,91.92,88.16,89.45,5762800
2020-04-02,88.83,92.59,87.43,92.07,4039900
2020-04-03,91.21,92.43,87.9,89.07,4471900
2020-04-06,92.24,95.48,91.46,94.69,5642700
2020-04-07,95.25,96.44,91.73,91.95,5113900
2020-04-08,95.99,98.47,92.79,97.76,6628400
2020-04-09,97.56,98.99,95.12,97.67,5588500
2020-04-13,97.56,99.21,97.17,97.4,3355100
2020-04-14,99.52,100.77,98.53,100.35,4093100
2020-04-15,98.9,98.94,96.92,98.88,3721200
2020-04-16,99.14,101.43,98.57,101.16,4303400
2020-04-17,101.1,102.67,98.79,101.68,5850100
