Date,Open,High,Low,Close,Volume
2020-02-10,168.49,169.82,167.88,169.64,479100
2020-02-11,169.87,170.36,167.27,167.59,539500
2020-02-12,167.62,169.22,167.15,168.98,515800
2020-02-13,168.75,171.27,168.75,170.37,513700
2020-02-14,170.12,171.37,170.12,171.07,533600
2020-02-18,170.5,171.42,169.58,171.25,1120200
2020-02-19,165.19,170.44,162.71,169.44,1196600
2020-02-20,168.57,169.9,166.78,169.09,761300
2020-02-21,168.39,169.86,167.21,168.39,912000
2020-02-24,165.96,168.85,165.3,167.28,1096600
2020-02-25,167.79,168.62,162.25,162.53,983700
2020-02-26,164.0,165.66,162.32,163.24,903300
2020-02-27,161.68,162.62,155.51,155.51,1053500
2020-02-28,152.2,155.18,148.45,154.83,2169900
2020-03-02,154.64,162.99,154.08,162.84,1516200
2020-03-03,163.0,166.12,159.22,160.11,1231900
2020-03-04,161.93,169.56,161.02,168.88,987800
2020-03-05,163.59,166.4,162.66,164.68,1062900
2020-03-06,158.89,164.17,157.61,163.08,1214500
2020-03-09,150.36,156.38,144.89,147.66,2051200
2020-03-10,150.8,156.48,146.81,156.46,1486800
2020-03-11,151.9,154.9,148.31,151.41,1392000
2020-03-12,142.25,149.06,132.0,139.49,1788400
2020-03-13,145.29,147.99,133.6,145.61,1761700
2020-03-16,132.54,142.45,128.71,130.06,1402700
2020-03-17,131.95,148.61,130.84,144.71,1620800
2020-03-18,133.0,137.42,123.95,135.11,1720800
2020-03-19,135.3,144.98,131.79,136.48,1124600
2020-03-20,137.4,137.6,123.54,124.25,1509200
2020-03-23,125.73,125.76,116.61,121.18,1398700
2020-03-24,126.86,138.06,125.37,137.28,1300500
2020-03-25,134.61,138.9,128.0,134.3,1662900
2020-03-26,135.54,143.48,135.54,142.1,1248100
2020-03-27,139.1,143.47,136.98,137.77,1234300
2020-03-30,138.81,147.93,138.1,146.87,793900
2020-03-31,144.92,146.54,138.43,139.38,1422200
2020-04-01,134.22,142.49,133.5,140.78,1343500
2020-04-02,137.03,144.33,134.45,142.99,1044400
2020-04-03,141.68,143.29,138.17,141.65,815700
2020-04-06,146.2,148.81,144.88,147.74,1244000
2020-04-07,151.51,152.89,146.57,147.17,967200
2020-04-08,147.84,150.9,147.17,148.7,883800
2020-04-09,149.64,152.64,147.23,148.26,1076800
2020-04-13,146.15,148.0,142.46,144.16,704600
2020-04-14,147.88,150.85,146.81,150.3,1070200
2020-04-15,147.56,148.63,146.04,147.13,722300
2020-04-16,148.31,149.94,146.2,149.11,912400
2020-04-17,153.48,154.03,151.4,153.79,957800
