Date,Open,High,Low,Close,Volume
2020-02-10,83.41,85.56,83.25,85.12,1249300
2020-02-11,85.77,86.83,85.25,86.62,1508400
2020-02-12,87.23,88.71,86.13,88.5,1462800
2020-02-13,87.86,88.22,86.26,86.44,2098600
2020-02-14,86.63,87.9,86.38,87.52,1605600
2020-02-18,87.38,87.76,86.77,87.43,1310300
2020-02-19,87.73,88.06,87.0,87.34,1068700
2020-02-20,87.02,88.52,86.64,88.03,1298400
2020-02-21,87.45,88.02,86.76,87.9,1010600
2020-02-24,85.14,86.48,84.99,85.82,1249400
2020-02-25,86.39,86.64,83.27,83.74,1421900
2020-02-26,84.62,85.47,83.46,83.6,1344600
2020-02-27,82.14,83.67,80.34,80.34,1711600
2020-02-28,77.48,78.59,75.24,77.03,2786700
2020-03-02,77.64,82.09,77.19,81.96,2012100
2020-03-03,81.73,83.94,79.42,79.56,1490400
2020-03-04,81.3,85.35,80.59,84.98,1921100
2020-03-05,81.97,83.74,81.47,82.13,1495700
2020-03-06,80.14,81.12,78.54,80.9,1610100
2020-03-09,75.38,77.86,73.28,75.64,1944900
2020-03-10,73.05,76.49,71.58,76.48,2743100
2020-03-11,74.2,75.64,71.84,72.95,1742200
2020-03-12,68.22,68.72,60.76,64.56,1955000
2020-03-13,67.75,71.92,63.74,71.83,1517600
2020-03-16,62.54,66.69,62.54,64.79,1706400
2020-03-17,66.44,71.56,64.21,71.53,1879800
2020-03-18,66.22,68.91,60.63,65.23,2197100
2020-03-19,64.52,65.08,61.17,64.2,1524500
2020-03-20,64.34,64.78,59.02,59.65,1884200
2020-03-23,58.95,60.03,54.4,56.41,1578400
2020-03-24,58.42,61.99,58.03,61.75,1954900
2020-03-25,61.19,65.9,59.8,63.61,1722300
2020-03-26,64.36,68.3,63.38,67.74,1412500
2020-03-27,62.85,67.19,61.87,65.24,1059500
2020-03-30,66.71,67.97,65.19,65.98,1323400
2020-03-31,64.99,66.1,62.76,64.87,1841100
2020-04-01,61.72,64.6,57.52,59.53,1881700
2020-04-02,58.94,63.84,58.94,63.15,2030600
2020-04-03,62.87,65.15,59.43,60.26,1842700
2020-04-06,63.14,65.41,62.38,64.93,1802800
2020-04-07,67.04,67.6,64.98,65.93,1361600
2020-04-08,65.14,69.48,64.74,68.81,1295600
2020-04-09,69.4,70.21,68.47,69.06,1350000
2020-04-13,68.6,69.05,66.63,67.92,779000
2020-04-14,69.55,70.79,69.02,70.12,1140200
2020-04-15,68.26,68.77,65.96,66.85,1175400
2020-04-16,66.49,67.01,65.0,66.31,1442500
2020-04-17,68.46,69.81,68.08,69.31,1856900
