Date,Open,High,Low,Close,Volume
2020-02-10,207.24,207.76,205.34,206.1,1557000
2020-02-11,207.35,207.99,204.52,205.8,1289700
2020-02-12,206.76,207.72,205.45,207.11,1177200
2020-02-13,206.34,208.47,206.34,207.51,897500
2020-02-14,208.09,209.2,207.24,208.95,996900
2020-02-18,209.47,209.82,206.9,207.06,1342500
2020-02-19,209.33,211.18,208.64,210.76,1569900
2020-02-20,210.44,211.58,205.07,206.67,1527300
2020-02-21,205.0,206.27,199.85,201.91,1774800
2020-02-24,195.56,197.29,192.43,194.37,2104900
2020-02-25,196.47,197.42,185.74,186.73,2282300
2020-02-26,188.59,194.15,187.66,190.67,2850100
2020-02-27,184.24,188.49,180.07,180.65,2687600
2020-02-28,176.57,191.36,175.05,190.88,4340100
2020-03-02,190.67,191.97,183.27,190.83,2698800
2020-03-03,187.85,190.0,177.82,180.55,2756100
2020-03-04,183.9,191.68,182.13,191.42,2242800
2020-03-05,185.47,192.73,182.83,184.04,2328700
2020-03-06,177.83,179.68,168.55,173.42,3272200
2020-03-09,157.82,164.81,156.71,160.05,3108500
2020-03-10,165.6,166.5,157.1,164.48,3439400
2020-03-11,159.55,161.75,152.36,154.4,2789400
2020-03-12,143.79,148.5,135.7,136.0,5014100
2020-03-13,146.0,158.17,138.45,158.03,3998400
2020-03-16,140.99,153.49,135.24,148.08,4100900
2020-03-17,149.69,157.95,140.05,154.92,4110600
2020-03-18,145.22,154.38,125.38,141.82,4762400
2020-03-19,141.45,152.27,134.98,149.23,3749300
2020-03-20,151.46,156.06,145.38,148.02,4515800
2020-03-23,147.81,151.84,138.1,144.14,3309200
2020-03-24,151.25,153.4,141.43,149.96,2691500
2020-03-25,149.4,154.97,142.32,149.99,2497000
2020-03-26,150.85,163.15,150.65,160.88,2752500
2020-03-27,155.83,156.62,140.32,141.57,2929000
2020-03-30,142.74,157.18,141.29,155.91,3378400
2020-03-31,154.0,158.91,152.83,156.1,3678200
2020-04-01,147.53,150.47,137.86,139.22,3185100
2020-04-02,136.97,142.14,135.52,137.05,2729600
2020-04-03,136.89,141.54,136.28,139.0,2214500
2020-04-06,146.12,153.52,144.61,152.32,2732300
2020-04-07,157.73,157.8,147.26,148.7,2098200
2020-04-08,150.79,161.78,149.46,159.21,3142100
2020-04-09,160.71,170.81,160.17,164.9,3705100
2020-04-13,162.37,163.99,156.91,160.92,1896500
2020-04-14,165.17,174.76,164.0,172.22,1917700
2020-04-15,168.57,172.54,167.44,169.14,2014500
2020-04-16,171.46,173.49,168.12,171.0,1847500
2020-04-17,176.08,182.0,173.97,180.94,2357700
