Date,Open,High,Low,Close,Volume
2020-02-10,95.66,96.17,95.18,95.76,1387100
2020-02-11,96.21,96.87,95.76,96.37,1834300
2020-02-12,99.95,103.29,97.0,97.45,4497900
2020-02-13,96.7,100.49,96.53,99.6,1914100
2020-02-14,99.77,100.38,98.9,99.67,1053200
2020-02-18,99.29,101.24,98.77,100.96,1527500
2020-02-19,101.2,102.99,101.19,102.56,1274700
2020-02-20,101.9,103.34,100.82,101.47,1474100
2020-02-21,101.4,102.0,99.34,100.52,1132100
2020-02-24,97.1,98.54,95.89,97.11,1514100
2020-02-25,97.62,98.32,93.53,93.73,1293900
2020-02-26,94.57,95.58,92.48,92.54,1635200
2020-02-27,90.7,92.42,89.0,89.31,1706300
2020-02-28,86.61,87.8,84.28,86.51,3279700
2020-03-02,87.31,90.92,86.6,90.91,1726600
2020-03-03,90.53,93.09,89.15,90.28,2616300
2020-03-04,91.96,95.0,91.27,94.9,1507100
2020-03-05,92.13,93.86,91.77,92.98,1903700
2020-03-06,89.78,91.19,88.03,90.62,2097200
2020-03-09,83.8,86.69,82.46,82.62,1898000
2020-03-10,84.79,86.82,82.44,86.15,2058700
2020-03-11,84.22,87.84,84.11,87.02,2531000
2020-03-12,81.62,88.8,79.81,80.05,3202300
2020-03-13,84.38,86.93,81.16,85.73,2820400
2020-03-16,76.75,87.37,75.18,83.23,2789800
2020-03-17,85.31,90.9,82.33,88.43,3271900
2020-03-18,82.47,97.65,82.47,97.1,4423200
2020-03-19,93.7,98.26,88.44,88.85,2966800
2020-03-20,90.02,90.03,81.95,82.37,3468700
2020-03-23,84.16,88.21,81.8,85.54,3185100
2020-03-24,87.29,90.25,85.33,89.98,2369800
2020-03-25,90.12,93.78,88.48,89.35,2704000
2020-03-26,90.02,94.86,86.74,94.38,2919700
2020-03-27,93.03,93.1,88.93,90.61,2736600
2020-03-30,92.09,94.5,90.32,94.19,2335500
2020-03-31,92.89,95.1,91.29,91.49,1740900
2020-04-01,89.24,92.89,88.75,91.6,2357800
2020-04-02,91.44,95.96,90.75,93.12,2028100
2020-04-03,94.21,96.69,93.48,95.36,2035500
2020-04-06,98.13,98.4,95.4,97.79,2191600
2020-04-07,98.26,99.43,94.65,95.23,2308700
2020-04-08,96.27,97.77,95.4,97.37,1477500
2020-04-09,97.04,97.79,94.94,95.39,2036600
2020-04-13,95.0,95.37,93.12,95.19,2018100
2020-04-14,98.13,101.25,97.01,100.5,2101600
2020-04-15,100.5,100.88,98.86,100.39,1989600
2020-04-16,100.63,107.22,100.31,105.84,3617100
2020-04-17,106.89,107.04,102.8,105.35,3013500
