Date,Open,High,Low,Close,Volume
2020-02-10,60.65,62.51,60.65,62.47,5121100.0
2020-02-11,63.15,64.24,62.89,63.99,6203800.0
2020-02-12,64.47,65.21,64.16,64.91,11592200.0
2020-02-13,66.28,68.95,65.48,66.89,21742700.0
2020-02-14,66.98,67.42,66.08,66.38,8104000.0
2020-02-18,63.98,65.74,63.6,64.9,10208500.0
2020-02-19,66.24,67.47,66.01,67.14,8502600.0
2020-02-20,66.73,67.08,64.96,66.14,7535900.0
2020-02-21,65.65,65.87,63.38,64.02,9658100.0
2020-02-24,60.89,61.6,60.16,60.84,11223700.0
2020-02-25,61.67,62.03,58.25,58.63,9942500.0
2020-02-26,59.34,60.52,59.07,59.57,10851500.0
2020-02-27,56.97,58.27,56.18,56.77,15737200.0
2020-02-28,53.98,57.95,53.87,57.89,14945300.0
2020-03-02,58.47,59.95,56.77,59.92,10795200.0
2020-03-03,59.73,61.14,57.33,57.81,14036600.0
2020-03-04,59.2,60.41,58.04,60.28,7925800.0
2020-03-05,58.33,60.2,58.03,58.9,9842500.0
2020-03-06,56.77,58.25,56.03,57.56,8958500.0
2020-03-09,52.6,55.11,51.79,51.86,10305900.0
2020-03-10,54.18,55.95,52.36,55.95,10107400.0
2020-03-11,54.06,54.77,51.21,52.28,12974200.0
2020-03-12,48.59,50.16,44.92,44.93,18043700.0
2020-03-13,48.48,51.03,45.17,50.69,15539300.0
2020-03-16,43.88,46.51,40.25,40.37,13763000.0
2020-03-17,41.59,45.89,39.61,44.68,16361200.0
2020-03-18,40.41,41.59,36.49,39.02,18870000.0
2020-03-19,38.53,41.9,36.71,40.03,13066600.0
2020-03-20,41.33,43.09,37.65,37.84,13967100.0
2020-03-23,38.49,41.38,37.77,40.01,15138400.0
2020-03-24,44.06,46.06,42.86,44.96,16338500.0
2020-03-25,44.75,48.03,43.6,44.55,11550700.0
2020-03-26,46.05,49.19,45.16,49.0,11864900.0
2020-03-27,47.51,47.94,44.66,44.87,10624200.0
2020-03-30,45.22,47.32,45.15,47.11,7839200.0
2020-03-31,46.98,47.09,44.97,45.64,11068000.0
2020-04-01,43.66,46.0,42.66,43.13,10665900.0
2020-04-02,42.33,44.28,41.96,43.07,8764600.0
2020-04-03,43.29,43.45,41.42,42.11,9488600.0
2020-04-06,44.66,46.27,44.46,45.97,12046500.0
2020-04-07,47.81,48.78,46.12,47.37,11962600.0
2020-04-08,48.44,51.42,48.33,51.26,14429000.0
2020-04-09,51.79,52.53,48.49,49.39,11659100.0
2020-04-13,49.1,49.77,48.18,49.68,5750000.0
2020-04-14,51.21,52.63,50.88,52.26,8025500.0
2020-04-15,51.11,51.11,49.55,50.17,7206700.0
2020-04-16,51.66,52.36,50.6,52.02,8878100.0
2020-04-17,53.43,53.69,52.06,52.99,9367600.0
