Date,Open,High,Low,Close,Volume
2020-02-10,49.47,52.3,49.35,52.26,60971700
2020-02-11,53.22,54.48,52.91,53.8,74719100
2020-02-12,54.53,54.85,53.53,53.89,45994900
2020-02-13,53.43,55.03,53.34,54.53,51640000
2020-02-14,55.19,55.4,54.56,55.31,52365400
2020-02-18,54.94,58.13,54.84,56.89,70133200
2020-02-19,57.99,59.27,57.51,58.9,58597300
2020-02-20,58.44,59.02,56.15,57.27,74203400
2020-02-21,56.71,56.8,52.89,53.28,88271100
2020-02-24,48.18,50.28,47.49,49.12,86624100
2020-02-25,51.14,51.24,47.12,47.57,88699400
2020-02-26,47.7,49.29,47.07,47.49,86378400
2020-02-27,45.38,46.24,42.21,44.01,105957300
2020-02-28,41.36,46.15,41.04,45.48,100667700
2020-03-02,47.42,47.68,44.66,47.46,102324700
2020-03-03,49.03,50.2,45.67,46.75,141972300
2020-03-04,48.25,50.14,47.21,50.11,93311800
2020-03-05,48.68,49.72,47.51,48.11,98302700
2020-03-06,49.44,49.54,46.74,48.59,124590900
2020-03-09,43.03,46.34,42.51,43.27,80859800
2020-03-10,45.41,45.44,43.1,45.38,76228200
2020-03-11,44.19,45.97,43.8,45.7,101601100
2020-03-12,42.0,42.5,39.0,39.01,107461500
2020-03-13,42.2,43.91,39.6,43.9,86689700
2020-03-16,39.08,43.37,38.51,38.71,84545900
2020-03-17,40.19,42.88,38.3,41.88,92741900
2020-03-18,39.54,41.95,36.75,39.12,106949300
2020-03-19,39.56,41.7,37.69,39.82,88939000
2020-03-20,41.51,42.48,39.58,39.61,106859500
2020-03-23,40.62,42.32,38.95,41.64,101704700
2020-03-24,44.04,46.81,43.99,46.22,106794200
2020-03-25,46.79,47.88,44.43,44.63,93760400
2020-03-26,45.78,47.5,45.4,47.5,73680200
2020-03-27,46.32,47.98,45.9,46.58,74599200
2020-03-30,47.24,48.46,46.66,47.86,68486600
2020-03-31,47.93,48.53,45.16,45.48,83483700
2020-04-01,44.18,46.85,43.16,43.66,92083100
2020-04-02,43.4,45.28,43.1,44.49,79024100
2020-04-03,44.3,44.84,41.7,42.59,79335000
2020-04-06,44.3,47.58,44.06,47.52,82294000
2020-04-07,48.96,49.65,46.68,47.56,102098700
2020-04-08,48.07,49.0,47.61,48.79,64930800
2020-04-09,49.65,50.25,47.72,48.38,80357400
2020-04-13,48.47,51.07,48.23,50.94,64290100
2020-04-14,52.24,55.14,52.11,54.93,85306800
2020-04-15,53.73,55.57,53.41,54.99,83814000
2020-04-16,55.96,58.08,55.63,56.95,103106500
2020-04-17,57.35,57.76,55.55,56.6,76908800
