Date,Open,High,Low,Close,Volume
2020-02-10,102.29,102.85,102.15,102.48,1789300
2020-02-11,102.84,103.87,102.27,102.3,1375300
2020-02-12,103.32,103.7,102.79,103.22,993600
2020-02-13,102.42,104.31,102.25,104.04,962000
2020-02-14,104.05,104.36,103.29,103.74,684100
2020-02-18,102.96,103.09,100.68,101.07,1489800
2020-02-19,101.68,103.13,101.47,102.79,1054700
2020-02-20,102.46,103.52,102.2,103.38,1195400
2020-02-21,102.58,103.07,100.85,101.43,1184500
2020-02-24,97.69,99.19,95.75,97.36,2196100
2020-02-25,98.12,98.74,94.9,95.17,2528600
2020-02-26,96.07,97.72,95.09,95.37,2459800
2020-02-27,93.24,95.3,92.27,92.29,2126100
2020-02-28,90.17,92.14,88.91,91.39,2995700
2020-03-02,92.12,94.65,90.33,94.63,2539800
2020-03-03,94.32,97.33,92.43,92.68,1813200
2020-03-04,94.23,96.76,93.38,96.7,1265000
2020-03-05,94.06,95.24,92.46,93.13,1681000
2020-03-06,89.94,92.68,89.8,92.27,1585800
2020-03-09,86.4,97.79,84.73,85.26,2327100
2020-03-10,88.06,90.23,84.33,90.21,2894700
2020-03-11,87.27,87.59,82.11,84.01,2458300
2020-03-12,78.59,82.05,74.87,74.88,3639200
2020-03-13,78.97,80.61,73.21,79.35,4231500
2020-03-16,69.88,73.84,64.1,68.34,3517300
2020-03-17,69.61,73.14,66.75,71.33,2894500
2020-03-18,65.56,68.45,63.05,68.41,2956100
2020-03-19,67.31,69.5,64.32,68.76,3070900
2020-03-20,68.8,72.69,68.61,70.04,3134000
2020-03-23,68.94,71.88,65.0,69.0,3712600
2020-03-24,72.48,74.99,71.61,74.15,2935800
2020-03-25,74.44,77.96,72.01,74.92,2600200
2020-03-26,74.98,80.1,74.51,79.17,2582500
2020-03-27,75.98,77.32,74.05,74.27,1905900
2020-03-30,74.56,76.19,73.57,75.83,2701500
2020-03-31,75.87,76.01,72.39,72.88,2333700
2020-04-01,70.15,72.02,69.4,69.52,2850400
2020-04-02,69.67,70.53,67.46,68.76,4304800
2020-04-03,68.38,69.36,67.59,68.42,2111000
2020-04-06,72.18,75.77,71.46,75.34,3790600
2020-04-07,79.07,79.72,75.54,75.71,2487400
2020-04-08,76.26,80.08,76.01,79.62,2209700
2020-04-09,80.29,83.12,80.28,81.91,1785500
2020-04-13,80.36,81.57,79.91,80.66,1611200
2020-04-14,81.96,83.62,81.27,82.47,2366600
2020-04-15,80.37,81.3,79.36,80.37,2164200
2020-04-16,80.38,81.17,79.59,80.86,1546100
2020-04-17,82.66,84.87,82.61,84.22,2218500
