Date,Open,High,Low,Close,Volume
2020-02-10,307.15,309.34,305.11,308.95,1921800
2020-02-11,311.36,315.43,310.73,314.81,1552700
2020-02-12,316.66,319.66,316.25,319.27,1531000
2020-02-13,316.11,320.02,315.59,318.56,1385700
2020-02-14,319.41,320.26,311.8,312.46,1913700
2020-02-18,309.74,309.74,302.9,305.56,2669300
2020-02-19,307.77,311.53,306.49,310.41,2052500
2020-02-20,308.71,310.41,301.0,304.07,2552100
2020-02-21,303.34,304.28,297.24,299.41,2452200
2020-02-24,289.28,293.81,285.21,286.73,3684900
2020-02-25,289.19,290.79,276.37,277.96,3189200
2020-02-26,279.6,283.38,279.25,281.1,2307400
2020-02-27,275.62,280.54,268.97,269.37,3476400
2020-02-28,258.93,269.55,258.35,268.06,4460400
2020-03-02,272.13,280.63,266.62,280.21,3197600
2020-03-03,279.89,283.66,267.03,269.67,2993000
2020-03-04,272.9,280.94,270.18,280.68,2347700
2020-03-05,272.63,278.36,267.9,269.46,2437400
2020-03-06,262.52,266.4,258.11,264.95,3016900
2020-03-09,246.88,255.92,240.17,243.58,4393400
2020-03-10,252.3,259.27,239.33,258.51,5507100
2020-03-11,249.64,252.2,238.44,241.86,3603000
2020-03-12,223.2,238.7,212.7,215.12,6428100
2020-03-13,221.74,230.55,197.8,230.31,8471400
2020-03-16,204.7,215.14,177.22,184.44,7693500
2020-03-17,188.61,196.67,178.45,196.18,7066200
2020-03-18,182.56,184.35,153.07,165.06,9899300
2020-03-19,164.84,204.0,162.24,191.2,7443800
2020-03-20,202.0,208.68,187.91,192.22,7404400
2020-03-23,192.88,195.97,177.75,193.47,4692100
2020-03-24,205.64,218.71,201.29,212.76,6297000
2020-03-25,212.19,244.0,209.22,217.55,6444200
2020-03-26,226.03,244.8,226.03,243.17,6021300
2020-03-27,233.0,242.09,230.0,230.69,3944800
2020-03-30,232.2,241.36,228.44,240.11,5234300
2020-03-31,238.0,252.71,236.06,237.1,5019100
2020-04-01,227.99,234.41,219.68,223.63,4185800
2020-04-02,222.4,237.95,221.45,237.06,4504900
2020-04-03,236.64,242.55,230.55,234.26,2896000
2020-04-06,244.58,253.41,243.56,252.44,3886800
2020-04-07,261.84,265.5,252.53,253.27,4589200
2020-04-08,256.77,262.2,253.64,261.1,2756500
2020-04-09,265.79,267.5,251.31,254.3,3482800
2020-04-13,253.5,261.52,252.8,259.92,2572900
2020-04-14,266.12,268.38,262.32,267.63,2309400
2020-04-15,261.0,262.32,256.16,257.44,2592600
2020-04-16,261.76,261.76,254.11,258.29,2689600
2020-04-17,263.22,267.43,258.94,265.88,3408900
