Date,Open,High,Low,Close,Volume
2020-02-10,73.35,74.66,72.98,74.63,1302900
2020-02-11,75.04,75.88,74.68,75.71,1419600
2020-02-12,76.0,77.22,75.83,77.1,1932800
2020-02-13,77.0,79.59,75.27,79.25,3253100
2020-02-14,79.56,79.69,78.36,78.76,1329700
2020-02-18,78.18,79.0,78.05,78.58,1540000
2020-02-19,79.0,80.4,78.88,80.02,2212000
2020-02-20,79.46,79.46,76.05,76.97,2394200
2020-02-21,75.96,76.58,74.18,74.73,1550300
2020-02-24,71.95,73.27,70.87,71.39,2361900
2020-02-25,71.9,72.27,68.18,68.45,2648000
2020-02-26,69.1,70.06,68.18,68.88,2477300
2020-02-27,66.75,68.56,65.66,65.84,2678900
2020-02-28,63.51,66.31,63.24,66.14,4698200
2020-03-02,66.66,68.38,65.01,68.36,2711100
2020-03-03,67.87,68.81,65.47,66.23,3162500
2020-03-04,67.64,70.39,67.23,70.27,2364400
2020-03-05,67.79,69.62,66.83,67.84,2163700
2020-03-06,64.7,65.82,62.98,64.73,3361000
2020-03-09,61.68,64.17,58.05,59.75,2793500
2020-03-10,61.28,62.92,59.86,62.92,2809600
2020-03-11,61.3,62.71,60.38,62.23,2918300
2020-03-12,58.06,62.64,56.82,56.94,4756600
2020-03-13,59.28,62.47,55.5,62.47,3988500
2020-03-16,55.76,57.98,54.1,54.6,3071600
2020-03-17,55.88,59.11,53.39,58.94,2719400
2020-03-18,55.0,55.72,51.39,54.32,3137600
2020-03-19,53.74,57.61,52.15,55.72,2584900
2020-03-20,56.9,58.56,54.57,55.08,3393500
2020-03-23,55.0,57.88,53.16,55.86,2954100
2020-03-24,58.93,63.95,58.21,63.34,4180100
2020-03-25,63.06,64.6,60.93,61.35,3940100
2020-03-26,61.91,67.12,61.39,66.94,2781400
2020-03-27,64.46,65.55,61.73,62.28,2228400
2020-03-30,62.68,67.38,62.38,66.91,2514300
2020-03-31,66.11,67.47,65.34,66.04,3451400
2020-04-01,63.43,66.51,62.92,65.24,2824100
2020-04-02,64.24,67.07,63.92,65.93,2959100
2020-04-03,65.05,66.72,63.74,63.93,2554900
2020-04-06,67.52,69.77,65.92,69.42,2332700
2020-04-07,71.0,71.62,68.82,69.05,2315200
2020-04-08,69.84,72.26,69.46,71.84,1932500
2020-04-09,71.91,72.73,71.07,71.65,1954300
2020-04-13,70.97,71.75,70.4,71.55,2521600
2020-04-14,73.0,76.5,72.26,76.33,2511000
2020-04-15,74.91,76.17,74.27,75.7,2245600
2020-04-16,76.01,79.17,76.01,78.59,2603100
2020-04-17,79.57,80.46,78.33,78.65,3958600
