Date,Open,High,Low,Close,Volume
2020-02-10,47.54,48.43,47.43,48.41,19012700
2020-02-11,48.93,49.24,48.4,48.67,23168300
2020-02-12,48.97,49.81,48.94,49.46,31686200
2020-02-13,46.71,47.22,46.14,46.88,47044700
2020-02-14,46.72,46.78,46.04,46.53,26747200
2020-02-18,46.38,46.41,45.86,46.15,18546300
2020-02-19,46.25,46.37,45.47,45.86,27626400
2020-02-20,45.66,46.52,45.47,46.41,20416700
2020-02-21,46.29,46.41,45.62,45.87,20028700
2020-02-24,44.58,45.25,43.59,43.59,35295900
2020-02-25,43.64,43.79,41.67,42.34,48024700
2020-02-26,42.57,42.97,41.55,41.76,38513200
2020-02-27,40.89,41.7,39.63,39.66,51423000
2020-02-28,38.34,40.17,37.99,39.55,80194000
2020-03-02,39.77,40.8,38.55,40.78,48864300
2020-03-03,40.87,41.51,39.34,39.66,49294700
2020-03-04,40.34,41.06,39.43,41.0,30022100
2020-03-05,39.79,40.13,38.92,39.2,30255900
2020-03-06,37.64,39.57,37.44,39.31,48605600
2020-03-09,36.55,39.19,35.95,37.6,61535300
2020-03-10,38.88,39.77,37.51,39.7,50536500
2020-03-11,38.65,38.79,36.03,36.7,63594300
2020-03-12,34.18,35.48,32.69,32.89,51855300
2020-03-13,34.85,37.33,33.02,37.29,53859600
2020-03-16,32.92,36.64,32.1,33.39,44211300
2020-03-17,34.37,35.91,33.28,35.17,41572400
2020-03-18,33.44,37.36,33.0,36.77,56904300
2020-03-19,36.7,38.95,35.81,37.36,58319700
2020-03-20,37.91,38.11,35.07,35.27,48582500
2020-03-23,35.18,35.48,33.42,34.28,39823400
2020-03-24,36.07,38.32,35.21,38.24,48235600
2020-03-25,38.29,39.57,37.15,37.32,42873900
2020-03-26,37.61,40.54,37.02,40.2,38473300
2020-03-27,38.84,39.77,38.05,38.46,31278600
2020-03-30,39.08,40.11,38.59,39.94,27120300
2020-03-31,39.75,40.04,38.74,38.94,26014200
2020-04-01,37.81,38.5,37.51,37.97,26790700
2020-04-02,37.84,39.95,37.47,39.8,28180500
2020-04-03,39.82,40.29,38.54,39.06,21235200
2020-04-06,40.46,41.68,39.78,41.43,31641400
2020-04-07,42.66,42.74,40.59,40.64,30366100
2020-04-08,41.17,42.2,40.87,41.74,22683500
2020-04-09,42.09,42.2,40.85,41.2,27650200
2020-04-13,41.04,41.46,40.53,41.22,19592000
2020-04-14,41.91,42.82,41.53,42.78,22882400
2020-04-15,42.2,42.37,41.23,41.52,18428800
2020-04-16,41.76,41.79,40.68,41.5,26178000
2020-04-17,42.25,42.64,41.74,42.48,30701500
