Date,Open,High,Low,Close,Volume
2020-02-10,35.88,35.93,35.2,35.73,11638100
2020-02-11,35.9,36.37,35.77,36.14,9380300
2020-02-12,36.34,37.19,36.31,36.85,11499100
2020-02-13,36.75,36.97,36.4,36.89,7317900
2020-02-14,37.26,37.92,37.01,37.83,10998300
2020-02-18,37.97,38.31,37.45,37.56,15223600
2020-02-19,37.72,37.74,37.21,37.22,7598300
2020-02-20,37.04,37.56,36.92,37.38,8940300
2020-02-21,37.04,38.62,36.85,37.89,14695200
2020-02-24,37.32,37.56,36.67,36.96,18961600
2020-02-25,37.01,37.32,36.09,36.16,15856200
2020-02-26,36.51,36.88,36.12,36.39,11917800
2020-02-27,35.85,36.15,34.72,34.75,16138600
2020-02-28,33.97,34.64,33.59,34.51,16824600
2020-03-02,34.49,35.84,34.16,35.83,13131000
2020-03-03,35.6,37.28,35.53,36.59,18838700
2020-03-04,37.18,38.4,37.01,38.35,13445400
2020-03-05,37.34,38.08,36.94,37.09,11816600
2020-03-06,35.58,36.66,35.46,36.26,12849800
2020-03-09,33.9,36.0,33.52,35.39,15594000
2020-03-10,36.36,36.48,34.87,35.91,15419000
2020-03-11,35.02,35.61,34.24,34.7,13056300
2020-03-12,32.62,34.91,32.39,32.91,17224800
2020-03-13,34.43,34.68,32.87,33.87,20972000
2020-03-16,30.77,33.23,30.47,32.12,17099700
2020-03-17,32.64,33.82,32.2,33.16,14020000
2020-03-18,31.51,32.73,30.09,31.19,20304800
2020-03-19,31.36,31.38,29.34,29.49,19461400
2020-03-20,29.39,30.09,27.11,27.48,24947000
2020-03-23,27.15,27.54,25.93,26.24,18502800
2020-03-24,27.27,27.78,26.15,27.57,24055000
2020-03-25,27.56,29.37,27.02,28.27,18485800
2020-03-26,28.38,30.16,28.38,30.05,14333700
2020-03-27,29.42,30.76,29.27,30.07,14183000
2020-03-30,30.51,31.43,29.91,31.08,14952000
2020-03-31,30.92,31.07,29.83,29.95,15868300
2020-04-01,29.23,29.64,28.38,28.68,14341500
2020-04-02,28.22,29.3,28.2,29.08,12007100
2020-04-03,29.04,29.56,28.7,29.3,10869100
2020-04-06,30.56,31.21,30.17,31.07,14731900
2020-04-07,31.96,32.1,31.45,31.51,10602500
2020-04-08,31.73,32.96,31.68,32.89,12044500
2020-04-09,33.28,33.98,33.25,33.71,13558300
2020-04-13,34.17,34.95,33.84,34.63,13792100
2020-04-14,35.32,35.85,35.14,35.61,14582700
2020-04-15,35.18,36.28,34.95,36.06,10651500
2020-04-16,36.4,37.23,36.16,37.09,11205800
2020-04-17,37.31,37.5,36.86,37.32,15513600
