Date,Open,High,Low,Close,Volume
2020-02-10,121.42,123.55,121.17,123.21,2742900
2020-02-11,123.81,124.61,120.54,120.71,3231200
2020-02-12,120.48,121.07,119.01,119.14,4050300
2020-02-13,118.85,122.34,118.71,121.06,3207600
2020-02-14,121.12,122.36,120.7,122.32,2796500
2020-02-18,122.95,123.72,121.67,122.25,2899500
2020-02-19,122.65,123.78,122.4,123.55,3636700
2020-02-20,123.3,123.48,120.25,121.84,3285100
2020-02-21,121.52,121.79,118.64,119.49,3563700
2020-02-24,116.58,118.88,116.04,116.59,3706400
2020-02-25,116.79,117.28,113.05,113.25,4117500
2020-02-26,113.8,115.26,112.07,112.87,3917900
2020-02-27,110.79,112.74,108.16,108.54,6823600
2020-02-28,105.12,109.51,104.58,109.36,7131800
2020-03-02,108.64,114.29,107.18,114.23,5516400
2020-03-03,113.0,114.95,108.39,109.37,5171100
2020-03-04,111.0,112.91,109.38,112.18,5787500
2020-03-05,109.15,111.53,107.64,109.25,4642100
2020-03-06,103.98,107.38,103.07,106.81,4426400
2020-03-09,99.87,103.0,98.11,100.03,5444700
2020-03-10,102.75,107.09,99.1,107.03,8579600
2020-03-11,103.8,108.04,101.88,102.42,8777800
2020-03-12,95.2,101.11,93.58,94.92,13496000
2020-03-13,100.16,103.65,95.36,103.42,8218100
2020-03-16,93.69,94.81,84.76,86.18,11294700
2020-03-17,88.45,91.17,83.91,90.89,8093500
2020-03-18,84.67,86.92,75.91,80.95,9787900
2020-03-19,80.5,85.99,73.5,84.46,9574600
2020-03-20,87.11,89.59,81.14,81.77,9676600
2020-03-23,81.42,81.73,74.85,77.0,9240500
2020-03-24,81.62,87.38,80.74,86.65,6874900
2020-03-25,86.6,94.59,85.09,91.2,5645400
2020-03-26,92.23,98.35,90.5,97.69,5698400
2020-03-27,94.54,96.79,92.02,93.95,7067600
2020-03-30,93.95,98.74,93.74,98.33,4787700
2020-03-31,95.88,97.99,94.08,94.99,8472200
2020-04-01,91.0,92.0,87.44,88.01,4128000
2020-04-02,85.92,89.41,85.0,88.75,3913700
2020-04-03,88.27,89.72,84.37,86.19,3740000
2020-04-06,91.58,96.53,90.13,95.86,7687700
2020-04-07,99.9,100.43,94.47,94.62,3622400
2020-04-08,95.68,98.83,94.53,98.37,3847300
2020-04-09,100.1,101.82,97.91,99.22,3830500
2020-04-13,97.99,98.4,94.61,96.97,3721400
2020-04-14,98.8,98.8,95.36,96.85,6404900
2020-04-15,94.76,95.39,92.83,93.66,6378200
2020-04-16,95.11,96.05,93.02,95.73,4143500
2020-04-17,98.89,100.77,98.0,100.63,4171900
