Date,Open,High,Low,Close,Volume
2020-02-10,1477.23,1508.88,1475.2,1508.66,1915100
2020-02-11,1513.27,1529.88,1505.45,1510.06,1742600
2020-02-12,1515.86,1520.3,1508.67,1518.63,1552100
2020-02-13,1510.0,1525.95,1504.0,1513.39,1145700
2020-02-14,1514.53,1520.05,1505.55,1518.73,1159900
2020-02-18,1514.34,1530.56,1511.01,1519.44,1282100
2020-02-19,1527.2,1530.74,1520.98,1524.87,1137300
2020-02-20,1519.01,1527.07,1504.26,1516.99,1298100
2020-02-21,1504.58,1510.95,1478.49,1483.46,2126000
2020-02-24,1423.05,1436.38,1406.79,1419.86,2478000
2020-02-25,1431.0,1436.85,1380.42,1386.32,2579000
2020-02-26,1394.98,1413.67,1376.55,1390.47,2488800
2020-02-27,1359.14,1369.4,1314.24,1314.95,3110900
2020-02-28,1274.31,1342.45,1268.21,1339.25,4010900
2020-03-02,1351.39,1387.47,1325.2,1386.32,2771500
2020-03-03,1397.68,1408.19,1329.24,1337.72,2830100
2020-03-04,1358.96,1382.78,1337.0,1381.6,2379900
2020-03-05,1345.55,1353.63,1301.64,1314.76,2719000
2020-03-06,1269.95,1302.75,1257.21,1295.74,3232000
2020-03-09,1204.96,1252.73,1198.04,1215.79,3462600
2020-03-10,1254.39,1275.85,1214.51,1275.17,2743600
2020-03-11,1248.27,1256.93,1191.14,1210.9,2736600
2020-03-12,1122.62,1188.75,1108.47,1111.55,4716300
2020-03-13,1174.99,1214.4,1112.29,1214.27,3970000
2020-03-16,1089.61,1145.47,1067.08,1073.0,4826000
2020-03-17,1090.64,1126.0,1049.1,1118.06,4159700
2020-03-18,1059.94,1104.99,1037.0,1091.19,4652200
2020-03-19,1088.22,1152.61,1055.55,1111.67,3703200
2020-03-20,1130.9,1138.48,1062.1,1068.21,4143900
2020-03-23,1056.37,1066.91,1008.87,1054.13,4183600
2020-03-24,1103.98,1133.33,1086.43,1130.01,3623400
2020-03-25,1124.58,1146.17,1083.01,1101.62,4516200
2020-03-26,1114.72,1171.48,1092.03,1162.92,3828100
2020-03-27,1127.47,1151.05,1104.0,1110.26,3139700
2020-03-30,1132.64,1151.0,1098.49,1146.31,2936800
2020-03-31,1148.73,1173.4,1136.72,1161.95,3261400
2020-04-01,1124.0,1129.42,1093.49,1102.1,2598500
2020-04-02,1100.0,1122.77,1093.13,1117.03,2820500
2020-04-03,1114.71,1118.79,1075.08,1092.7,2568700
2020-04-06,1133.0,1190.75,1125.0,1183.19,3166000
2020-04-07,1217.01,1220.78,1177.25,1182.56,3081000
2020-04-08,1203.1,1214.9,1183.95,1207.0,2016700
2020-04-09,1218.18,1221.99,1192.42,1206.57,2701400
2020-04-13,1201.5,1214.52,1182.33,1210.41,1935100
2020-04-14,1239.97,1275.75,1228.54,1265.23,3167900
2020-04-15,1246.51,1275.11,1234.0,1257.3,2111800
2020-04-16,1267.14,1273.36,1238.2,1257.43,2894800
2020-04-17,1281.7,1290.0,1266.0,1279.0,2552500
