Date,Open,High,Low,Close,Volume
2020-02-10,65.19,66.03,65.07,66.02,22299300
2020-02-11,66.45,67.33,66.2,67.03,17975600
2020-02-12,67.22,67.71,66.93,67.08,15586600
2020-02-13,66.61,67.27,66.37,67.06,11602700
2020-02-14,67.14,67.48,66.44,66.89,13405500
2020-02-18,66.29,66.32,65.51,65.77,12758400
2020-02-19,66.02,66.82,65.81,66.73,13551200
2020-02-20,66.66,66.91,64.2,65.08,26452600
2020-02-21,64.81,64.88,63.68,63.98,20775900
2020-02-24,61.26,62.42,60.98,61.41,26903100
2020-02-25,61.64,61.93,59.13,59.39,34495700
2020-02-26,59.77,60.48,58.94,59.31,26190100
2020-02-27,57.6,58.18,55.49,55.52,42208600
2020-02-28,53.99,56.06,53.3,55.21,60728000
2020-03-02,55.48,57.89,54.21,57.85,43140300
2020-03-03,57.7,58.69,55.09,55.66,49740300
2020-03-04,56.69,58.38,55.84,58.35,29223100
2020-03-05,56.74,58.33,56.29,56.64,29099200
2020-03-06,54.87,55.7,54.23,55.46,36259200
2020-03-09,51.63,52.41,49.72,50.56,56197000
2020-03-10,52.46,53.7,50.15,53.68,36569000
2020-03-11,52.1,53.24,50.72,51.37,38563500
2020-03-12,47.72,49.81,45.12,45.28,50661700
2020-03-13,47.99,54.69,47.47,54.12,48805100
2020-03-16,47.24,51.96,43.38,44.36,53878900
2020-03-17,45.5,51.34,44.95,49.8,52085200
2020-03-18,46.45,49.77,44.95,47.34,49309900
2020-03-19,47.57,48.95,44.91,45.68,44538000
2020-03-20,46.25,49.14,45.21,45.57,52344000
2020-03-23,45.76,50.21,45.65,49.3,46698500
2020-03-24,52.84,54.33,51.06,52.11,50019800
2020-03-25,52.19,53.49,49.63,50.97,41106100
2020-03-26,51.45,55.64,51.37,55.23,41459800
2020-03-27,53.12,54.33,51.78,52.08,31633500
2020-03-30,52.69,55.78,52.53,55.18,31628600
2020-03-31,54.75,55.49,52.92,53.82,48074700
2020-04-01,52.21,54.38,51.14,51.59,29586600
2020-04-02,51.0,54.25,50.93,54.04,27810000
2020-04-03,53.55,54.82,52.43,53.83,23906100
2020-04-06,56.31,58.44,55.8,58.1,32323400
2020-04-07,59.6,61.14,57.88,58.07,41410000
2020-04-08,58.66,59.18,57.58,58.65,26719500
2020-04-09,59.03,59.38,55.75,56.82,40515400
2020-04-13,56.25,58.44,56.25,58.37,23251900
2020-04-14,59.7,60.56,59.18,60.32,25674000
2020-04-15,59.4,59.49,58.06,58.54,22841600
2020-04-16,59.28,60.62,58.48,60.45,24433500
2020-04-17,61.67,61.78,59.49,60.02,27385600
