Date,Open,High,Low,Close,Volume
2020-02-10,182.57,187.8,182.24,187.66,35844300
2020-02-11,189.6,189.65,182.49,183.43,53159900
2020-02-12,184.56,184.83,180.85,183.7,47062900
2020-02-13,182.07,185.21,181.87,182.7,35295800
2020-02-14,182.24,184.39,181.65,184.33,23149500
2020-02-18,184.59,186.67,184.48,186.2,27792200
2020-02-19,187.54,187.66,185.95,186.76,29997500
2020-02-20,186.43,186.73,180.6,183.91,36862400
2020-02-21,182.66,182.99,176.76,178.09,48572600
2020-02-24,167.3,174.07,162.78,170.42,68311100
2020-02-25,173.72,174.35,167.18,167.6,68073300
2020-02-26,169.24,172.78,167.74,169.7,56206100
2020-02-27,162.87,166.57,157.54,157.74,93033600
2020-02-28,151.99,163.26,151.58,161.56,97073600
2020-03-02,164.85,172.44,161.86,172.31,71030800
2020-03-03,173.32,174.51,161.81,164.05,71677000
2020-03-04,168.02,170.23,165.16,170.08,49814400
2020-03-05,165.59,170.4,165.23,165.81,47817300
2020-03-06,162.16,162.66,155.57,161.12,72821100
2020-03-09,150.58,157.31,149.58,150.2,70419300
2020-03-10,157.72,160.58,152.16,160.47,65354400
2020-03-11,156.69,157.26,150.73,153.2,56371600
2020-03-12,144.9,153.04,138.2,138.67,93226400
2020-03-13,147.09,161.46,140.34,158.39,92727400
2020-03-16,139.61,148.94,134.63,135.04,87905900
2020-03-17,139.61,147.09,134.63,146.16,81059800
2020-03-18,137.62,145.59,134.65,140.01,81593200
2020-03-19,142.37,149.73,138.61,142.31,85922700
2020-03-20,145.59,146.69,135.48,136.97,84866200
2020-03-23,136.63,140.18,132.15,135.6,78975200
2020-03-24,143.35,149.18,140.88,147.93,82516700
2020-03-25,148.5,153.9,144.04,146.51,75638200
2020-03-26,147.99,156.22,147.96,155.68,64568100
2020-03-27,151.33,154.46,148.79,149.28,57042300
2020-03-30,152.02,160.15,149.59,159.78,63420300
2020-03-31,158.96,164.32,156.13,157.27,77927200
2020-04-01,152.58,157.31,150.4,151.69,57969900
2020-04-02,151.44,155.05,149.94,154.83,49630700
2020-04-03,154.67,156.94,151.77,153.4,41243300
2020-04-06,159.87,166.04,157.14,164.81,67111700
2020-04-07,169.12,169.53,162.81,163.04,62769000
2020-04-08,165.21,166.21,163.05,164.67,48318200
2020-04-09,165.9,166.91,162.88,164.68,51431800
2020-04-13,163.89,165.11,161.85,165.05,41905300
2020-04-14,168.53,173.27,167.53,173.22,52874300
2020-04-15,170.72,173.09,168.77,171.4,40940800
2020-04-16,173.82,176.79,172.42,176.55,50479600
2020-04-17,179.0,179.5,175.38,178.1,52765600
